Samples,Treatment,VPAnM1,VPAnM12,VPAnM13,VPAnM14,VPAnM15,VPAnM16,VPAnM17,VPAnM18,VPAnM19,VPAnM2,VPAnM20,VPAnM21,VPAnM22,VPAnM23,VPAnM24,VPAnM25,VPAnM26,VPAnM27,VPAnM28,VPAnM29,VPAnM30,VPAnM31,VPAnM32,VPAnM34,VPAnM35,VPAnM36,VPAnM37,VPAnM38,VPAnM39,VPAnM41,VPAnM42,VPAnM43,VPAnM49,VPAnM50,VPAnM51,VPAnM52,VPAnM53,VPAnM54,VPAnM6,VPAnM8,VPAnM9
T1_P1_C1,cntrl,-0.05592755573548129,-0.16420237433721202,-0.10623854385617644,-0.2015337012155472,-0.13070874409753508,-0.04182405907714623,-0.17726576026498617,-0.05489686659824732,-0.209583898687351,-0.1611112981156082,0.02938106126553323,-0.2637625992329111,-0.0757341389834349,-0.1206969369053694,-2.5105701792503385,-0.19595012362679715,-0.23378217392796988,-0.238728092886,0.03523736908582274,-0.07774007677297234,-2.404702996215496,-0.128814473838164,-0.12917881474677917,-0.07156479501889444,-0.11858082160250806,-0.10145634551568329,0.1388285802436469,-0.1444281799611608,-0.11382981487808638,-0.7671297595827944,-0.06381565250518073,-0.3504174457152473,0.04332704115465302,0.0016260565554101908,-0.14233327719827046,-1.3554785098798896,-0.11490299227838424,-0.3305101240827393,-0.07141692239828953,-0.19558918550649834,-0.14932007993346982
T1_P1_C2,cntrl,-0.395070150534178,-0.5630734422731849,-0.5070250797950991,-0.532173905524115,-0.08365680946343017,-0.40784672654741,-0.4344104058473786,-0.27269080812659907,-0.5743678584313175,-0.43461472779018234,-0.32771530794544895,-0.4148925434210049,-0.5491586487218992,-0.30983833886393447,-2.5243931170319533,-0.5009193242509298,-0.5404735031400476,-0.4608317287660215,-0.3325283218673047,-0.5261110389861894,0.07649454109195608,-0.40198754966938754,-0.4468166401819088,-0.4178414416722491,-0.47402231134567396,-0.5626227278444503,-0.45472575272426763,-0.46133870885190686,-0.7531188825901696,-0.39211698941526363,-0.4194566026800355,-0.7468702108459147,-0.19214831421242579,-0.2001638380925148,-0.3757423072271069,-0.7823299762940911,0.28871002769754206,-0.5423819029377345,-0.2048739726836687,-0.4479637497901316,-0.43029809854586965
T1_P1_C3,cntrl,-0.763120606944985,-1.705582599507223,-0.9192267400909288,-1.0111294434680351,-0.6194692816376158,-0.7128354673330077,-0.7455533321644101,-0.57969773624287535,-1.2870728343619482,-0.9533747126484633,-0.5365085313897022,-1.0455353799165008,-0.9665957113572519,-0.6637719137764745,-2.8437141979551117,-1.0175562076629123,-1.1217504456595513,-1.1408762919817854,-0.7307531536558552,-1.036564418097702,-1.2238023730040588,-0.7721106005908759,-0.9603734797543623,-1.1218648617866493,-1.047449785775639,-1.0935885419006182,-0.9217695736571453,-0.7310573889885569,-0.8293686555492072,-1.229878851961388,-0.6968962758655901,-1.458624802356066,-0.5389165265033978,-0.5636173988159798,-0.45397945200243667,0.41164409451308537,-0.7738126082176737,-1.7410407901114195,-0.518250520190436,-1.0632569805097531,-0.7978209247729398
T1_P1_V1,vpa,0.06875071201093214,-0.3229104838867728,-0.23576864306010992,-0.1869592421211839,0.10765086343378909,-0.13857668636199885,-0.16918792520308776,0.030862632011361284,-0.2196818898077328,-0.13270140539052366,-0.23954122693238655,-0.22017090431627137,-0.20764965232642985,-0.047919786877678394,2.4589463414719606,0.020812286087886593,-0.28722850224198965,-0.11580231117108247,-0.16248340865545324,-0.44023431229943744,-0.2665514269850035,-0.23811348946758482,-0.17787195264848424,-0.1617567118315863,-0.07599857137291588,-0.16932279463804276,-0.3006983364855895,-0.0638331422707795,-0.258411815483545,-0.3696170956159831,-0.28759115993507983,-0.31479489692363094,-0.5402119845073396,-0.4779363146225917,-0.15691828556675924,-0.10827735562909066,0.5140430970440646,-0.3003685474039247,-0.12213659782149461,-0.1876837953063447,-0.13416568464102072
T1_P1_V2,vpa,0.2699765129739167,0.376531467200962,0.4490727041858312,0.4621504515479774,0.30415046750373,0.3722462264388842,0.5551266911286878,0.24524864192209778,0.4512179415619076,0.3823278359583745,0.1856852293194677,0.427811836818759,0.4781706978747029,0.3055865686668455,3.0285761921460885,0.6579120817499237,0.5148956191163477,0.487156495726063,0.2702012751503858,0.29423615932852093,0.9673059880304976,0.34559079519554425,0.3388748397831487,0.6181323947875077,0.4227658231628025,0.3739587821237049,0.4055851622926259,0.40561625876015006,0.3071164154071907,0.6840713281776483,0.23421710019779446,0.6724276803994472,0.05659292879301961,0.1577272805920554,0.3519060398157892,-0.14793660140749273,-0.37546292790099206,0.7009120394267216,0.23475389347770637,0.3856924132227728,0.33297552761228194
T1_P1_V3,vpa,0.4237325522524703,0.6237392941340858,0.546546441237853,0.5608635367906989,0.31340546792027735,0.32712030519748597,0.5944359504378007,0.3731780844922084,0.6939075794188225,0.5244069118874519,0.26300525722078233,0.6053522457935857,0.5692405454359434,0.39641768264875876,3.1879682491270094,0.6920371822087723,0.6144508342970844,0.5031149658341486,0.43516577915806937,0.6578278009316233,1.5626683225431979,0.5391004009023025,0.6031878716973406,0.6965073162425237,0.5561364130677066,0.6219956377904481,0.5111943339511489,0.365411605470589,0.5028471601363943,0.9297861088614984,0.5999414283886417,0.840739606692404,-0.012284267758866338,0.33664478719408875,0.3521794354834268,0.6108486108674066,-0.3369592833922402,0.9427889603032521,0.10458543280384636,0.5515684026521849,0.4675509239539621
T1_P2_C1,cntrl,0.29257799960998554,0.9797429816199494,0.5625255505044948,0.5818046043433976,0.2199574055993093,0.3335679994183897,0.5697144064614582,0.26713888004977393,0.6827309677798771,0.5195154075593795,0.4794336216480382,0.5910466832112387,0.5362594803120075,0.4049840521124201,-2.603008466367013,0.5440521027054109,0.5918800982127531,0.6481452296032307,0.2941617935094727,0.6070051239573256,1.0555008868329763,0.6237415033679727,0.6109213282881784,0.73462416507866235,0.5204408419037215,0.6249849029189413,0.4357722795749934,0.4239508047853247,0.6848413800309693,0.8064974163439236,0.4349800175656427,0.7809275431374728,0.7737454382561019,0.5844182211778213,0.3096916302545506,0.2129027315956904,-0.08603577728783837,0.7749865526675008,0.530441647606683,0.6942974896273926,0.42822190718950315
T1_P2_C2,cntrl,-0.4448868123405092,-0.6008457574647543,-0.5676044708472652,-0.5903060493253554,-0.35505343770553577,-0.3571628363958728,-0.8428922707111826,-0.3827304985959236,-0.5950754540227784,-0.505052350510546,-0.21919010523851254,-0.47472321879100826,-0.5371381456972627,-0.33028656617262103,-2.5236598217693045,-0.7577562031142904,-0.5300008528035611,-0.3713792158363092,-0.42060728277752135,-0.6475290163256303,-0.24812544221101596,-0.41570540712254367,-0.421100150802421,-0.6814364058027133,-0.5228873461796512,-0.46745595533877804,-0.746007635416772,-0.45158482998966326,-0.41549384874766,-0.4796845897658335,-0.334831875837395,-0.8630210477302583,-0.35674155426710075,-0.4240502467958842,-0.21129338650135002,-0.6929975878271326,0.17658413914577897,-0.906614250340391,-0.23829641580689415,-0.4833813962181823,-0.41499626377239274
T1_P2_C3,cntrl,0.3056175446509937,0.7022489559537137,0.5199983546261142,0.5701137323478992,0.022616171941439788,0.3996119697344182,0.4012003546954434,0.15938189573235492,0.5890275268971316,0.4175537099364475,0.32325210885801076,0.5255068499533041,0.5029657050551772,0.2197292481914003,-2.0000083746537607,0.4038726210118247,0.6302453239636076,0.4949116978432301,0.2710656379937455,0.5120699216520058,1.4969177342578455,0.5645076096635332,0.450921989642382,0.26264001593351083,0.3788653646182695,0.542052298152691,0.3851025023491947,0.4856507805940324,0.5265935775757838,0.7612562522199097,0.3526510645278197,0.7547333277440498,0.6940002043182516,0.5276150300008463,0.3796138239309973,-0.12950388318063122,1.259213383470128,0.8998932029759176,0.3584089412972979,0.5974301432604282,0.37791574093314123
T1_P2_V1,vpa,0.13892535084370689,0.1853064699579673,-0.07779645216653704,0.06120219751855978,0.2383720652513798,0.024880512977865518,0.10427286513265556,0.0794917992627047,0.0717184713848289,0.11684885062696099,0.18730474665431798,0.0015371389104543998,0.06853684695877355,0.10045560821638422,2.6740698389064965,0.07508549354830182,0.004861740719013026,0.04792387518343801,0.07641255774281402,0.1579734535338322,-0.3482539102543483,-0.05629295829800719,0.05318146662176741,-0.25939548678095736,0.16714762970516095,0.10287309205638147,0.3318508148624485,-0.07766092190232901,0.18312992008992096,-0.03534455547323287,0.04437509654310831,0.031640872985116156,-0.26391343116924587,-0.15631217524717042,0.013413926413388125,0.7452953091546113,-0.45403409359648944,0.3117844725961878,-0.07954381913301947,0.07426553123884025,0.0873726994579117
