Samples,VPA,FA,VPA_FApM1,VPA_FApM10,VPA_FApM11,VPA_FApM12,VPA_FApM13,VPA_FApM14,VPA_FApM15,VPA_FApM16,VPA_FApM17,VPA_FApM19,VPA_FApM20,VPA_FApM22,VPA_FApM23,VPA_FApM25,VPA_FApM27,VPA_FApM28,VPA_FApM3,VPA_FApM30,VPA_FApM34,VPA_FApM38,VPA_FApM39,VPA_FApM4,VPA_FApM40,VPA_FApM42,VPA_FApM45,VPA_FApM46,VPA_FApM47,VPA_FApM48,VPA_FApM49,VPA_FApM5,VPA_FApM50,VPA_FApM51
T1_P1_C1,cntrl,cntrl,0.1672444569714373,0.0594413107504343,0.027688545526052048,0.06864141264619526,0.21284442742081483,-0.13226498736102457,-0.029231750328564607,0.021639153840086488,0.03448782089264394,-3.612661244810772e-4,-0.024804355386516045,0.03330766238614403,-0.02879783453967228,-0.08668188555063586,-0.04806962256094422,0.012062014068694317,-0.026210090383586952,-0.050269040855321044,0.030756392143668584,0.07494110860059754,-0.14755762752308127,0.1758951952269111,-0.020080018305624926,-0.16537615774768857,0.2689419771503773,-2.13709779382441,-0.3262001291394917,0.15420599685227246,-0.18165173452545946,-0.005581466584100589,0.06666842959066244,0.17686995085677013
T1_P1_C2,cntrl,cntrl,-0.05905876764288856,-0.031312929685244156,0.001046121253522503,-0.053269128713497434,0.03218807659186957,-0.19593906631458782,-0.04252934541315687,0.10187056185995055,-0.04165796646718628,-0.035577173490904744,-0.01066245399638063,0.013694521108498428,-0.02370731378877322,-0.04023507312738898,0.022027846067020865,0.02080137898256173,0.003840968727948998,-0.0023028040403917684,0.04301580867235474,0.19576995966129312,-0.20272511299765394,0.018230032354108677,0.14231359653649117,0.37460737699817664,0.13480389291323447,-0.8903318369879478,0.6369625220508469,0.23392309312466592,-0.046925960384502724,-0.020688909470537153,-0.30330840984441126,-0.2960794634354788
T1_P1_FA1,cntrl,fa,-0.2317179043602598,-0.0721803780691542,-0.04636260933023929,-0.13868012836950036,-0.05170671175671113,0.10729024828153019,0.03556790694707344,-0.13315810167282854,-0.03263993550835245,-0.12265801030078125,-0.01684661952828559,-0.06922959701567859,-0.009023590676526845,-0.2695990142320285,-0.0769704187960938,-0.07206316035705206,0.04582631566359521,-0.06741944678890661,-0.12505965087742607,0.16982322299631267,-0.33006220787706625,0.08061061875429752,0.10151407690497512,-0.7556713997587025,0.13875436105064176,1.435342988234527,-0.011268729582011167,-0.04285275436614991,-0.031879632504260846,-0.10489083903431179,0.632310279139038,0.6276338444383643
T1_P1_V1,vpa,cntrl,0.13291291920521264,-0.03401569785655145,0.02596536039787304,-0.012945027906438814,0.09553734194403303,0.1576580411029944,0.05970491449322284,0.0457462043815908,0.06979196989833503,0.18782925109048942,-0.019289287305994957,-0.03352277932313847,0.04354020872796905,0.11853814062053684,0.0047474434891239346,0.035195041251030526,-0.15177881296172704,0.0427544499676171,0.09762807448021427,0.014395962087182156,-0.2607929254984767,-0.08188373446176997,-0.033224201022800104,-1.2674947066487487,0.04777541055990272,-1.1852254608600648,-0.25528536170138566,0.13403903754347268,-0.02483386175058612,0.011409995360296219,0.47825223391004096,0.4406827041204383
T1_P1_V2,vpa,cntrl,-0.3163582019526981,0.2617543099793107,0.016947788561050642,0.09705452147579155,-0.18762486912689283,0.29741619077906223,0.06061199060291179,0.01270207762434071,0.06215090865879577,0.11654809335856374,0.07664328325415809,0.14963887334036524,0.029340864756342684,-0.20596506040186557,0.04326071162224516,-0.05892030506553513,0.0060220350738095976,0.07018913363496963,0.06939785551979116,0.07840963520090735,0.09487402781679612,0.23177343047943913,0.08323835314135264,0.6559197188030547,-0.07707540297324542,-0.3819842859458843,-0.2057640655957239,-0.029223644183871942,-0.020959917578335225,0.1284310286490816,-0.46707784765675003,-0.21936603789701067
T1_P1_VFA1,vpa,fa,-0.09040095871083498,-0.03228870356257717,0.0016751732926115715,-0.09788281477764049,0.015936471693631087,0.15003509984600216,0.012901889884538722,0.029377585079191127,0.054693587264480856,-0.11003067974093296,-0.045326432654024015,-0.13752051975604293,-0.029432071806432383,0.12330158759633907,0.013026784837068857,0.021629623800705915,-0.07976179451483169,0.004999567433296373,0.04252904705715731,0.17543159202297415,0.02303134286394178,0.02238323641290217,-0.08522540702431658,-0.26987580393212424,0.05221503456007118,1.1361621535246875,0.5295184976859733,-0.11418599881852304,-0.0052271764399122456,-0.002204661279765173,-0.061063304479297184,-0.1043236880445163
T1_P2_C3,cntrl,cntrl,-0.06679497576874456,0.02291191807786897,-0.04078319477537452,0.0375427014306906,0.056356513741948645,-0.020874953983809036,-0.007035933560106305,0.003443816357450047,0.0371355451494192,-0.1095012639892737,-0.012684875153776563,0.05413469570565163,-0.03610333893779486,0.18363967743872148,0.03535458275548275,-0.010225967199317702,0.10599698046012279,0.011182374063277763,-0.04320268661672351,0.09875693201953853,0.1428579170860954,-0.3270572741706663,0.07722260316970327,-0.34588436258544936,-0.12662005512328176,-1.116538238223638,0.16890618116788902,0.0657521288014842,0.05844439113283132,-0.059170723793539666,-0.042262256753775526,-0.051065772465279775
T1_P2_FA3,cntrl,fa,-0.019112112547422733,0.04020147934171972,-0.04031400048208358,0.04636055735915822,0.048777119318136525,0.08086568435389559,0.16996741579122002,0.06291763217268105,0.030082480984050808,0.256863924642724,-0.022085343271655504,0.0641672352249914,-0.014294718318545858,-0.09337333208829836,0.008217289553974967,-0.015238170493800786,-0.11707656056665629,-0.022459905636103675,-0.12472745562495938,-0.3370128173985358,0.35074132732529767,0.05111980745835376,-0.014936325294527191,-0.5140228423872075,0.15995157109516764,1.138345637901311,0.1045001625885681,0.08493792847690781,-0.12790456254305238,0.13962078866164793,-0.1310330114985645,0.5444409443012682
T1_P2_V3,vpa,cntrl,0.24576535684373263,-0.02325883775112759,-0.057768880552853945,-0.19630853732748682,-0.019527615227648537,0.38091821933927694,0.015240186939993136,-0.08631298509206375,-0.25991394974151355,0.031297005411151865,-0.1330503373286585,-0.09584106195917623,-0.10652978591245188,-0.1871804826353293,-0.17452649889265118,-0.10775967425120192,-0.19862557198338263,-0.10238324686346344,-0.009609419621674414,-0.36548927050470936,0.13166519885793446,-0.4140878779373327,-0.14096719367109417,-0.26000801296459597,-0.23182615676520935,-0.985054437165801,0.187052046731027,-0.10587973167339981,-0.011809147354179067,-0.09858536101624878,0.6196828410201288,0.17427755783800225
T1_P2_V4,vpa,cntrl,0.14911860846088004,-0.1114032670167354,-0.01906861677549026,-0.013378550511150535,0.013335521362523129,-0.17510986693554342,0.010645081066461231,-0.035865650155030765,-0.056172516043006,-0.1543289553696307,-0.010850309423974773,-0.025091799216159123,0.03594448157340522,-0.05863264445441705,-0.03106968311169611,0.02519158094074226,0.02441009961195021,-0.042179766679141556,-0.03321627411660802,-0.020234367925967577,-0.0420102861926791,0.13670478004191283,-0.0492430334135061,-0.4028136361127505,-0.14964035605667833,-1.0540280185748754,-0.060643910652939476,-0.021807595054005393,0.010899243178521659,-0.04097307351283081,0.3976789790286781,-0.011424720574447322
T1_P2_VFA2,vpa,fa,0.12258593772319427,-0.05620446630367132,0.11132442378376964,0.01111929268979352,0.0966123121819201,0.20984070362806037,-0.18031215027590106,0.03689498469185053,0.09171886942777412,0.04646409719373641,0.06855631151625716,0.06519580590013,0.11665749269724739,0.0803768603742007,0.10353944838572733,0.13636481040687826,0.004888718740805133,0.0867258658767393,-0.09500140448827166,0.4721675690651643,0.1896593171892847,0.06931297392993876,-0.01436929281658409,-1.015485602207075,0.04325957389282317,1.653670530216265,-0.46700224689079084,-0.15415513203682346,0.13076264543357807,0.13004029221433164,0.0025492883135914968,-0.2741825178479011
T1_P3_C4,cntrl,cntrl,-0.2856940861724378,-0.060161105201932644,-0.06908254215832786,0.06366127617935502,-0.06278865582018864,-0.41336662820601444,-0.10525777543059024,-0.1463263990849939,-0.034094410295339966,0.036132333637922794,-0.02128441274460388,-0.06501464599830711,-0.058399621357873695,0.011904441727217137,-0.006130304317841324,-0.04149401241213296,0.07976189568159447,-0.028074154330003546,-0.018650627394471264,-0.0501668697013593,0.1508406001233268,0.10906060675257721,-0.22047091204565475,0.49395378166802123,0.3290821098895547,-2.4400099706822784,0.03672541342774342,-0.024141099451883846,-0.15943327669572674,-0.07823863545079672,-0.14247982155743644,0.5286566980687818
T1_P3_FA4,cntrl,fa,0.21435698894310118,-0.10129650653668497,0.006691720577560049,-0.04266387790842992,9.10255634827023e-4,-0.3341948857455621,-0.05723545760693366,0.022305408961978766,0.055823466046501485,0.09283475710192139,-0.027760187239492615,-0.10316441648611532,-0.05064675302499333,0.10141067025528358,-0.02747095631884608,-0.02750084054286929,0.029558772099970168,-0.04059642860942468,0.02419377377440555,-0.021319363930662014,-0.193962660644055,0.1584170398265972,-0.07983089026622447,-0.017707831260909943,0.3405106054550845,1.1629817701539833,-0.14932533982679252,-0.060311528246406274,-0.15303520682651406,0.044290722786009255,0.12541610958275226,0.33329593730496027
T1_P3_FA5,cntrl,fa,0.047725928899736855,0.032520252348740994,0.025280413341740936,0.02322652468772383,0.005313580471223572,0.07200595638419925,-0.0052789253844288155,-0.03133241142872297,0.03944860009352933,-0.11011362208008539,0.10373545704491427,0.04168496421607506,0.09186907660964695,0.044750481230111466,0.06644865062264324,0.044284252067372396,0.0715203243423123,0.035287298720597216,-0.08867432993528429,0.2363221475994059,-0.14797020226789856,-0.06536560916925406,0.06523079040016479,0.5288772875001844,-0.2226594167121561,1.5537314831237132,-0.26648893392423567,-0.11195507551128858,0.015205669993219012,0.07043239389628374,-0.20978884760964978,0.1393492709213741
T1_P3_V5,vpa,cntrl,-0.02333749370301083,0.026120798961455877,0.01887766573637175,-0.04704957755471668,-0.14391067233538382,-0.16547033975953943,-0.060916252198506944,0.06661614621550722,0.06020954402897245,0.17793347048371513,-0.019452754054968102,-0.023151007340748223,0.019347729836861446,0.1895866516971057,-4.167928397619241e-4,-0.01333334335370246,-0.08627208239582213,0.05017355416371308,0.05086049589310617,-0.3513490003445474,-0.5828047433430175,-0.15562721305282692,-0.01756537332030333,0.5194274361228347,-0.06310311671266118,-3.413994436946783,-0.10765014652182862,-0.04092608173466908,0.10901040055196826,-0.1042241924904006,0.41452721101449175,-0.2949204848928397
