Samples,VPA,FA,VPA_FAnM1,VPA_FAnM11,VPA_FAnM12,VPA_FAnM13,VPA_FAnM14,VPA_FAnM15,VPA_FAnM16,VPA_FAnM17,VPA_FAnM18,VPA_FAnM19,VPA_FAnM20,VPA_FAnM21,VPA_FAnM22,VPA_FAnM23,VPA_FAnM24,VPA_FAnM26,VPA_FAnM27,VPA_FAnM28,VPA_FAnM3,VPA_FAnM30,VPA_FAnM31,VPA_FAnM32,VPA_FAnM33,VPA_FAnM34,VPA_FAnM35,VPA_FAnM36,VPA_FAnM37,VPA_FAnM38,VPA_FAnM39,VPA_FAnM4,VPA_FAnM40,VPA_FAnM41,VPA_FAnM42,VPA_FAnM43,VPA_FAnM44,VPA_FAnM45,VPA_FAnM46,VPA_FAnM47,VPA_FAnM48,VPA_FAnM5,VPA_FAnM52,VPA_FAnM6,VPA_FAnM9
T1_P1_C1,cntrl,cntrl,0.13938769216132468,-0.24728226028419126,-0.039046577042922186,-0.09335833265497345,-0.05884030476750296,-0.01602588887708362,-0.05201696116165314,-0.044099567446940324,-0.02606209857892296,-0.09788380212622931,0.010110066821826351,-0.051414695781745616,0.11578118924916216,-0.13957432240112622,0.08275187476100793,0.3138009124816845,-1.8539570115921287,-0.05045256339396291,1.7112430742968754e-4,-0.032543642919226234,-0.05439646133373693,-0.009126967010380151,0.10429209999226456,-0.01465429841113839,0.030623627511996633,-0.009754917074797987,-0.06866884193032302,-0.14792821325857763,0.394170204181307,-0.05183502286057209,0.19254711238313663,-0.017149664100215577,-0.008787061775375441,4.578546279521469e-4,-0.029994461977545406,0.1716358826742776,-0.009610967741255904,0.06435621468633153,-0.016891349956262743,0.09256831104064027,-1.0700098373335045,-0.046571847765477944,0.02299407300212708
T1_P1_C2,cntrl,cntrl,0.057191482679989684,0.10626066145902474,0.11245204526802766,0.02905387610973687,0.050103618157156346,0.017659834515567477,-0.021332031322668435,-0.08028288754900298,0.002685587147983742,-0.10113139882629472,0.088708017761834207,-0.042619685208520844,0.17898671884074588,-0.006901064831492547,-0.047230674909929514,-0.06523610803833904,-2.147716316257745,0.02633852760786686,0.045053271931154965,-0.0760885345642081,-0.008445769098502079,-0.031849504167961805,-0.3310903854866229,0.07840549870449394,0.08872242346935297,0.06501320926327754,9.750109572828746e-4,0.06496379589755184,0.4471324653706882,-0.05681768719459434,-0.14996729903211242,0.010986916940831055,0.04122774817807973,0.04753035702077721,0.12829139402769044,0.12782013179688378,-0.016197694776892913,-0.07305603530863382,0.040386517001333735,0.14366431514529,-0.9888332783467824,0.008612624331244044,0.07038886146493378
T1_P1_FA1,cntrl,fa,0.1417248397155771,0.07481843562160631,0.12606039324467738,0.19274292681283783,0.2196244515062374,0.05508177177367657,0.02701891790316363,0.013333098927889912,-0.028448958238774087,-0.02796088760460278,0.09532835909870505,0.006637091751068941,0.06356695370657699,0.00909726291479426,0.0629989789022277,-0.028439359544255784,-1.8737748192016737,0.08375686618067577,-0.08182329236192816,0.003832515632642683,0.06172411630667861,0.043089596215003974,-0.6682040763549952,-0.3190058761371512,0.014110953723504868,0.03089572529269638,-0.5249494052400272,-0.015090446040497842,-0.4483933689212361,0.0013372822137431833,0.15206712811492204,0.01400005347358339,0.052351519647726906,0.07871901372348752,0.08853890187084507,0.008170665836261876,0.04648411978093616,0.004921909785296805,0.025423648359345706,0.13086356701796453,0.8743580106938654,0.05364276153779454,0.0056039622939758
T1_P1_V1,vpa,cntrl,-0.02021337418959622,-0.13250667090810198,0.03362396300980897,0.08344013264764572,0.1010592747137896,-0.0242465027076122,0.01956232539179588,-0.016052267154864193,0.003503025968588566,0.10568362461667132,0.1435460173394535,-0.008537123153516329,-0.12032696808132592,0.1004638884628728,-0.003398279632048062,-0.0760804454875077,1.8404709120490073,-0.0035438168688198407,0.03501920590578131,0.014158055264848559,-0.016165668248511587,-0.04038705508059804,0.1571412835516799,-0.009094821958760792,-0.043510418701810966,-0.018847278015995655,-0.05340046224406131,0.036091786432424625,0.3195143400190411,-0.13385400881519904,-0.13919245463285917,0.01947742639311697,-0.04059520209421201,-0.057469632745250035,-0.040103695353716384,0.15926632290899118,-0.01872538186589978,-0.13638964455236752,-0.08907403311079139,-0.14949594101975072,-0.965587440417737,0.05844638803812492,-0.0890025801239465
T1_P1_V2,vpa,cntrl,-0.04700883778325177,0.04281141539528204,-0.08781900391796757,0.020550930054972286,0.0010676394323238976,-0.012822868258156615,0.040437007190829856,0.02005833897304332,0.003885568408546216,-0.027175513030999184,0.004500144936606847,-0.005614146535980684,-0.08502633281731235,-0.04319932544107827,-0.029212564657802885,0.13885011364668642,1.883722186230123,0.02255465491173657,0.0644728056372602,0.15829883885917617,-0.035108366509405804,0.08193415485631445,-8.867874188551901e-4,-0.05596782620039782,-0.18091464689802597,-0.05222562116850764,0.06442974868221657,-0.1682907449559835,0.09298090421062898,0.05768163550530946,-0.007469523421550078,-0.0071639406295284005,-0.04800888170188001,0.008967879543036478,-0.0896181653413357,0.11367928327106717,-0.005454219943659175,0.09105468664283649,-0.011861434132791487,-0.15907241296906738,-0.5015624119363246,0.03221627330147938,0.02564745772224712
T1_P1_VFA1,vpa,fa,-0.05970018054425595,-0.18753368837384848,0.08152593797562474,0.16462193456828816,0.15512223179929038,-0.006662275079307604,-0.0630736481943097,-0.03880587748715324,-0.02795439649755735,-0.021880835391408365,-0.07240730042462623,-0.013187018465008422,-0.00361505138573337,-0.03232180443569987,0.035892385146351596,-0.1448075539423345,2.0155132668279436,-0.06017627741927979,0.03585677968508266,-0.005870681060253242,-0.0035703933839379065,-0.010205285817603809,0.006244510057710262,0.012307378554062474,-0.016555109725173246,-0.026357685947080566,0.038214343620075225,0.17858372149196705,-0.45021905684418345,-0.01662130766511575,0.10060135943491395,0.007454919570893559,-0.03708149313887267,-0.015293689705926615,-0.10383769020643754,-0.0805844380002185,-0.02120022809605774,-0.09721993386413384,-0.020754294680922696,-0.04733517971146893,0.9463015912505218,0.04331763652791881,0.06612206244388884
T1_P2_C3,cntrl,cntrl,0.09746702847905572,0.02634778325139065,0.058784936285633735,0.07704788471721302,0.035018725518580734,-0.014527915248234421,-0.018763777901264902,-0.06974142513035997,-0.033377639399200874,-0.16912060846893345,-0.12655241639564585,-0.015897603504153077,-0.03725377791837657,0.007266471165739436,-0.0015673820955093322,-0.0927669708897611,-2.2688292565362063,0.009201555731303867,-0.17111466531451244,-0.010862226915688894,-0.020210556516031285,-0.030588727121361663,-0.31256433134488504,0.014449298706178818,0.08847049126525718,-0.011229474454349369,-0.33880942359422933,0.1100443357858085,0.4242685813804619,0.0072524668295795,0.15816422753632495,-0.034920727821356384,0.006720758391328038,0.0015175882014541303,0.03524322616050545,-0.03008902567764613,-0.0026330599635373338,-0.008925385805370393,0.015905124338213502,0.14310972200556887,-0.9361132306167685,0.012285224314047499,0.028246517593077218
T1_P2_FA2,cntrl,fa,0.05037320801706667,0.07232217349024977,0.06262441215841485,-0.34087799108584177,-0.306280783723109,0.017921887960482306,-0.021324178794406047,-0.03556140792109598,0.05281347958554765,-0.04024157097335611,-0.18504532812291702,0.02476165405345288,0.06145087246102632,4.952206536950922e-4,0.01976387402263828,0.08718937885192274,-2.2268608092388638,-0.0030415687867227457,-0.019559278704737008,0.002206588731118359,0.015654274350183413,0.019063272091603304,0.14940773855646217,0.03936143150823893,0.14772320960474042,0.06406681406475573,-0.22083201865544994,0.04791954350437844,0.42169436701475044,0.0798859637783872,0.12664166703709936,0.04184707526781035,0.0415481787011462,0.0484365614320719,0.1305596709982528,0.21490588666472868,-0.006983782427323759,0.017424075355123483,0.03362617853675986,0.016107115760182283,0.8404724921116759,-0.0043536253615574835,-0.10393353999295223
T1_P2_FA3,cntrl,fa,-0.05928853973829716,-0.012413840478389032,0.13698512918608352,-0.12717676109289935,-0.18481502843203934,0.09025384430451316,0.14260049231168018,-0.018104579900329036,0.035405862602422664,-0.02138971747744018,0.0794847662764152,0.06463628430616852,0.014489316856115441,-0.015751472462717034,-0.05012542558170035,-0.01507756251070596,-1.4541146097750919,0.0053200374445189855,0.10260632188940853,0.04118747135945813,0.055555530667069725,0.07777729205106959,-0.1795287426596323,0.009423195762165703,-0.006425654667158635,0.07570888612038149,-0.2839632150605092,0.24056598358638098,0.32203673123132126,0.03621348253423219,-0.24868018971290123,0.034612035384183094,0.06497535210292962,0.05744057020206173,-0.07971666417149875,0.22615992049106912,0.003583858183478176,0.14961369393132265,0.07876983865705688,-0.021045579447671464,0.5808957156229336,0.07798395719964316,0.014057797636097429
T1_P2_V3,vpa,cntrl,-0.04028859350552551,-0.011618261967571895,-0.013543461018127749,0.14397654779499588,0.19599856407493838,0.0022207879499460685,0.05283627704065049,0.07688936587588285,0.014489131358637587,0.16935922690683716,0.037050911585374165,0.01023584075766976,-0.08646136084597522,0.021457078455336943,0.0740026969608895,-0.09651493225674315,1.9229229413646594,-0.013921642535333472,-0.058593152043563815,0.08666492752944951,0.019626712681710547,-0.008110703206837197,-0.2737516058022683,0.032406077364954225,-0.05144584999843104,-0.03430708621397745,0.008813485615343343,-0.2526968841635558,0.36270417897394464,-0.01224388054236366,-0.2532920936267726,0.024298862713728487,-0.02214057662285487,-0.029244328931186343,-0.12869941064663415,0.017385426563326176,-0.02698848974810685,0.07968421077752987,-0.03889360483859627,-0.09073355832024625,-0.9897028527827569,0.15227137077944305,-0.014531880492086993
T1_P2_V4,vpa,cntrl,0.14884170463994184,-0.01982871456804596,0.012793056448225586,-0.16914706373857843,-0.20607504260603005,0.04097602620275876,-0.0028254686669181434,-0.013819892501587541,0.039825721587735965,0.15790042319590147,-0.07939353502381735,0.05967236701875274,-0.02992028429114384,0.06696182463317377,0.12191456806460546,-0.1057611558101351,1.9673998992687136,0.01628046804829293,0.06993850499361146,0.021750000434705364,0.05895060208677645,0.041786812120410494,0.2623216395115813,-0.2922697470869119,0.09147480812404907,0.06638529322819434,-0.08876303063921777,0.03519540280880766,-0.2745074607744747,0.012294599761573358,-0.043897374804225134,0.07038809387880668,0.035515249406219494,0.04750471121916297,0.05748248012951399,0.19089826729878073,0.02519334084988476,0.19072525825195671,0.06863008550227542,0.04088096474214953,-0.8624042224119545,0.016145956480410527,0.05447997325687357
T1_P2_VFA2,vpa,fa,-0.082443123686266,-0.03168038218878279,0.07229288856133449,-0.003385556630874918,-0.004840300596605835,0.023707750711396084,0.04364333856549084,0.07851257219722957,0.03687832559009115,0.1410762687908524,0.10860538667279757,-0.047069420672793516,-0.041051069775357774,0.08559128534760871,0.05150209548813869,-0.21694249452209693,2.040337364361178,-0.0763679016561036,0.0012631902641077456,-0.06429242821488707,0.05437603309722401,-0.010544985093126596,0.02642780810540419,0.0442882762161366,-0.044189723435149084,0.02916250471866219,-0.021217631662676234,-0.056693748867600396,-0.37382919167509104,-0.06381344807588595,0.04584192305828698,0.004840780033043191,-1.3543088893560283e-4,-0.010681589493462238,0.02435839386378638,-0.15404660783088037,-0.050604750066677605,0.10352727170355913,0.03354039321223986,-0.06602572584658804,0.8871057474706597,-0.06525875984674916,0.1024751195319994
T1_P3_C4,cntrl,cntrl,0.031046795324516124,0.008698006253633768,-0.40084252936536147,-0.25696817316590553,-0.28083882431964263,0.04072683639235822,0.05449225812707743,6.599717944164307e-4,0.0032927085322850174,0.03850096384473485,-0.05332653913421903,0.007477021283312575,-0.04209506503370235,0.07632300345618602,0.0689120819290981,0.35900996691986103,-1.7252108387788008,0.04829200609544099,-0.06362092675991991,-0.013139853121632359,-0.016060341059536066,0.06494716698123609,0.30097924372916957,0.07251847411660978,0.05979211889258279,0.027953875583963346,-0.1322674849052358,-0.07937588429109813,-0.37594957579569016,0.05180324384529525,-0.10185083373790457,-0.005019481615844951,0.026870481736354857,0.04110974547218253,0.10094623891021971,-0.028343258050655646,0.0770368047097072,0.18323190448044915,0.06957393220558143,0.09764303693038717,-1.049941155507134,0.028600929283581253,0.07148489229612984
T1_P3_FA4,cntrl,fa,0.005499258337331038,-0.029471026294511156,-0.36475318288112474,-0.008782500943280449,-0.017627851632560372,-0.0043996347645005275,0.039355177704086454,0.10159027945291935,0.013757787227065263,-0.09024925114119332,-0.020995439366879552,-0.06468146003776726,0.015172511261373714,-0.05754455412852988,0.00806324805954499,0.3186911362975755,-2.0821952765752143,0.02659662018339389,-0.018725566132044427,0.014249756462224625,-0.06747148792138005,-0.028305301621712787,0.23444097530801278,0.04215266572738275,0.019065187449113327,-0.023839725499236502,0.0013993761825565696,0.00856620236894878,-0.2812893703289391,0.005246163955970039,0.10493697356928586,-0.009692400781639986,-0.014629714690462804,-0.0016213918048238098,-0.016375164570696116,-0.052237261374834976,-0.004313041537178787,-0.09659296731927577,-0.04736519020259391,0.034993890334669736,0.9239712273742805,-0.09003208463851751,-0.0815777693738986
T1_P3_FA5,cntrl,fa,0.05185730437719308,0.1630716875001568,-0.023748731118863307,0.013536951898563965,0.020833207725907094,-0.006960147274711191,-0.015851735702299967,-0.00984599503747219,-0.034558315722508726,-0.07512981068306863,0.20278844558582237,-0.0072288462086676445,0.11313517123496394,-0.033924662731001407,-0.016642354951016028,-0.020690561744930995,-2.151340525847766,0.01811611460542202,-0.016924797812018014,0.007335783170354961,-0.010450318219554736,-0.016893300656714585,0.10680349977749273,-0.018581070223112575,0.014906348862207198,-0.019176753115976594,0.016445865809190968,-0.10974727911961826,-0.14007973705786786,-0.02731481917307571,-0.07767497172979684,-0.019972592395698364,-0.013628689941945278,-0.0026508498675392993,0.05685243894883261,-0.003192453554867334,0.012295653044651368,0.030992825450354564,0.014459181467503038,0.09597428918316585,1.1906132225615316,-0.024861736085851766,-0.014246015024956805
T1_P3_V5,vpa,cntrl,-0.050283424029828966,-0.07576135765149117,0.03291100314545559,0.07162587860128991,0.07371762433288419,-0.008615676694122755,0.028159213762653477,0.06347241887669397,0.058289206003159316,0.16182720236094666,-0.07925099550213469,0.018564117223969452,-0.10056380515787931,-0.08756643958987059,-0.1416242599144915,-0.014454438630080967,1.9223819963753113,0.047464563326818365,0.09495207423868435,0.0736563286280164,-0.02801500262421494,0.03398575545322003,-0.13341786346976975,0.014346480427844298,0.02384196987917913,-0.010487521486960662,-0.15429275638175502,-0.11206295495597032,0.275342108184568,0.05354729970948459,0.0686765436392078,0.046503734430776766,-0.01809606518284875,0.0609191327280678,0.09152349126069063,0.024897751400831565,0.0625430905694331,-0.14944888569336598,0.04629539188913526,-0.1500496937144037,-1.0113160639670278,0.024704784733478348,-0.027668822227743396
