Samples,Treatment,FApM1,FApM10,FApM11,FApM12,FApM13,FApM14,FApM15,FApM17,FApM18,FApM20,FApM21,FApM22,FApM23,FApM24,FApM25,FApM27,FApM29,FApM31,FApM32,FApM34,FApM35,FApM37,FApM38,FApM4,FApM40,FApM41,FApM44,FApM47,FApM48,FApM5,FApM52,FApM53,FApM54,FApM56,FApM57,FApM58,FApM59,FApM6,FApM60,FApM61,FApM62,FApM63,FApM65,FApM66,FApM67,FApM8,FApM9
T1_P1_C1,cntrl,0.43719360235486837,0.11989348878640353,0.06549091985881318,0.05887120523501798,0.2411944560553462,0.152364486817137,0.19782035068823947,0.05165635312062321,0.11384319450695783,-0.32014346375095787,0.07095489171385999,0.08270714106582912,0.13518324547382526,0.11001235933301684,0.06543270051253859,0.27319839521878203,0.02964643789955427,0.06465845159433686,0.3596499269753853,0.05728686613286675,0.13733158507180732,0.07214908491757273,0.16890265080583683,0.12352572619167802,-0.8958676570734301,-0.20175293733750693,0.06255824324355057,0.13402896655392355,0.5110688884313118,0.06479909282287369,0.10173845988456147,0.08267133075569848,0.1347701137144252,0.37380822636680305,0.08613376647730593,0.07703984642608018,-0.8295880185003885,0.16111668653028408,0.740537147246861,0.029766254542553737,-0.02488988979859084,0.03199395709071892,0.14039460876186616,0.20305807035056483,-0.01024072766563431,0.225513299749652,0.1990209137647307
T1_P1_C2,cntrl,0.10715471653499639,0.0334314101166478,0.009762737494200348,-0.09041609574858005,0.022775134293796337,0.1334444258500289,0.06485622991471413,-0.04420744246003226,0.011718029772876245,-0.1201775756270098,0.02224591243250816,0.017307413726600225,-0.05614023190323214,0.04491316032979445,-0.02222476013490148,0.30440008815888225,0.08503578839451997,-0.007771100132305987,0.1366613138261596,-0.12495834797801311,-0.04002210576716696,-0.0019488164788944006,0.09317479405064054,0.0605093391333678,-0.31573331395006726,0.21567117459487356,0.44868151562484976,0.016675970654495862,-0.31029683615129355,-0.10060311224883428,-0.013137214281374255,0.022106987611970996,0.006307321303978503,0.7756367534074018,0.15100768617724722,0.01254844410054357,-0.8208131360549732,0.046953237760685974,-0.38946731065028173,0.06262692901225694,0.04066802783993246,0.02317306781740993,0.25961257049435205,0.2695310180627142,-0.0926333152025117,-0.19604217266574633,-0.005125071237603293
T1_P1_C3,cntrl,0.011312556511846802,0.011070952385649549,-0.04460556423725501,-0.04782283006640984,-0.002971413997238846,0.20469526804255173,0.08045240903987191,-0.02423073138134681,-0.01442252441923134,-0.050488898859340346,0.13769471341744224,0.039157452376052504,0.038500957275930746,0.040835781438283786,-0.012991857395029203,0.3559420646334051,0.03361189826951183,-0.008630724995108105,0.21837209088656556,0.3662094690365877,-0.0011889798270067267,-0.006390117240858138,0.044307493835379554,0.1559020792271688,-0.36366539995278674,-0.4000100157017635,0.06326154082999831,0.045332221965138,0.6846927326688218,0.2800732789236888,0.02084966660946134,0.021224580661863026,-0.26816942580680647,0.43866029400460144,-0.11566292300543482,0.27755278741457207,-0.9832634741318518,-0.038121706147210235,-0.026754354458223384,-0.07591066446436688,-0.1616162880928754,-0.12319671310113267,-0.11465535551768212,-0.008065172659519435,-0.05412870511761642,0.1351665427279695,-0.06840391796611539
T1_P1_FA1,fa,0.24837007582554516,0.049916466378948234,0.046513090903946876,-0.025823963577624245,0.16531333389651226,0.07929444461098759,0.1330495711402206,0.12886386983066914,0.07191210878893402,-0.07258120877955128,-0.0748002282924125,0.05234386606754318,0.017762986411410858,0.06101535817928062,0.05698342933071948,0.0972260461514531,0.07163600096056946,0.06769880251665282,0.2058936808263287,-0.008916177031795577,0.03338879062129333,0.04069504170475533,0.07862625897181506,0.12758131645687046,-0.3154021262300277,-0.22495318603821013,-0.029920509383550578,0.058187126367086464,-0.12908416492949398,-0.07238947227178637,0.02223027722696131,0.08386223129057419,-0.28623242287560396,-0.09951323811583516,-0.015296063067758308,0.0465405953130906,1.1930332800981456,0.01316003313911295,0.08477306716518732,-0.05143749821121335,0.0950130546302031,0.06494385675608258,0.05210583375298185,-0.03144250861710243,-0.02151428987892485,0.4156415587323487,0.2188571677769356
T1_P1_FA2,fa,-0.021346513113732743,-0.013910846642382933,-0.12562523287385552,-0.08232611044034106,-0.014833448951320972,0.01575048753896922,0.015909602379307605,-0.10779337917296258,-0.10851948199509705,-0.40480283816827906,-0.02982237055919063,-0.04150982229899604,-0.10781471412792466,-0.10459494535738408,-0.13391643217032068,-0.06934094084754136,-0.04506348664467697,-0.08971573350430664,0.16217342792528705,0.07630057667419828,-0.07577595322901695,-0.117848838822458,0.06043164303824736,0.025679072967405285,-0.03999606983122461,-0.551519247713717,-0.1681656852677477,-0.026811315657310892,0.01335957957276436,-0.11572063403628015,0.07211621759811145,-0.159202559163099,-0.03405863688906106,0.13783028946344877,-0.12757971403119364,-0.12576812361289402,1.1245241857652213,-0.1299070285822229,-0.017669924685841304,0.00577541000953429,-0.05174149559797041,-0.070845737106539,0.2510892561357773,-0.06345072298957125,-0.04386035703073926,-0.20181530793831542,-0.040438513864656224
T1_P1_FA3,fa,-0.07185255716157078,-0.00567558150980935,-0.03709485299130388,-0.060752790665622475,0.003011247080083601,-0.10518574817180389,-0.001976188997017382,-0.11483221634931959,-0.045394287928006385,-0.2671614855620116,0.19519669498465037,-0.01105485184386073,-0.11533527683361709,0.023384447738997262,-0.022146662620852627,0.1693979475653534,-0.03608680532946048,-0.022986715493826783,0.04171413778325776,0.1271852697837858,-0.04719223134541771,-0.01728540050169631,-0.08449453081317107,0.06264720200310853,0.005791679260357119,0.19484494259121649,-0.07001007936460883,-0.020946128593409507,-0.09000983746439094,0.05222401511258975,0.016034146832791373,-0.06938204373670497,0.33066144795955904,-0.11151981232036855,0.04801927240485576,-0.24890181893881305,1.2570490742467293,-5.988572397640259e-4,0.17535677577072326,0.04944024522684424,-0.037607170888669744,0.0904212112088347,-0.1852785218018795,-0.02521486417176806,-0.015185393809683607,-0.19913380583652243,-0.04490904687730806
T1_P2_C1,cntrl,0.2055458000240139,0.025922906363767647,0.03995123644187296,0.10198886105795837,-4.8698599859815783e-4,0.03263856105091171,0.020210186509225635,0.09028363913479508,0.056468844061530965,0.44479008372533363,-0.04350836532153585,-0.0023616750258306386,0.06565572054337218,-0.0030914434991926483,0.05158719217853995,0.16725119064109875,-0.07803114661485708,0.01068616861972873,-0.10683505792177987,-0.2684003742927401,0.007442679590273293,0.024195574035523075,0.005595497661734179,-0.028671238189686633,-0.052756216026062286,-0.06466372769484019,-0.05304482481839015,-0.016594423166640972,0.9325150579945072,0.07263222173684332,0.014348982850026781,0.04359404509223039,0.11429161660134607,-0.6453661595212541,0.08435352509119223,0.008312712604280712,-0.5554527342394302,0.12546744500010318,0.11878734192901877,0.062219957120859926,-0.01594005755110945,0.015576041707086128,0.31775004610152435,-0.1006977619071594,0.11037563710160833,-0.07144045580168565,-0.02862680777335981
T1_P2_C2,cntrl,0.04313081306144623,-0.050987055886309474,-0.12125096506772454,-0.19588821583734034,0.06894868645387846,-0.0893345647865376,0.03310463804473433,-0.09741936395254785,-0.09724934393362872,-0.7892976531294534,-0.2532321018716887,-0.03084280632151598,-0.06392238245765042,-0.08426426621895744,-0.07394636434019229,0.03274653562589049,0.2125477913599469,-0.06444446787746683,-0.09483951403582246,0.34663541884467397,-0.018128384832009698,-0.0815341887546661,-0.03580223499846227,0.08306151772105826,0.25119573147407076,0.3481481381421092,-0.15342541533203644,-0.05693742610729925,-0.8199023142289619,-0.2043696123020095,-0.03758373487215759,0.003420292369450467,0.035989867114033444,0.44618644260646734,0.2111346308798343,0.04733278813546999,-1.3362325865567792,-0.11735861408021206,-0.5117630999826684,-0.036720871259371235,-0.006148358494667566,0.026547632426317,-0.3937611106633032,-0.2762119643333882,-0.2384029068273349,0.16577474356534905,0.009443198309782477
T1_P2_C3,cntrl,-0.2360496673774517,-0.025838227240177324,-0.06295755062719251,-0.012549396792765297,-0.1765662849378669,-0.05330592073815381,-0.04629299196288783,-0.12628072002891447,-0.10608007827690742,-0.505851798064971,-0.5510164387720282,-0.05954580652472901,0.03142216435714315,-0.056633655329166616,-0.10489448787045891,-0.1077127853884855,-0.015534571717067607,-0.08474564843689594,0.017836613428654273,-0.160693038287588,-0.06696760946263801,-0.09483265825558389,-0.11031603130358546,0.008937718056357492,0.33984854491853794,-0.12200570547435403,-0.1312950313014063,-0.05321964348671067,-0.6203683711548977,-0.19066672813753338,-0.16748846233369497,-0.054277897338116624,0.16354487632216827,0.23376637455538307,-0.22302703410025906,0.0900370728645538,-0.8593742415499571,-0.1458458126866089,0.1699313368772428,-0.08504065342010268,-0.05419855678859946,-0.08967343548253538,0.17292843154233967,0.1277290869077964,-0.13813253408480647,0.18488696321047676,-0.09786970158455516
T1_P2_FA1,fa,0.04992380018253009,-0.06623160189528805,0.0040672432089637525,-0.05091037213760674,0.03734811017213828,-0.04731690818673573,0.006424256483660781,0.030930532187501043,-0.019191136992627773,-0.244788022378729,0.0595734182041049,-0.028488364308516777,0.012625220980302346,-0.026983905734137434,-0.0020569355737801234,-0.08228065144812405,-0.02351961199673069,-0.02178246729455746,-0.034363602175272165,-0.43780538565043114,-0.010251990040874567,-0.02347465293742848,0.04388387726453688,-0.013694027439601204,0.6901593768853351,-0.07576505802417777,0.01329130273134946,0.02355560503480671,0.24502507632421505,-0.0633181790035183,-0.05328236988164538,-0.07219416989676708,-0.6367735274827185,-0.6137132389721959,-0.056537133926636896,-0.0527657390892372,1.4785878933119165,-0.008960354361209854,-0.20885848719169461,0.06532600297934087,0.003138005763161006,0.07247111366268194,-0.1263177586104787,-0.20981523749575604,-0.012740076298282554,0.31117875550367213,-0.0262602552721928
