Samples,Mode,Type,Group,VPA,FA,Plate,VPA_FApM1,VPA_FApM2,VPA_FApM3,VPA_FApM4,VPA_FApM5,VPA_FApM6,VPA_FApM7,VPA_FApM8,VPA_FApM9,VPA_FApM10,VPA_FApM11,VPA_FApM12,VPA_FApM13,VPA_FApM14,VPA_FApM15,VPA_FApM16,VPA_FApM17,VPA_FApM18,VPA_FApM19,VPA_FApM20,VPA_FApM21,VPA_FApM22,VPA_FApM23,VPA_FApM24,VPA_FApM25,VPA_FApM26,VPA_FApM27,VPA_FApM28,VPA_FApM29,VPA_FApM30,VPA_FApM31,VPA_FApM32,VPA_FApM33,VPA_FApM34,VPA_FApM35,VPA_FApM36,VPA_FApM37,VPA_FApM38,VPA_FApM39,VPA_FApM40,VPA_FApM41,VPA_FApM42,VPA_FApM43,VPA_FApM44,VPA_FApM45,VPA_FApM46,VPA_FApM47,VPA_FApM48,VPA_FApM49,VPA_FApM50,VPA_FApM51
T1_E2_V2,pos,media,empty,vpa,cntrl,e2,54197.54806,61177.8468,141441.0943,20577.28155,139904.512,91565.91805,30360.50427,2668.585678,110871.342,153110.1211,433009.5332,217122.797,83062.42358,4438.101597,49418.83073,553211.682,623260.1739,18542.95917,65382.66055,1536456.755,9265.801056,138576.6527,164717.1461,21369.94126,6501.134938,15253.43809,368127.1705,124377.922,13645.97855,229174.4,19723.83963,7196.686852,83616.64755,31987.03971,56750.97749,3372.720411,7127.407552,2311.406364,2364.894311,9385.589251,18231.76462,83.37958354,30090.698,4471.24603,1893.233193,762.8249365,2243.636321,10989.38236,9986.79565,718.8743585,2267.080328
T1_E2_V3,pos,media,empty,vpa,cntrl,e2,36151.95218,56026.18091,130252.8333,21769.26084,133711.6759,81200.49798,26807.00974,2029.380973,111727.7947,133927.8586,380274.4428,180588.0644,71509.4803,3929.903815,42372.12468,504563.0468,525393.4196,28065.85782,51567.82944,1313903.798,8711.24065,119398.0487,139690.4796,18280.23411,7087.425131,16934.58307,306995.4012,105934.6843,13445.76402,186542.0205,16009.43519,7606.761215,72478.92092,25291.21078,46652.31449,2736.989947,5395.976336,1787.165016,2039.52297,7554.121778,15043.48933,88.2268312,23072.98824,4136.729112,1397.918172,557.2548982,2855.157017,8605.049984,9153.226477,336.1546924,1299.393494
T1_E2_VFA1,pos,media,empty,vpa,fa,e2,49480.66356,50779.46101,154941.5241,20950.9341,156245.4376,98915.47839,26978.43713,3264.854074,137476.6345,170391.6071,498367.3554,232354.9917,92564.68387,6211.578172,52862.65317,617993.7456,681640.096,31733.04973,63838.55712,1750220.248,9434.836864,144329.2922,183370.5161,21730.34076,7543.424156,18749.54744,396117.6901,132433.9801,16563.26354,257755.7606,19494.56222,7617.719661,85293.61212,33307.56459,61495.47426,3783.057633,8089.320811,3185.270508,4026.137066,11186.35726,19242.05143,210.0409633,34350.54214,4716.152668,2301.4449,4230.926747,2761.807091,11480.218,11716.00695,1707.269463,3031.936669
T1_E2_VFA2,pos,media,empty,vpa,fa,e2,39261.32108,56060.08808,133339.489,16213.25481,134387.4824,81927.05862,27380.08195,1507.718123,108753.1097,144135.0971,412402.8215,183191.4198,76801.42444,4729.900529,46072.49556,545716.8691,565158.9989,28593.05847,53175.17986,1440485.96,8858.28613,124973.068,154118.5002,21910.42619,6246.657438,18654.54249,326760.0201,112396.6775,13604.82363,210857.0101,17151.37306,6737.953291,81447.9252,29417.71421,51118.32712,3068.152858,6934.782328,2614.492907,2502.137347,8590.645153,16710.1706,110.6520762,27266.68127,4279.201915,1784.664712,3269.913098,1070.235125,10385.66979,9869.736221,279.864862,1660.85154
T1_E2_VFA3,pos,media,empty,vpa,fa,e2,39366.39182,57603.05298,143342.5695,21580.23916,130003.3979,87637.85033,29266.49146,1701.514366,113297.9827,145545.0621,421001.519,211192.9994,76715.25513,5353.127904,49339.61533,562251.6977,593573.3993,29217.75862,57743.02511,1495801.143,9339.053333,127762.6844,156743.581,23271.48893,5925.472561,19504.26133,340332.4188,116575.8781,12887.81789,216368.8822,17013.37266,7232.666909,76025.83822,28842.80737,53067.22801,3195.781929,7061.010161,1676.386076,3124.348933,8933.974152,16561.3002,,28128.01107,4462.408009,1422.339207,3853.350874,2764.407413,10364.3587,9340.023117,659.8247969,2600.549027
T1_P1_C1,pos,media,sample,cntrl,cntrl,p1,38887.12067,55079.72604,175085.3496,19629.10506,95009.4447,81487.61418,7449.341073,780.972919,109207.4237,134222.4595,351042.635,152668.4169,81572.73842,2444.186326,45186.7884,420013.7846,459830.8725,16688.58368,27688.9088,1387608.603,8115.07161,129592.2536,121915.5464,21852.79983,5701.333257,19019.35586,291507.9139,108039.7001,13193.79439,182890.787,16076.6019,6890.455874,73650.90356,28055.19157,2054.04757,160.3774137,,2026.754898,2341.275322,9255.598796,,169.8875449,,4227.327872,1809.567047,307.6939662,1643.572471,10083.4559,12003.36627,626.2862157,1558.951074
T1_P1_C2,pos,media,sample,cntrl,cntrl,p1,33750.3196,53750.118,182358.9405,17796.8173,95493.02755,73804.35502,8430.007398,886.3590556,110027.5215,128517.5388,351615.5954,144020.1239,73226.66608,2418.289534,45851.95102,454622.4416,445967.1353,16603.21036,27532.72771,1434412.262,8317.680958,130610.942,124749.3094,15970.30243,6011.249522,17943.85861,313526.3496,111193.2479,12143.15473,194029.1278,17800.73144,5372.498113,74073.55923,29117.12139,1462.17814,144.4706802,,2291.190883,2389.924799,10580.41119,,256.2676201,,5069.598093,1698.89637,758.6666732,3291.292363,10861.76648,13497.80266,529.8950094,1182.770704
T1_P1_FA1,pos,media,sample,cntrl,fa,p1,27047.76866,51526.73765,164349.716,17229.90202,81171.83988,67224.5988,6967.080164,524.3904651,102180.9868,109655.0105,297404.2424,113908.2361,61537.9203,2384.5751,41263.27792,329883.2288,386857.9436,23101.54715,22861.06349,1221361.624,7923.970142,106833.8041,110635.8146,17989.29354,4462.807096,15083.17641,248891.9374,89550.50465,12816.20693,155964.1224,15142.54514,6847.999243,59016.43353,21390.30846,1553.738504,201.727723,,1734.474855,1475.817035,8923.360379,,91.50192743,,4076.114916,1394.733071,2943.518404,1755.110449,7889.39067,11617.85172,557.2837772,1587.440244
T1_P1_V1,pos,media,sample,vpa,cntrl,p1,37613.96941,46802.01615,158509.9546,16301.85552,95205.51755,80808.39153,8691.999544,544.3159077,110396.2665,124281.7217,346247.7237,141932.7696,74394.52986,2926.327886,47349.67622,420847.4434,464740.0444,14526.04538,31179.38503,1372728.819,8110.256177,122080.6385,126635.9097,19797.65671,6488.224652,16183.68943,297834.32,108238.8472,12981.75441,191943.6128,16482.30758,7360.798298,61796.83654,28864.70798,3021.124506,91.76503114,,1896.806579,2086.443424,9050.882478,,77.34008514,,4573.304111,1523.670691,581.1347265,1697.714955,9825.528377,13182.84086,787.8294364,1812.281872
T1_P1_V2,pos,media,sample,vpa,cntrl,p1,33976.73628,60900.45337,232665.3624,23679.16275,127975.4384,96398.45667,8425.47731,1080.778697,128597.19,199623.8537,454140.5819,219899.7082,77616.92814,5118.944154,65839.78952,569509.5172,627817.4643,21593.98792,38447.16194,2025852.306,9414.355254,186319.4544,164024.919,39884.19908,6899.176919,21423.72567,427419.7386,138756.1272,15473.42676,279621.8802,20591.96246,8170.859765,89402.50474,42043.6125,4346.147543,79.85385597,,3392.029565,6013.129727,13150.84908,,487.6040665,,4304.358729,2110.646599,1720.009404,2543.588285,11421.57496,18400.17182,1404.326693,2340.843258
T1_P1_VFA1,pos,media,sample,vpa,fa,p1,32027.39397,54134.51892,165321.496,17445.7276,93734.29883,73819.55903,8587.045627,671.6217077,101397.6558,123477.9258,337776.8587,132441.8526,69922.31416,2872.690646,45409.13238,412247.0604,455895.6642,16518.31642,25176.09114,1335798.077,8161.340241,112633.5999,119469.2892,21139.2026,6456.618603,15181.24283,296697.6597,106268.9329,11317.76573,185086.0677,16622.98316,6868.656323,66354.71287,27470.65309,2308.52508,358.6801975,,2088.500701,2481.79844,8657.667865,,152.1985296,,4323.184678,1510.455144,2861.048814,2894.152778,8210.305298,13237.47411,523.3254795,1217.042616
T1_P2_C3,pos,media,sample,cntrl,cntrl,p2,35758.24299,56763.94482,212601.865,14682.18366,99189.42956,84232.41286,7223.145843,1327.977746,126563.5539,144693.8532,371338.0371,171020.6133,80012.88665,3138.146633,51889.00037,468360.3591,516477.1354,19047.01491,28278.78898,1578587.861,8743.320069,146839.3476,134099.8047,24953.83032,7652.563527,20143.41313,349975.605,119606.3275,11245.77483,218094.8506,18987.77197,7682.597643,74864.31272,30898.67524,1745.748913,72.76486676,,2518.106035,3877.988879,11046.25074,,181.2398053,,5161.940592,1604.751204,760.422136,2659.828146,10465.54892,16041.35201,920.5928091,1737.655292
T1_P2_FA2,pos,media,sample,cntrl,fa,p2,78985.86295,59511.63293,354356.21,27876.6666,187884.3843,110448.7392,11206.52972,2910.218309,264277.6172,251960.7676,715519.7318,336596.9959,159071.0816,7147.224054,92422.73644,890525.7506,964267.2381,23820.50808,74361.55709,2708406.89,11884.23153,218968.9772,237097.1123,34970.54016,22704.54555,28505.70428,719220.5454,240193.6004,18080.01869,436516.8128,30890.31432,10518.68179,139798.1413,63428.97187,5970.252413,83.80198033,,4353.19976,9382.047841,19189.46745,,474.5042602,,6178.271854,4654.786185,7583.96521,3457.319239,18758.57065,27070.23505,83.64647584,233.4505039
T1_P2_FA3,pos,media,sample,cntrl,fa,p2,27287.62794,40863.42004,122462.5943,15229.15051,83448.1476,65234.83311,7395.253534,480.7852522,82160.43819,99247.43922,248629.2611,101981.7908,56352.74885,1725.101092,36443.61738,304806.8447,330082.0075,14202.17645,25064.26624,983299.9104,6952.782498,96381.42915,92313.11197,29593.57709,4173.551072,15205.96803,211678.5868,75717.83615,10544.35816,127078.5168,12777.0044,4883.359307,51616.05207,16474.15848,3395.384559,412.2379252,,856.1744888,1383.644221,6783.294053,,,,4012.059915,1077.831421,1689.978287,1489.397379,7242.038536,8736.240002,145.3640717,935.3384048
T1_P2_V3,pos,media,sample,vpa,cntrl,p2,41135.66159,55561.03309,155726.4472,13057.93393,89240.86537,79004.63072,8524.404635,604.5571873,94348.01568,127035.2672,331635.3939,127446.6668,69578.77147,3502.092557,46732.1431,390814.022,375929.3706,14582.87253,28365.70123,1290847.925,7433.856063,118794.2475,115785.0715,18098.97185,5330.675918,17014.36958,267805.9398,99694.97036,12408.29488,176939.5658,15621.37146,6094.464381,65194.35704,27373.17201,2291.403974,149.8398496,,1500.389376,2860.946226,8532.907702,,159.7914346,,4955.798105,1283.375152,686.8667281,2353.213689,8438.999378,13541.10106,928.5551348,1565.634977
T1_P2_V4,pos,media,sample,vpa,cntrl,p2,39725.32894,45355.1179,189559.903,19590.47288,95979.88362,74903.41796,7483.555971,503.87981,107703.3689,124527.7141,355435.2316,152909.6419,73830.84431,2556.725461,48990.08919,425393.6623,453719.3689,16652.54567,25949.54807,1476097.908,9015.131666,130545.1447,133166.708,34197.16038,6088.584537,17731.09228,311348.1932,114695.4046,10968.2985,194848.7642,17800.0868,5955.607259,73022.68723,28610.38786,2760.785443,,,2069.334464,2872.173344,9510.032414,,156.4387522,,5128.814205,1447.148357,709.9629706,2097.464202,9313.870445,14470.39021,961.5509009,1535.398151
T1_P2_VFA2,pos,media,sample,vpa,fa,p2,34747.8684,43812.4468,160785.3633,17158.262,96010.36968,71930.7275,7290.186644,689.1880905,93152.15018,111578.9399,333924.5193,127450.0503,68584.75459,2588.218823,35804.36693,374001.1605,424728.5445,12786.86522,25861.30042,1305710.912,7387.697861,118084.9086,121470.4651,18608.29743,5726.433174,16684.34324,284291.8977,104234.7027,11903.6599,175014.2504,14882.78627,5662.400407,67722.31396,22044.69799,2596.786789,97.31795276,,2166.022745,2156.61368,8291.513964,,,,4123.512904,1318.117173,3467.232225,1290.896577,7349.024369,13105.76176,370.7560636,863.984669
T1_P3_C4,pos,media,sample,cntrl,cntrl,p3,24681.4712,42760.87983,156754.3254,16879.81222,78227.35647,70544.40507,6766.521879,674.6914625,94317.03535,103157.7607,272518.1089,119379.0322,57417.92264,1475.175143,34378.02501,300547.1956,357107.2801,14486.41139,23870.76284,1120286.889,7133.615774,99268.42668,99752.55553,15313.0681,5037.855612,14082.10265,239789.0518,84354.70275,11405.53902,146156.7325,13290.44271,5773.16864,64772.8204,20791.70856,1669.536849,,,1296.43601,1670.189811,6618.549169,,190.8274955,,3813.88312,1430.696845,174.9984901,1649.198875,7466.429823,9764.39012,236.9031504,1232.863562
T1_P3_FA4,pos,media,sample,cntrl,fa,p3,41147.79215,55721.50811,187755.1297,19739.66813,100782.2518,71598.84628,7827.053792,661.9797758,115844.8,123799.5038,357064.0512,147265.9756,72366.17861,2239.667067,46008.05364,436051.0542,483213.0538,26667.74515,30419.3894,1436535.353,8546.658325,121929.471,123807.3303,21783.5259,6710.292464,17010.68282,307167.3725,108934.2229,12035.73534,191755.6053,17094.05889,7031.873286,73790.67185,29213.30191,2243.730933,158.9637783,,2015.31439,2486.501757,9180.896642,,199.3931672,,4197.707528,1992.918799,3218.389293,1937.793867,8954.835787,12713.20188,750.5408819,1884.346347
