Samples,Mode,Type,Group,VPA,FA,Plate,VPA_FAnM1,VPA_FAnM2,VPA_FAnM3,VPA_FAnM4,VPA_FAnM5,VPA_FAnM6,VPA_FAnM7,VPA_FAnM8,VPA_FAnM9,VPA_FAnM10,VPA_FAnM11,VPA_FAnM12,VPA_FAnM13,VPA_FAnM14,VPA_FAnM15,VPA_FAnM16,VPA_FAnM17,VPA_FAnM18,VPA_FAnM19,VPA_FAnM20,VPA_FAnM21,VPA_FAnM22,VPA_FAnM23,VPA_FAnM24,VPA_FAnM25,VPA_FAnM26,VPA_FAnM27,VPA_FAnM28,VPA_FAnM29,VPA_FAnM30,VPA_FAnM31,VPA_FAnM32,VPA_FAnM33,VPA_FAnM34,VPA_FAnM35,VPA_FAnM36,VPA_FAnM37,VPA_FAnM38,VPA_FAnM39,VPA_FAnM40,VPA_FAnM41,VPA_FAnM42,VPA_FAnM43,VPA_FAnM44,VPA_FAnM45,VPA_FAnM46,VPA_FAnM47,VPA_FAnM48,VPA_FAnM49,VPA_FAnM50,VPA_FAnM51,VPA_FAnM52,VPA_FAnM53
T1_E2_VFA2,neg,media,empty,vpa,fa,e2,25274.94202,78407.5438,79718.48182,64062.98272,2082955.669,38903.70543,11792.97867,11783.80855,15615.44794,56572.07933,4166.029922,13731.95497,15184.17271,14622.59802,91570.75763,60508.35985,23043.34365,189942.2874,14122.70967,13078.94924,892915.5888,13217.85054,128418.5314,131058.4597,13245.34174,57322.44805,160703.5325,324187.2238,4960.759479,57636.95425,27183.53033,29545.89816,2114.495401,23039.90959,29394.69816,85555.03131,12790.56663,3471.898536,10759.31873,26627.88496,588104.6904,67415.2711,37228.3273,11139.30727,5807.389574,26729.62071,5047.509395,31228.11525,11960.5698,13091.84471,14561.98802,20545.04402,768.9533808
T1_E2_VFA3,neg,media,empty,vpa,fa,e2,23310.70541,76324.97645,81850.06924,71575.88252,2108453.9,41287.50609,13112.5721,13415.81592,15288.68551,58415.62117,4475.542439,12909.27402,14070.70152,13379.58178,93737.18762,60120.90194,22908.851,209602.63,14569.55674,13053.45177,914533.525,13766.35489,130612.4367,129604.826,12035.3578,43879.19614,170776.1261,330006.6701,5565.54999,60307.91086,27710.19448,28548.68953,2754.771556,23084.11001,30772.03865,86327.38243,14188.07127,3213.311962,11151.39567,21830.31422,590452.926,69193.97761,38493.3434,9351.904091,6298.564166,26775.91605,5412.543258,31611.5223,11217.82277,13635.09334,13220.00325,21368.51875,663.8822708
T1_P1_C1,neg,media,sample,cntrl,cntrl,p1,44349.15315,75345.78684,56077.02815,83141.67763,7582604.298,34555.8777,13652.30475,15528.62575,17339.94281,55232.85187,5639.244627,20871.15354,40947.43796,43698.42816,83670.82196,48296.6927,21233.98356,163290.8045,9000.428586,12816.08211,943986.2919,128662.6985,98296.73411,112033.043,11927.14201,51237.43053,11422.0288,318470.2253,6314.206076,57154.93455,22384.50755,26112.38144,2003.503351,24124.14355,31285.80815,80897.64873,18584.51022,3502.616562,11197.99277,32409.19952,482650.5585,65323.17147,38056.5651,9175.472079,9069.984663,26724.66122,5615.253756,26197.72881,,,,5666.465263,
T1_P1_C2,neg,media,sample,cntrl,cntrl,p1,45526.03378,80370.44993,59598.25265,89752.65181,8734965.294,38826.49732,16223.07943,15392.26969,18616.74453,57239.69645,7896.274801,24850.00012,52429.97442,55616.59042,93549.88281,54206.72196,21800.41202,181134.8955,9788.10514,14028.29024,1078675.752,139542.4125,119228.264,114293.8865,13206.95854,44219.34378,10079.00541,370413.656,6696.245078,61674.29047,25660.00864,27688.78852,1671.233948,28234.67085,36022.02345,94746.32072,20179.56589,4310.61588,12175.5497,29154.03336,545243.4708,75407.57878,43960.20619,11328.84623,9964.888239,30185.44943,5555.89489,29955.7814,,,,6552.961463,72.32056939
T1_P1_FA1,neg,media,sample,cntrl,fa,p1,43012.273,82148.16724,52370.72588,83630.99071,7473028.973,35934.87188,14976.43733,14693.32033,16880.45687,52956.88639,6804.081837,22780.08929,46884.61274,49706.42992,84942.75788,49188.1475,21660.51782,157812.967,9137.21274,13408.10588,935448.2294,122305.6088,104780.614,105894.7122,12177.55148,38648.94956,10928.51549,336511.2461,5048.33616,56249.22712,23295.93447,26305.66093,1119.371345,18845.5688,29746.08323,79854.77232,13367.90332,3752.165707,6131.910997,29946.12606,473990.7753,65334.9028,38477.71846,9578.44606,7717.04235,26456.71469,5214.786595,26008.97184,,,,21068.44823,623.4276419
T1_P1_V1,neg,media,sample,vpa,cntrl,p1,39702.50537,74544.90364,57446.97605,78542.87103,6410926.975,37163.2933,15121.31005,13468.03979,16044.37774,55876.06443,6105.859698,21948.43165,46281.13964,48815.20862,83190.79682,50750.36713,21650.13047,166662.8635,10363.81299,14057.68161,972385.2587,109236.2582,116083.4178,105531.5442,12171.82613,39101.17795,147861.6093,328975.1178,6117.0723,59031.43227,22984.10334,25551.47345,2078.099661,24215.8726,29716.88676,80384.03964,18781.83657,3978.979952,10632.9482,25749.50103,495029.059,63894.3302,36556.21357,9110.823372,8991.847973,26554.24739,4885.575788,24917.74435,,,,6091.47096,
T1_P1_V2,neg,media,sample,vpa,cntrl,p1,59050.42708,96412.61877,68042.36503,133749.7004,10819158.38,53960.62332,22502.2005,17103.61658,21024.49615,82012.08277,10895.91249,28550.7769,99714.12235,104215.9171,130326.3382,82429.38319,28700.20393,253376.794,14536.75076,15273.94083,1840453.996,134919.3067,174135.1735,179672.6241,14205.21679,80790.07179,225573.0665,546246.2653,7194.739995,110947.1348,38278.89562,40329.27069,3399.970226,37277.14476,44684.1038,133525.8755,24162.33605,4660.795886,11492.6219,54440.34803,810780.3045,109530.2478,66849.95942,14589.83485,16226.57804,50383.68476,8729.950467,42120.22367,,,,13113.67824,256.6977519
T1_P1_VFA1,neg,media,sample,vpa,fa,p1,39550.91639,79131.14629,57967.16795,87142.35273,7091117.652,37599.67036,13286.28626,13566.63185,18059.94828,52298.62364,6031.738676,23140.14402,51262.79905,53112.5937,86341.56376,49220.05356,21623.77711,166982.35,9720.997474,12226.96599,1004819.927,119700.1148,108949.851,111877.8613,12596.21783,38520.52489,170688.3251,325197.8193,4680.828087,59995.96581,23883.28221,26646.81669,1936.651496,25232.3071,31152.89389,82407.30222,20207.17934,4467.287334,6320.009814,31559.49918,505366.4991,66055.47249,38848.73537,8970.211596,7887.699784,27474.05178,5141.753366,26833.37679,,,,23507.76236,838.4217229
T1_P2_C3,neg,media,sample,cntrl,cntrl,p2,49172.0442,85570.49558,52215.87429,98366.63835,9296123.924,40767.44743,15220.61973,14774.97922,18493.38322,62898.14835,7886.060175,24945.62811,59658.49785,60695.84558,96381.5587,57409.58678,22637.33452,185626.037,9824.966948,12342.78392,1184640.703,122799.4029,127813.2715,125894.5512,13395.78977,46444.41908,9707.427932,387822.7701,6990.569588,68707.54517,27075.56792,28957.50612,1817.661453,28532.81285,38222.89487,95686.95603,16269.19814,4607.899854,12321.36578,39012.66421,561111.3244,78516.65931,45481.30763,11274.86597,9613.175059,32831.50214,6106.140359,31139.67368,,,,7164.085401,
T1_P2_FA2,neg,media,sample,cntrl,fa,p2,44643.48594,78214.46559,56685.64187,97274.29622,7845812.925,37945.03992,13777.36883,13891.00027,16385.7142,54556.29259,7587.586833,23710.39963,39412.14301,42177.01445,92103.93049,53303.12418,22281.31308,184754.4781,10054.20728,11529.57209,1104852.671,127769.4311,117697.353,117396.2549,13146.127,48144.46694,9408.125,356659.349,6179.864932,63889.76064,25608.92428,28305.00123,2282.133713,27029.02038,36857.04247,92905.72477,17198.84641,4214.589307,11862.80555,34495.60841,546936.1209,73971.94897,43120.07842,11143.66962,10352.27246,29701.20483,5826.787984,29317.65134,,,,22919.50691,563.1901733
