compound_short,,,,,,Lrp6CDn1,Lrp6CDn2,Lrp6CDn3,Lrp6CDn4,Lrp6CDn5,Lrp6CDn6,Lrp6CDn7,Lrp6CDn8,Lrp6CDn9,Lrp6CDn10,Lrp6CDn11,Lrp6CDn12,Lrp6CDn13,Lrp6CDn14,Lrp6CDn15,Lrp6CDn16,Lrp6CDn17,Lrp6CDn18,Lrp6CDn19,Lrp6CDn20,Lrp6CDn21,Lrp6CDn22,Lrp6CDn23,Lrp6CDn24,Lrp6CDn25,Lrp6CDn26,Lrp6CDn27,Lrp6CDn28,Lrp6CDn29,Lrp6CDn30,Lrp6CDn31,Lrp6CDn32,Lrp6CDn33,Lrp6CDn34,Lrp6CDn35,Lrp6CDn36,Lrp6CDn37,Lrp6CDn38,Lrp6CDn39,Lrp6CDn40,Lrp6CDn41,Lrp6CDn42,Lrp6CDn43,Lrp6CDn44,Lrp6CDn45,Lrp6CDn46,Lrp6CDn47,Lrp6CDn48,Lrp6CDn49,Lrp6CDn50,Lrp6CDn51,Lrp6CDn52,Lrp6CDn53,Lrp6CDn54,Lrp6CDn55,Lrp6CDn56,Lrp6CDn57,Lrp6CDn58,Lrp6CDn59,Lrp6CDn60,Lrp6CDn61,Lrp6CDn62,Lrp6CDn63,Lrp6CDn64,Lrp6CDn65,Lrp6CDn66,Lrp6CDn67,Lrp6CDn68,Lrp6CDn69,Lrp6CDn70,Lrp6CDn71,Lrp6CDn72,Lrp6CDn73,Lrp6CDn74,Lrp6CDn75,Lrp6CDn76,Lrp6CDn77,Lrp6CDn78,Lrp6CDn79,Lrp6CDn80,Lrp6CDn81,Lrp6CDn82,Lrp6CDn83,Lrp6CDn84,Lrp6CDn85,Lrp6CDn86,Lrp6CDn87,Lrp6CDn88,Lrp6CDn89,Lrp6CDn90,Lrp6CDn91,Lrp6CDn92,Lrp6CDn93,Lrp6CDn94,Lrp6CDn95,Lrp6CDn96,Lrp6CDn97,Lrp6CDn98,Lrp6CDn99,Lrp6CDn100,Lrp6CDn101,Lrp6CDn102,Lrp6CDn103,Lrp6CDn104,Lrp6CDn105,Lrp6CDn106,Lrp6CDn107,Lrp6CDn108,Lrp6CDn109,Lrp6CDn110,Lrp6CDn111,Lrp6CDn112,Lrp6CDn113,Lrp6CDn114,Lrp6CDn115,Lrp6CDn116,Lrp6CDn117,Lrp6CDn118,Lrp6CDn119,Lrp6CDn120,Lrp6CDn121,Lrp6CDn122,Lrp6CDn123,Lrp6CDn124,Lrp6CDn125,Lrp6CDn126,Lrp6CDn127,Lrp6CDn128,Lrp6CDn129,Lrp6CDn130,Lrp6CDn131,Lrp6CDn132,Lrp6CDn133,Lrp6CDn134,Lrp6CDn135,Lrp6CDn136,Lrp6CDn137,Lrp6CDn138,Lrp6CDn139,Lrp6CDn140,Lrp6CDn141,Lrp6CDn142,Lrp6CDn143,Lrp6CDn144,Lrp6CDn145
emb_254_6,cd_exp1,neg,sample,2ppm,A cd/cd,5658443.898,17355.08971,903783.1999,199982.0973,1495471.361,268340.7075,43454424.78,49728.84288,605469.9615,156763.2977,158609.6656,579413.8594,93684.50175,623026.5912,693596.2335,1568686.036,76300.00368,36515.71298,1044497.737,433145.2712,592986.2442,8281584.853,414967.7342,238000.3001,278574.833,237020.9538,1127019.999,540284.8253,31834.41955,49471.26292,39018.42553,432540.6373,49324.14163,81402.3021,996474.567,71567.84086,381526.7634,118949.0875,159493.0469,51698.44373,562682.3529,1017369.465,301414.7634,53086.71206,4217649.687,252012.5549,310432.0607,13120.08069,120171.1836,26838.70267,390.1276703,88044.47568,113703.3723,310850.634,84668.24137,57772.02112,617873.2891,,64664.65524,41421.38442,26160.94746,27013.92942,43270.18796,3301.342185,2192312.157,69442.09546,541738.3594,21974.53614,13487.26529,112413.5983,529645.2636,40820.6073,5732.897884,78483.47799,34369.42141,116449.0712,128392.4488,2042.345008,37273.61595,10833.52416,120386.8266,362859.4826,18566.55406,324339.4539,7583.559931,21721.10646,136526.526,31452.25566,51310.76739,200469.0163,3880991.22,131058.4409,25604.20922,79348.60923,90155.13495,929527.811,950651.1283,140273.6679,29751.34458,88970.5361,49444.04271,78856.72434,409981.3923,66395.57103,277870.9358,22826.46414,42594.50243,62638.24955,30394.65344,384868.2641,8532.774348,126884.5019,23368.98175,82446.45017,119079.6893,146006.7474,6073.897083,14891.1362,275737.7063,11602.0176,13674.29719,36697.50442,136802.0236,48509.62482,47179.42264,19661.29432,943.5917096,27766.28146,134787.2536,857.344757,24184.25288,113293.0955,30310.34972,,21649.83202,,20463.35375,203693.819,124515.4394,47776.60138,1808.693469,551222.5586,202532.3347,64684.22525,1951.705675
emb_263_5,cd_exp1,neg,sample,2ppm,A cd/cd,4060090.596,27928.69798,609025.099,106736.3395,1051809.483,189830.621,36822217.36,40426.33862,519000.6605,169598.5144,252283.4277,469950.7741,77547.3889,598190.7092,560379.34,1057788.988,59989.73333,23765.90047,673832.1137,442459.9542,401427.0096,5883677.605,243971.1202,110561.901,249385.0915,164960.7251,606306.4883,385533.5696,33472.08118,48789.1044,44924.10706,307079.513,34901.09505,66019.88438,746887.6483,41759.87659,269493.5116,95455.50086,116084.4683,26967.76701,434015.1793,945903.432,176031.6416,38034.51621,3590747.714,237824.9315,195632.5712,7935.838474,88443.58127,29173.78244,632.7136661,51792.47623,201255.9706,187940.3558,50296.63658,46609.2025,383883.7213,,57688.83921,34409.51057,8706.324041,24427.41951,52551.27765,2515.499581,1837846.177,1913.156526,749408.8039,18353.03633,9052.557429,82977.6802,302117.477,17197.02563,3621.957182,57718.57242,31360.73419,114082.8758,88567.85876,,37474.86082,7011.096903,90847.7124,239812.227,17564.32764,306447.9855,4259.991871,26770.62508,135607.1877,20278.93154,32343.57264,180729.1097,3717183.692,54499.33258,31542.04276,100887.3955,50542.93181,732269.3638,750154.3473,114701.93,20335.92933,84452.05228,83283.80449,97119.77229,372157.6583,57163.02094,134334.1143,12203.40525,40787.22437,60120.50341,18171.1953,285959.2562,8075.666803,118601.7278,15719.58552,66371.93812,122438.7769,37953.2219,3704.439948,17582.33971,183101.8759,9627.429663,9559.140733,27214.58181,131344.8626,43550.8896,13234.98849,21636.41321,955.4166038,34226.12274,124373.8198,460.9641884,21639.42598,75481.55613,19267.08611,2110.692536,27853.20805,47834.66486,15479.1771,168995.8853,110146.9146,53858.08556,947.3978484,406767.6791,176245.2128,59859.72639,853.0040008
emb_320_4,cd_exp1,neg,sample,2ppm,A cd/cd,5923433.559,33952.49936,937044.5551,165043.8818,1699918.453,288190.4663,66446438.9,59396.84354,754830.2067,174207.5139,299893.7068,892038.7434,86031.2139,761118.2998,629049.3871,1693462.357,96632.07863,54911.62384,1415184.637,579627.2131,768393.208,9220928.845,573875.1897,200384.0198,335609.1129,246835.7259,1270825.742,877267.9609,33530.61839,55231.24098,54793.84796,557349.157,50636.22399,119315.0066,1208333.204,76608.81531,331694.9761,151880.8473,162299.1748,57780.46122,560906.9666,1816250.662,524087.3132,64286.11711,5417716.388,301614.2945,424401.3643,19930.95506,158067.6152,32717.87836,9851.95425,105282.1387,199872.3019,362891.0837,132999.794,60265.06645,726500.4215,3657.153568,80131.08586,44281.70273,26450.23243,42697.63035,60040.40105,22176.28062,2866895.762,27464.65687,1020268.179,29602.7412,13345.15607,214754.2861,608000.2139,48165.90791,7810.014335,92944.33539,55003.72826,128701.9979,150807.8183,2016.205244,41946.62065,11832.91269,143251.2602,564773.1904,24428.70222,339731.9816,8124.968851,30014.60199,163238.8527,28792.85792,70554.40388,245410.8809,4362509.204,144733.0626,35693.9275,104170.1842,68286.29195,866376.2718,879842.5835,159441.0764,26672.76786,97460.97012,55604.57177,87008.3213,255769.1643,39666.04282,153864.107,8981.694267,46908.91553,58277.84749,28603.6036,412294.47,7764.42674,71530.64308,12475.86975,38185.04395,107854.4145,136666.2666,5547.821128,13257.95982,268286.9323,10544.47568,11402.30627,33882.18058,175183.8248,54400.55698,55913.68161,29146.66631,7477.517032,70696.26419,204268.0832,5845.194372,17919.19072,104544.1327,33786.02179,11122.82237,57374.33903,2465.331458,23529.79847,209694.8761,124542.562,40446.23081,664.5559962,570892.0642,193220.0227,91181.744,5735.092016
emb_367_7,cd_exp1,neg,sample,2ppm,A cd/cd,6442137.718,33689.9207,1018121.73,256862.0493,1933584.87,310202.3913,42432467.36,54889.06881,838824.6681,56514.06574,176937.055,814148.4168,116656.2478,512424.2983,453619.7045,1840431.357,99729.08428,33126.61128,1489944.873,683111.8589,729050.4338,9693314.927,532890.9625,324890.1855,319094.0413,272164.0964,1254462.737,934808.2239,39242.05616,30291.09656,69368.15583,598307.9687,51251.52639,242520.9328,1524398.882,70803.80204,314029.4749,142286.2578,183557.834,51747.42675,861377.7146,1604714.652,2057260.041,94342.10513,6121180.845,309773.1754,452950.979,18079.64002,148691.3353,49064.21523,5640.134952,144026.0006,78964.14038,456458.9913,136073.6076,63638.97796,686404.002,8088.403685,147760.7396,66070.52338,11133.78523,37430.53935,132926.5502,87281.4172,2684203.938,5792.980557,946578.8642,27754.53978,18801.2364,82681.2969,519854.1504,45737.41143,7776.818998,88858.75227,26782.70717,134704.528,140391.8416,14998.05762,46524.31002,19360.40964,173258.4578,677529.8451,26018.7753,472941.8881,12845.41637,39793.85857,220148.1137,18024.73506,48324.69875,268806.7536,6131801.117,99132.86935,57485.05242,171388.664,83725.26926,957708.9756,962753.5988,109172.9391,29587.22429,104395.1612,95815.27655,133250.7288,179976.7539,11210.9068,107320.5315,1024.287305,62005.60571,71885.56057,7999.625229,169985.6809,10445.86443,38978.67758,12344.61612,2044.801134,173383.8732,75562.62358,4687.689303,12032.47017,111423.2172,11471.2715,6831.148901,10034.42461,280547.8156,71403.37096,13004.35428,9711.312364,16687.56264,84556.76157,223751.0268,8709.248895,,87162.41903,39687.39238,49322.96492,137324.1537,32782.31463,22614.49848,390937.1216,216683.2073,95039.58445,1484.096915,797748.2893,307965.5581,114066.8471,7790.485714
emb_414_4,cd_exp1,neg,sample,2ppm,A cd/cd,5529391.428,29329.52642,842492.7532,353781.2297,1047991.98,240441.3904,29993323.6,26775.61102,586684.7235,229417.8395,366187.3041,377190.2994,128249.2242,635888.9101,592460.7325,1120717.972,77798.06635,12375.98655,505012.8241,478576.9029,371791.4308,8467167.821,356751.5104,151970.7309,160356.1678,201903.3229,494646.5,299032.6065,56712.23178,72564.10697,29405.63018,249011.5465,122963.0333,67083.5431,957808.1654,32714.64021,258038.7781,146433.5426,176340.8454,,781294.7585,305310.7207,182678.7628,41639.20026,4293323.33,273309.5127,151733.1817,5867.686735,131660.1712,52713.78159,406.9989242,46285.08433,127414.6547,79269.4214,59857.21764,88555.95079,342294.0836,,71600.09788,51763.32674,7211.00848,10446.79445,132220.1596,963.9616803,1071319.982,346.1245644,471857.9783,48859.18654,29538.56161,74979.87718,297094.7852,5566.184003,784.3025679,48171.11046,35986.34375,79711.39515,85946.35256,13110.81793,24740.86516,10128.21479,93678.32765,176551.3203,21200.58102,414843.6029,11868.97671,29935.81584,195013.0485,19555.08655,39793.53848,265122.0688,5669846.045,108401.0224,40399.65641,114093.4173,50164.51474,711968.5836,715017.4032,186040.0266,18662.99127,129880.811,43889.51459,89900.97206,163528.5921,9707.224808,90433.28568,,33070.32865,68841.31751,21635.96604,269592.9453,8914.581804,42158.7783,11952.50875,6838.366422,156852.5231,41886.25812,13089.4226,65581.7577,147939.0064,8387.809574,14874.91137,20236.65868,527271.5726,102231.6904,2357.732186,18422.49055,10476.87533,59358.44286,187958.2769,1781.874749,1562.389625,284237.7846,39675.42211,13604.32095,76367.95154,116217.0733,28403.9135,284778.5066,177899.9561,131561.4687,6097.197526,777328.866,370133.2078,108891.1474,1081.220741
emb_201_6,cd_exp1,neg,sample,10ppm,N wt/wt,4843510.579,35023.73041,1068201.833,459431.0934,1982492.12,461728.7916,84232642.65,28430.72081,829194.799,282275.4616,328909.8969,891124.7487,148138.403,717219.8988,1026800.14,2241060.799,115311.6039,57705.70221,1610386.775,698043.1301,778146.4746,12248593.75,421090.1008,279677.5673,301209.8846,361039.5681,1582202.902,912440.1436,41585.37295,48920.06362,36720.86753,583258.0209,89527.51787,105112.9884,1281488.016,48296.86388,277863.7375,68135.60127,286955.538,52072.12159,616768.5299,1415965.28,673056.4398,60229.95643,5876684.952,359957.815,453529.4708,20191.95939,41835.66999,32775.35868,11798.78018,139272.2086,107105.4785,147041.8683,164417.6905,53876.46627,898127.2549,8192.49068,69108.78454,85662.21185,24023.07494,30424.13549,63627.27092,36575.67148,2575150.71,302531.016,583428.5851,35472.62829,19181.9331,301706.8065,757187.2677,35366.45392,8825.808859,86925.85303,41266.62714,119345.4212,204052.8822,18974.23928,35342.46949,25599.95288,164262.6606,650435.4579,20144.9725,292560.8154,8102.029341,35734.86551,158155.5488,26459.40512,79722.51955,228867.1082,3655196.535,112284.1495,43111.24449,82264.37125,51545.73756,723492.5088,736096.9936,278902.5892,19477.38252,83457.90844,42132.51817,84351.94091,233615.3595,28849.61506,638341.9529,5471.149742,32047.13343,35150.30123,33052.03946,470633.6539,7763.269595,58446.95388,16332.11286,29998.20213,96843.9928,44256.8143,4903.710058,13680.46138,301541.4509,7112.771464,11077.25086,39376.55348,135203.466,43662.68968,27963.54763,27876.86115,22766.53521,140031.0859,337256.5913,17975.01196,22669.04836,124595.5735,40988.45732,59031.55317,141311.28,32961.3214,46812.73038,804072.9957,390747.3486,134775.6217,9046.074923,1849054.577,595418.4781,169956.1939,7650.37343
emb_317_7,cd_exp1,neg,sample,10ppm,N wt/wt,6349427.361,13723.6177,1028880.53,239221.8891,1438914.435,318968.2019,42244222.92,22183.58368,643604.2353,90635.28142,217205.7628,533257.1255,102790.7607,487192.3056,625389.744,1821603.149,108079.9928,28360.988,1120745.567,438716.5875,725898.0202,9640371.876,348363.3512,354589.2502,230176.4013,257021.3663,1131167.078,675205.0154,45875.62172,60302.08155,42128.87529,420944.0355,70606.00001,88554.77431,935418.6714,34586.33337,351270.3779,104892.3993,212329.3968,47734.66583,692393.4324,835964.5981,335799.5534,69522.98412,4519639.838,280308.2349,330358.3283,14221.50393,383755.6773,52101.83428,10780.92648,96574.54444,115908.1665,266855.3996,82531.3435,78482.66659,624397.7931,1362.398467,107675.7083,47033.6947,13732.20179,29655.14404,78008.96984,8270.867668,1682979.218,39674.68605,433349.8288,28590.96768,36481.69607,100773.5752,542332.0057,31171.26773,3727.367089,66081.89594,35047.55084,149292.7889,170402.7456,4624.393668,45674.49689,12842.99403,145465.1296,391700.1444,18573.39746,429875.8841,10934.76474,27798.72694,162717.2908,30436.08139,65652.19432,133887.3512,5252791.81,107415.8083,34170.74409,111440.6222,59000.2408,676540.0675,692520.553,163445.713,11953.94752,120280.1987,62039.04629,116806.9542,179565.5067,4564.690217,178561.8137,458.7287822,52857.12724,62626.02835,8464.694914,140085.044,13534.22551,77186.81784,16385.08831,4157.483683,139436.2618,37809.68972,11445.04384,17962.33847,185750.1506,10524.21456,16780.63187,24325.63817,334732.4782,68410.80956,15472.47023,9786.04662,3381.455996,38862.4826,198624.6799,9597.898243,,119841.5428,39029.68026,10027.47343,89164.05323,30229.94737,24351.1941,295184.5579,239956.1384,91879.36296,6033.209481,734608.234,346014.7562,120078.9232,3869.057032
emb_327_2,cd_exp1,neg,sample,10ppm,N wt/wt,6097697.212,29370.02183,1092537.558,567164.3617,1920252.956,393013.6353,104067160.1,74953.43316,860124.3826,633566.4468,983242.6615,938821.7119,135243.7928,1006280.073,712126.7261,1982160.108,130440.1418,41295.91606,1624923.437,809369.7543,797763.6849,12328706.94,650744.6758,314911.8952,353552.6394,322898.3308,1455438.509,976362.1391,41423.80388,53814.27177,44805.3059,624829.3267,105340.2193,129203.1667,1369088.828,49602.66224,256859.4225,261010.9915,270026.0239,46981.59188,818798.9706,1755238.82,801592.2668,61287.85759,6310247.938,392217.3509,458408.8192,18899.94272,106770.8847,43340.60493,9162.967399,160384.7811,201793.4758,223631.6799,146409.3546,63143.66373,903286.3773,10889.03558,89535.83137,89147.91354,16859.92955,30836.0266,87443.20552,53562.46922,3011238.512,1050.190456,1095510.778,36742.35383,17559.73348,417924.8822,719121.4624,65273.77165,9316.391296,96601.53306,44543.55587,115556.425,183083.2253,22779.50997,36043.00004,19378.72449,167125.411,657239.9585,16464.50396,403857.6994,9856.79335,32789.85565,170680.0283,25836.94683,71006.97529,157600.9191,4689726.033,77749.39242,32911.98002,124034.9261,112820.6325,660031.8856,667003.6471,305189.9561,39360.66746,78923.95723,61603.28274,99934.78189,207365.6554,11743.18999,283075.6654,633.1490721,36431.09293,59177.57989,19200.34166,301020.9193,8943.428723,60680.75197,12652.65978,20611.60002,105664.0487,37107.79877,7853.794839,10985.89486,166633.1311,12874.87104,9140.7009,21201.26548,277411.8797,76622.16432,29924.32744,27137.41,25843.78782,144179.9571,327084.8021,21320.95671,1199.602039,118427.3175,40176.64506,91774.58392,205717.0644,39046.20352,41852.32743,621502.3747,332503.1042,122629.1051,7673.601468,1580017.309,550186.3105,182776.2498,7412.079241
emb_315_4,cd_exp1,neg,sample,10ppm,N wt/wt,5950145.168,32152.62579,882017.6993,259134.6263,1567740.523,320695.1723,43948631.39,46736.8041,601149.4053,70709.71893,223351.3329,631099.2527,105031.2399,498080.068,641606.2437,1544554.198,135202.7763,20718.89973,1007334.724,635464.2946,518595.7436,10026757.89,689059.7638,250365.6337,273353.9642,272361.8295,955663.0464,648799.495,37353.0275,40455.57463,49685.57368,421124.6982,54782.63282,96484.24136,1519994.385,71507.56446,303943.5043,233891.8108,200226.6018,39200.8884,586872.6359,605628.989,532674.3829,82332.36032,4379995.801,319537.6314,280609.0827,11243.33784,250990.7488,57394.78904,2617.825339,91265.51452,83938.89728,337566.5235,85721.27709,70256.88233,518615.0832,10762.01287,133157.6247,88394.17042,9141.223702,39282.93889,103426.3108,20459.27575,2095215.739,1360.767638,615216.3061,36273.28914,27369.94713,106631.9408,434684.7599,48470.89179,5565.953213,78966.23523,35770.69991,157831.8336,119968.7248,19610.53139,49360.81235,16735.86672,145380.7153,510598.5097,32013.60492,570759.807,10736.99758,56613.20492,242200.944,15452.52016,52282.78552,345636.9168,5808655.166,108721.6946,55379.23781,162674.8523,51161.38495,1040548.514,1044914.097,135888.9201,29668.59603,112228.4075,149931.2879,162049.7589,161798.2707,4468.237106,130073.2154,,57099.58,94832.01835,12785.74794,209345.8829,11349.76559,46011.84881,12360.12937,597.3391944,162656.5752,59582.79332,8101.027272,14693.49389,139584.0528,17581.78656,17149.93389,17006.73366,324311.1244,74916.12072,14756.41665,13857.89183,16461.36497,81539.7953,214081.8111,11071.05495,558.4471697,117151.7373,33863.84057,50551.41927,141199.7445,17912.4778,21898.57548,357683.0336,187793.8805,77856.27758,2682.006855,705822.0706,267089.4859,105231.4828,6097.321944
emb_389_1,cd_exp1,neg,sample,10ppm,N wt/wt,4376905.619,17953.06051,1332374.073,691277.2887,2223339.87,361896.4707,82380159.59,38864.32106,1009956.996,232379.4996,366625.7812,572168.0232,152008.3765,853266.8091,685115.6571,1941783.676,131047.5514,28877.33856,1538937.533,550688.108,779463.2722,11469588.48,472701.7964,381589.0871,333968.6391,309082.9668,1499998.077,935589.4692,36280.33321,51382.8497,43391.25189,536734.8015,80853.65919,118938.8176,2281321.301,64531.36204,440169.0346,74589.58656,264976.761,56005.99257,868720.7212,307862.3491,784511.2317,55302.30044,7497641.776,365363.3147,488270.4181,21121.26134,688447.4616,32267.3063,4003.961334,145122.7458,86268.85426,186721.7214,222915.9227,44431.71793,828564.4337,22462.81718,88763.88519,51182.26272,18988.51824,33913.30079,218309.724,15935.26348,3224801.999,671.6913775,491182.536,31317.90905,16476.54036,338765.8024,746262.0977,71726.929,9285.001304,96912.05021,36363.47546,90057.98367,193144.5874,46260.64759,32529.77314,20786.59436,180564.0224,567805.1585,16296.90806,276453.4337,5063.785563,30073.5558,135187.0308,46898.76664,80087.01957,160740.2811,3635991.688,91124.06433,37364.42959,100517.9831,36442.02407,648469.2606,654972.6619,258946.6163,25078.47564,60161.13573,70961.97613,96457.95839,250337.7706,30507.21356,224828.9753,1650.823453,37558.52577,53096.68971,16462.66096,259569.7845,8411.655959,69066.52776,18163.43051,38983.63766,83050.74956,33700.27096,6838.273496,13927.28402,137845.439,8544.572689,8154.994281,16017.8876,174199.0222,48898.48196,31636.35732,15853.74868,37825.40886,132885.1113,348073.478,22136.69421,1866.359662,95736.05975,42201.1665,113252.7418,274472.8949,45367.65651,42383.29843,507331.3225,260649.1906,153222.6354,9661.621324,1404340.995,615988.1095,191502.2939,8418.326681
emb_315_1,cd_exp1,neg,sample,10ppm,A cd/cd,6091550.947,50363.97333,840317.2457,689435.5361,1499916.013,230189.2782,49917343.82,44537.44412,647152.353,226617.5939,219729.2515,405012.1343,95062.31043,545845.7625,670718.4275,1372116.34,78307.89493,49767.02448,1053241.958,521851.2346,472209.2899,8975501.242,269174.214,260558.9502,275775.8124,187362.2628,1021770.619,687045.6863,43739.74713,66128.47205,38461.91045,343520.1422,196187.0509,79486.59657,1758760.216,36277.73842,254425.1338,54478.61386,171449.0773,36022.74328,507829.2845,177656.141,263438.4396,46805.23509,4528817.552,299409.3687,275314.5709,10150.82877,103185.2899,47265.36653,3900.191309,83683.97397,58408.84014,68224.15089,92636.5448,100193.7898,577900.9195,9934.634411,52668.43993,58837.94436,6726.204483,16076.75669,92719.77868,469.8768989,2210868.488,765.3398895,518339.6398,31187.76336,9242.812781,146049.0176,485521.4403,7405.658672,28883.6248,75478.6546,23132.52033,75166.86275,122116.1013,24425.40834,34822.20639,12201.36625,118897.6016,292834.6019,20050.84633,420328.6082,12363.7067,41776.87251,190249.3425,35585.19573,35069.71734,269598.7623,4208573.82,64681.15418,52813.27908,128136.4549,58452.61817,726694.3129,754087.8701,97020.66371,25055.63124,108781.6441,63905.60754,89792.43685,92136.78802,,337638.1364,,35586.51241,57545.39889,14856.52524,165487.648,8396.903927,30470.67365,8080.124764,821.4046973,137877.4052,37804.2875,9468.463245,12858.72803,118843.8891,,3382.568256,12668.01065,190799.2235,47601.10941,14056.31067,15111.12824,13894.64001,69954.77779,187425.3049,2934.868156,985.0915952,101761.5147,34746.14061,36214.8758,107780.9019,6008.215069,30210.34469,386716.423,205302.4496,152437.3264,4225.982305,915428.3573,382807.1222,96423.81053,6880.619631
emb_315_6,cd_exp1,neg,sample,10ppm,A cd/cd,5775338.953,19635.37696,884246.7628,247781.847,1600242.633,301035.8596,60588950.01,52599.34285,694181.0208,172466.5129,244956.8987,638630.7552,98539.85941,714195.9778,771451.6783,1665887.927,107333.3229,38314.15162,1187660.548,617658.0136,586380.2107,10056288.69,450911.032,219610.3326,275327.077,259178.4216,1171871.522,785244.7044,40523.88489,58054.00153,43751.85345,481681.4552,54207.07342,95852.78679,1344546.633,40345.46749,270562.2943,119425.8596,203460.12,41923.16413,547380.8739,1145425.748,465918.6336,57071.74904,4930202.128,295871.7242,355375.2582,14467.6848,147027.557,41119.70838,8441.260791,107804.9684,139127.8126,365612.5232,145117.0395,57457.87935,653509.4233,10616.53171,96330.29368,66840.67359,13921.72383,31536.72668,70429.01342,20997.99946,2152387.844,2980.538686,617691.2327,26892.56321,29342.00521,183007.7921,545621.4137,60136.07642,7317.039474,72365.8927,47057.352,117854.916,138946.2201,14863.64633,39889.38487,14899.64134,139937.0176,547375.2012,21381.49703,469341.5272,11624.66541,39636.48209,188338.7614,20182.33946,61382.97604,227778.5863,5007177.376,69305.40566,43688.23973,129436.1082,56911.58252,690510.1954,705633.1119,195229.273,27594.79595,93079.64,81305.12283,110879.3469,154969.3418,5940.810657,234639.1618,585.3463506,50770.89139,64198.22107,11700.75999,215715.9003,11015.72797,43249.8314,10000.8267,8725.074412,123981.6206,65171.14498,6204.475631,14219.10248,144185.2119,10376.44083,15417.09713,14431.27638,287512.1525,70383.11106,19254.97095,11081.86259,16874.74833,95969.49003,245008.8583,12819.9482,2797.001875,105821.2882,39611.27028,55487.35978,148768.2836,20431.04339,30473.6302,470551.9113,253509.2347,89610.82793,3868.643094,1017354.211,372877.6272,125377.4287,7731.858526
emb_372_2,cd_exp1,neg,sample,10ppm,A cd/cd,6080449.037,62113.99955,1169306.898,754317.0993,2251898.494,363253.703,91483908.97,69247.27743,1020168.124,410997.274,369413.8116,933253.3797,165976.2799,622209.3033,722323.3817,2126558.954,151567.7181,74935.87941,1570502.981,945156.3222,765969.609,11825588.15,548705.2409,284160.0117,345175.2505,311199.5521,1404488.281,1000496.312,46663.82255,47957.03615,49958.95905,672877.6778,141055.6568,133206.8666,2177266.607,48713.8492,300090.0353,143753.3757,177067.556,54822.34026,879299.5882,2204439.125,759709.3627,64681.97894,7406703.871,371400.8709,516341.7947,24363.9705,90869.23653,45106.77075,9618.959121,150827.155,79945.6747,147143.6785,198239.7197,68350.55408,852693.7393,9507.826062,60656.44317,85847.15774,22023.30919,26141.75509,90363.42422,46570.02251,3086085.151,,606602.8524,45942.30529,15441.9511,356100.9461,711298.554,6769.236114,6945.048451,99991.1654,48207.77127,114927.6557,173731.2298,28452.62264,42426.95226,26014.24153,212861.3298,491693.2569,19053.60159,394049.8672,11515.26405,40841.86317,196504.2794,27800.71361,73849.91547,246628.2966,4780621.724,82614.40738,54141.02122,130331.5603,87980.80613,730745.0288,743077.5436,306788.874,49431.82859,94109.99965,134385.4468,134200.8933,188504.583,,274611.7384,3229.079747,45924.98238,79616.6822,21454.58327,312561.1233,11197.43996,48696.04445,13131.95138,22680.90219,120543.2276,38770.31786,9863.804949,21343.65326,226914.8498,2759.930458,13646.59522,24887.42098,239454.5399,69407.36877,22024.11781,16552.28189,24192.59663,132489.8742,332172.4048,18595.18245,979.5078168,97634.45227,54024.24057,77925.19538,194550.9194,44577.33781,55338.00616,914373.6724,431253.1886,161008.8165,8572.930784,2141088.281,708706.9991,208050.0666,11017.40112
emb_376_5,cd_exp1,neg,sample,10ppm,A cd/cd,5405111.928,34535.88308,1014392.031,351456.601,1609752.752,321735.2087,70948736.3,62760.41809,758186.8904,386092.4256,334449.527,784891.5948,101375.2428,512023.9553,604247.4699,1652022.224,84491.28429,49540.3987,1247261.929,783516.561,617719.2249,10170363.63,305910.6293,203875.0456,295532.0485,262109.2543,1099091.464,768338.7538,42630.17634,56903.22738,49981.80376,564631.6031,96677.66148,91729.82607,1171276.318,33687.91589,193654.2376,83013.23479,214052.0319,44308.22904,717671.6978,1614404.891,542530.6808,47791.88719,5596249.159,339857.0507,364729.0216,15224.99253,33484.00581,39231.77153,11469.30276,107582.232,119303.716,135616.1317,132518.5081,53213.49063,662835.7224,914.9864593,55919.56769,64502.57867,19318.95462,24901.52528,72128.52261,23323.80153,2572304.562,,727832.4476,31583.54944,8692.17593,258660.2581,535126.434,35496.71864,9577.515535,78592.81609,39070.35577,106458.3808,128357.6399,18958.31296,37514.30094,16543.39335,127104.3814,458851.8966,20457.1833,371715.2233,10685.78963,38420.87447,188323.3346,15228.93568,54440.97485,259594.2261,4839888.923,38572.94393,45012.42781,129518.0736,94807.0786,706871.3268,718134.0946,230232.535,32237.9924,87434.26771,70743.18593,102221.5783,233824.9397,21398.55882,202279.8785,,46526.29884,63138.7442,12739.13932,269774.957,12598.28623,76425.70333,18468.01756,26321.17864,119858.9988,32620.46253,8312.523846,10606.22799,96579.08661,9135.22197,9934.53628,12764.47289,230228.6828,52498.64426,20217.59866,9439.466904,19113.52937,124907.8477,299686.6972,14468.58044,1248.899464,98083.70992,50751.69909,85978.53773,193877.5071,43295.57154,36482.14758,562841.8496,256877.4418,112321.3954,4134.205148,1141805.183,370801.6185,136656.3468,6171.390604
