Cmpnd_short,Cmpnd_full,Formula,Mass,RT,CAS_ID,p_mix3,p_mix4,p_mix5,p_mix6,p_mix7,p_mix8,p_mix9,p_set1_blue_546_R2,p_set1_blue_617_R4,p_set1_blue_618_R1,p_set1_blue_648_R3,p_set1_blue_669_L1,p_set1_blue_713_R2,p_set1_blue_773_R8,p_set1_gray_551_L2,p_set1_gray_573_R2,p_set1_gray_608_R3,p_set1_gray_796_L1,p_set1_gray_796_R5,p_set1_gray_843_L4,p_set1_gray_843_L5,p_set1_green_574_R1,p_set1_green_592_L3,p_set1_green_593_R1,p_set1_green_614_R4,p_set1_green_675_L6,p_set1_green_675_L9,p_set1_green_773_L2,p_set1_pink_670_L3,p_set1_pink_672_L1,p_set1_pink_686_R1,p_set1_pink_751_L1,p_set1_pink_754_L1,p_set1_pink_847_R2,p_set1_pink_847_R3,p_set1_purple_552_R5,p_set1_purple_552_R6,p_set1_purple_605_L3,p_set1_purple_608_L1,p_set1_purple_611_L4,p_set1_purple_621_L1,p_set1_purple_843_L7,p_set1_yellow_599_L3,p_set1_yellow_666_R2,p_set1_yellow_670_R3,p_set1_yellow_672_R5,p_set1_yellow_751_L3,p_set1_yellow_751_R4,p_set1_yellow_847_R6,p_set2_blue_561_L3,p_set2_blue_592_R4,p_set2_blue_617_L3,p_set2_blue_617_L4,p_set2_blue_669_L2,p_set2_blue_669_L4,p_set2_blue_675_R2,p_set2_blue_772_R1,p_set2_gray_551_R3,p_set2_gray_610_L2,p_set2_gray_611_L5,p_set2_gray_621_R1,p_set2_gray_621_R2,p_set2_gray_796_L2,p_set2_gray_796_R1,p_set2_gray_796_R4,p_set2_green_593_R3,p_set2_green_661_R2,p_set2_green_675_L1,p_set2_green_675_L3,p_set2_green_675_L7,p_set2_green_772_L2,p_set2_green_773_R7,p_set2_pink_670_L2,p_set2_pink_670_L5,p_set2_pink_670_L6,p_set2_pink_730_L3,p_set2_pink_730_R1,p_set2_pink_754_L3,p_set2_pink_847_L1,p_set2_purple_552_L1,p_set2_purple_552_R2,p_set2_purple_552_R4,p_set2_purple_573_R4,p_set2_purple_608_L4,p_set2_purple_610_R2,p_set2_purple_632_R1,p_set2_purple_843_L2,p_set2_yellow_599_R2,p_set2_yellow_670_R4,p_set2_yellow_672_R1,p_set2_yellow_672_R6,p_set2_yellow_686_R2,p_set2_yellow_752_L1,p_set2_yellow_753_R3,p_set2_yellow_847_L4,p_solv2
pC39,Hypoxanthine,C5 H4 N4 O,136.0387,1.71,68-94-0,1330195.33,1303021.467,1305221.785,1204566.679,911499.2972,1004941.032,898059.8814,2632882.197,1443777.341,1084727.476,754582.9344,1156092.05,875229.553,438305.563,812079.122,853031.3297,733769.6382,396814.1009,784054.5497,645312.1426,730671.8174,890642.1553,1161666.062,1344937.842,1403322.409,804370.4506,736003.461,977349.9921,1311412.482,837615.4301,1026210.122,794581.3124,1201222.709,968397.1362,645806.0538,713380.6382,1326897.882,709678.8823,769960.2094,669108.1156,538444.2731,770220.8116,1174012.005,853938.4821,753780.3761,781743.8609,809002.0925,580614.9129,659305.843,3156509.769,1245545.416,1629077.008,1213128.249,4394853.768,7349223.036,916263.1657,528520.9311,692575.0666,864276.3202,799025.8422,574772.9724,760562.5726,720648.6433,894547.5609,1343937.956,1076155.831,932550.3956,811492.6674,862597.3467,1361424.86,1042404.859,647938.6592,536080.8776,1280631.533,876585.93,1942035.519,1927818.856,1609291.32,922403.1368,1047761.943,618969.0898,665782.3514,1345029.102,878386.8364,1599113.004,676895.9818,561937.0869,1121319.948,1241646.17,814336.5303,720519.9304,3689499.564,679113.9727,941325.5571,1029908.705,4321.274131
pC40,N-Methylnicotinate,C7 H7 N O2,137.0477,4.31,535-83-1,7404.775917,6064.008885,7921.69336,9490.802072,9020.022905,7691.068454,7452.262451,14677.08694,4020.412645,3984.700803,5823.011284,4336.6938,3222.459865,8235.733332,16786.69409,8153.653579,2674.470466,3988.250938,5336.935472,8557.12709,5572.554762,5654.823023,3632.981267,2832.433552,4282.460686,13767.36371,3999.898971,7532.393768,5635.944781,4015.059808,6676.289282,9554.000099,2431.38264,9480.864713,5358.7265,7403.79057,4676.085794,4175.963879,5774.136673,5650.566038,5758.782487,7423.25938,11447.60449,9126.615845,5616.560372,7681.17548,4671.794512,5413.173193,7546.001405,10019.05701,5133.465184,3684.71333,3383.777939,3924.947854,6761.590874,11302.89713,4532.647419,6870.042616,5609.862149,1903.391631,16920.72482,33529.65401,4582.706624,9665.866767,4161.036156,8196.147872,2839.180271,18306.80253,8058.967915,4774.170547,14155.62318,3558.225598,5977.14652,3078.001383,6429.886196,5202.286704,71043.46364,4727.373229,7195.823669,6315.778864,4341.724772,11606.31541,6212.343177,4974.810867,3466.568281,3639.67703,4271.250585,10110.36038,7014.465485,4965.978,6699.668561,14260.48376,4374.741982,4875.005868,3708.119969,3567.128862
pC41,Phenylethanolamine,C8 H11 N O,137.0841,0.98,7568-93-6,55207.94728,60061.0327,59280.03046,52266.92775,51307.43865,49938.4806,42939.31769,70336.75452,64697.01237,68980.87196,70016.21028,71827.68572,76471.63708,82546.75986,120516.2762,67628.22171,66784.65368,102809.9872,106152.2043,88154.71798,106511.7113,50282.39064,37555.66826,78761.77806,84047.57458,102793.0646,89751.68512,87300.4854,49038.94431,53305.27632,102950.3748,59455.28481,99216.73025,96818.41895,144050.1483,76032.17865,72660.95425,61995.58135,63325.09326,65369.1546,80413.74515,63253.98214,94397.62772,183072.0839,94302.9859,76571.16282,64870.59007,67638.33272,73126.25923,46977.9643,33584.93842,30386.38952,31565.86578,53192.4706,55229.08205,53641.27182,161603.0981,37316.74285,36581.36281,42887.55988,41879.67528,46649.55023,40095.10925,118541.9227,63419.30229,27621.8662,25846.50726,154796.4853,128077.5688,59437.91538,197489.4772,38656.24129,25257.63794,31128.8543,32129.41914,64500.61522,29929.18428,26531.42872,277798.4417,25768.65869,21213.50441,29794.33296,21037.82905,19304.12473,32700.87094,196065.1648,15528.47973,33637.14311,27853.09958,107940.2668,23362.80502,52738.60116,22056.05685,105415.9612,35479.05094,10094.58489
pC42,Urocanic Acid,C6 H6 N2 O2,138.0429,2.61,104-98-3,17086.16768,17166.83737,18788.25743,14989.59644,15741.496,13615.62985,14328.99336,14877.7234,13964.37146,10929.50191,13954.08706,12316.46714,8595.957199,15512.89925,48531.19635,14376.15216,7122.991782,11041.61588,10766.3168,11353.42662,13702.54634,10666.31203,10898.2581,10572.21615,4979.05411,10646.91144,7525.331112,18617.40418,14026.41643,10633.82111,10970.08814,28315.32142,8220.162287,21245.55319,9593.812031,52394.25277,12181.25336,8934.550479,10662.54575,11717.77665,12394.96343,14443.29075,15835.05649,24062.6969,13102.77402,14874.78659,10631.61219,10199.81665,13357.21468,6947.694236,13510.76829,11112.05623,13481.00673,13890.34898,12808.27831,147412.053,11645.20306,14635.65818,18757.57994,5728.285966,15336.23204,14045.88524,16227.55899,11055.33652,18137.04492,11328.85322,10429.90781,16210.67943,16026.77839,14669.11666,14711.2885,13758.02006,16640.24707,10885.41056,11188.56603,13075.40803,53386.37427,14358.49908,15711.9435,125075.7968,10767.05275,14311.90744,14171.78262,6349.685894,7923.082607,4840.051139,7643.005914,14943.56421,16093.73721,10944.12807,12332.41971,11141.9759,306274.1135,16325.11218,9154.494066,3842.806852
pC43,O-Phosphoethanolamine,C2 H8 N O4 P,141.0193,8.99,1071-23-4,234397.2696,239183.5312,236738.3457,203237.4514,223287.2233,192597.0952,169369.0847,158876.3143,249328.7189,210274.6719,148393.6645,105643.91,102484.7127,150095.934,85708.08824,211213.9023,126939.5117,147257.4706,141169.8186,243897.8962,228720.4376,181088.758,178243.3794,131046.6987,90790.65855,140327.7703,136504.243,186331.342,232931.4759,152362.8174,82401.06051,141327.1072,149470.3421,178488.2549,204326.7624,265982.4845,274110.49,120498.4685,217032.4638,197695.3118,211724.2576,218413.9678,215796.8733,236704.6445,158191.1115,108145.9233,161587.8915,232375.9491,140870.3941,207289.5328,196502.6335,250985.5837,259785.9637,47603.57623,54368.16286,102856.2624,191337.4942,201290.6304,353787.1028,99165.61532,94574.21072,177766.6604,254173.3849,189044.1581,217358.8783,186920.3044,150850.3401,154536.2543,211169.2134,278084.5713,190596.8074,141896.2822,189443.3949,186758.8331,108051.1374,179319.9885,135493.2904,169759.731,255393.7081,257646.4152,214296.1264,212307.1182,207136.5284,173060.5447,75558.03422,6369.603655,234752.1056,239782.4422,142768.2038,110448.3864,131295.7603,92268.41474,158556.1354,174409.2266,191908.0193,16574.77979
pC44,Deoxycarnitine,C7 H15 N O2,145.1102,7.04,407-64-7,321707.096,332364.03,326342.185,307239.3415,273845.8486,259910.4289,246867.5016,255057.9611,237116.1453,216143.7896,211577.739,117631.5344,185414.9141,153391.529,170595.1931,223133.3444,234588.9743,152466.7942,162764.9125,339269.601,292194.3606,156976.6103,223477.1943,157954.1145,167923.6872,166863.239,164610.2468,220167.4449,379431.9557,272020.8329,199357.5317,261940.3572,266776.8881,201226.5261,256264.2746,279021.1086,363294.7094,219406.0336,245139.8748,290076.0815,231663.2285,238392.5885,297846.5359,237825.3514,250349.7054,212913.0113,279729.5956,252145.4717,187482.3421,319989.3515,247244.3033,326616.8225,305155.9732,79323.20861,92892.26351,161162.1087,133959.6902,181386.7984,316610.4451,275597.9413,190279.1978,222988.2841,368654.2734,229378.762,345351.6088,189703.1193,155061.0458,161792.1785,204833.4386,323195.1772,127121.3094,233431.3475,238110.7923,340923.4326,229119.7769,288683.1604,214878.6074,324559.3742,266390.3361,304989.0989,262119.6742,230960.1194,264384.2403,247992.6582,168341.9765,10767.21964,267259.3277,349396.382,373812.4846,242253.0403,253235.4857,190404.5542,288095.2087,178856.2261,265510.1368,1280.601076
pC45,Glutamine,C5 H10 N2 O3,146.069,6.67,56-85-9,1552659.155,1576745.128,1561276.564,1502206.217,1186859.196,1204080.976,1297661.61,1655998.747,2181309.302,1861057.34,699001.1505,55167.57865,1808957.02,223281.1225,571741.4922,2083878.273,310235.2185,1714021.027,1617427.051,1431746.241,1798256.59,94156.24967,1809273.633,229350.886,571808.0702,914279.8164,1299686.046,704176.4698,1201881.33,851473.2549,1642489.169,1619750.899,1666870.659,1323559.359,1803009.563,894725.3608,1769597.946,288985.4347,600259.5599,423597.7903,322221.1974,1449916.501,587236.2981,1008543.367,230729.293,353159.703,1435636.908,985009.912,1326665.023,516012.261,1722570.293,2359935.489,2108699.128,107864.9167,146887.6255,685107.0777,159127.0944,886037.4012,2190473.603,548640.1727,548568.0983,473373.6717,2024300.966,2211729.077,2774661.734,192666.7971,2274801.073,500988.3904,1220411.092,2087523.174,140977.9781,534546.0887,326379.0069,1267053.639,1178247.39,1090012.211,599361.8536,1740687.917,1338092.377,939393.9437,1254417.096,451195.1528,1906237.503,420074.0831,1677455.026,187533.812,1925282.158,532321.8068,667822.1807,425340.4991,698124.1671,1662747.019,301919.2618,334114.7931,1664696.197,5680.562487
pC46,Lysine,C6 H14 N2 O2,146.1056,12.29,56-87-1,2635572.867,2605057.678,2601478.678,2310234.337,2014934.052,1984687.715,1856811.082,3692161.343,2626567.039,2282079.448,1521430.233,1064589.109,1832124.527,1179153.236,879374.081,2576068.83,969319.8277,1252236.805,1780784.481,1617405.199,1814049.74,1212943.392,1949884.821,1304091.635,804013.2629,1119311.885,1592327.452,2098137.081,2616551.885,1616023.439,1169892.75,1982608.566,2119203.669,1053185.664,1517685.532,1601434.709,3010460.279,971198.1839,1264325.106,1406820.229,742994.1016,1512472.287,1974202.797,2092488.987,1464249.441,1010406.229,2282831.767,1856621.483,1147361.528,2506779.332,1875392.333,3039011.153,2815667.406,1348562.313,2018720.788,1000978.317,453196.4482,903969.4691,1948371.676,1269927.105,1028972.05,889285.3576,2510629.936,2404427.988,3315142.397,1129431.982,2404522.979,932134.5178,1539818.34,3463040.207,397358.3961,1408929.244,1232332.014,2919681.45,1515032.14,1311791.718,1345774.067,3150115.27,1365440.662,2342139.324,1657718.22,1409455.59,3033302.659,998384.1519,916365.7306,30570.96248,2294359.534,2031380.21,2083365.671,1241910.696,1479485.859,1180584.585,1812718.253,1012146.12,1345893.561,25981.9431
pC47,N-Acetylserine,C5 H9 N O4,147.0524,2.57,16354-58-8,12831.41695,11625.5854,12261.58077,11884.04156,12651.34108,10838.14649,12440.59713,10708.994,9809.209036,18288.22197,14876.13399,12712.4733,15821.94956,27984.85723,11972.03484,12251.29865,3961.586318,7187.287997,11978.73283,16575.88337,13399.40683,11133.86494,7835.98076,6429.112853,6963.599289,7424.954196,11820.22816,7024.792446,13450.30218,21694.45701,35970.20079,11598.65033,10764.90867,20801.90168,19624.34428,12240.23393,10942.86063,4768.207583,11453.38904,11628.15081,14192.28949,16839.3262,37180.18717,24728.03402,35103.8903,26375.47141,15713.95069,19496.7319,15352.90224,4372.94939,5424.838714,7380.740309,13092.46384,6513.595063,14092.49392,12769.73086,2167.393683,8773.343642,22173.09286,4668.367402,11637.94472,7552.098189,13335.36835,10691.86966,10810.0825,6170.908979,7003.596856,13232.31797,21840.30685,11502.65534,2724.64819,8920.100773,16719.24007,28002.63216,17533.8589,26229.98542,46216.63468,21613.55002,18310.58919,26473.28483,16056.92892,21699.68446,7738.892049,4951.644295,8337.480325,260.482053,15021.29133,40070.02303,30771.48809,33947.62454,35551.20183,81647.57774,36004.48436,17934.83177,32272.28169,805.5654578
pC48,Glutamic Acid,C5 H9 N O4,147.0531,6.57,56-86-0,3835425.369,3918683.113,3822106.266,3397112.418,3090120.405,2889892.772,2760576.774,4161959.113,3483881.926,3126809.685,3555743.443,632187.2768,2919097.301,2837835.585,2865403.265,3448993.447,3165746.669,2320370.953,2610531.936,3073311.819,3473877.294,2247675.016,3441139.569,2745697.131,3123373.959,2404053.857,2944799.154,4166087.989,3906476.011,3410428.531,3435857.604,3072976.95,3130865.237,2457309.897,3086255.595,3842296.707,3871744.033,2321407.458,3536771.573,2165379.897,2914745.249,3155336.969,4196491.562,2948474.765,2686279.938,3092548.058,2760994.415,2915042.965,2350562.698,4217291.784,3293316.226,3268387.457,3401426.956,1041817.564,1100735.126,2799680.468,1281145.544,2924067.997,3673179.084,2828253.383,3068841.024,3082123.429,3616288.77,3514470.442,4466344.544,3016306.221,2846396.096,2470126.701,3501996.932,4082192.328,988612.9168,3489456.631,2683247.937,3131760.666,2931078.117,2760026.647,2094028.967,3771893.337,3660387.068,4729947.472,3433167.795,3514742.765,4080804.886,3065144.778,2262370.81,82406.36715,3003344.236,3930953.491,3185672.416,3075032.972,3297616.253,2597924.155,2408498.618,3077722.309,3054883.018,3220.373698
pC49,Methionine,C5 H11 N O2 S,149.0511,4,63-68-3,755008.3449,759802.3952,768536.576,656899.5707,644002.3089,609412.0611,531882.076,843597.2148,743458.6786,766992.2894,572268.1867,311562.6271,554655.4999,466283.3132,301620.6627,617866.3724,286133.6354,384891.232,476034.4952,461913.4941,554768.0219,432149.7095,590769.281,584750.2499,300021.0794,452175.6621,514776.6994,577235.7375,975440.3734,783429.6699,1099060.036,717681.8581,785544.2274,917745.8227,1073945.123,513165.8215,691274.595,321592.5998,490017.9876,394934.7662,303672.283,538501.5134,1124759.271,972875.5727,557641.1452,511706.1731,774847.8854,783052.7487,765205.6003,736320.3419,629535.3539,740977.5458,858669.6181,650654.0012,809203.5134,386407.073,158578.9111,416773.8697,810903.5424,370870.2081,344804.3238,330068.2332,627465.1525,772985.731,804483.9189,492220.9548,558154.7229,333708.4481,606796.5523,836411.616,111083.2855,453408.7559,534626.0054,1075713.306,597815.051,1132262.956,783307.5599,1052636.956,1106438.793,739318.7988,544958.8355,588100.5479,664705.1474,356453.0258,418999.8222,135453.6658,522656.4868,1022561.852,776440.8845,578711.4105,597761.4647,1160840.92,624337.1054,635111.6804,1037260.183,6872.565787
pC50,Guanine,C5 H5 N5 O,151.0495,2.5,73-40-5,173904.458,173315.4264,180471.6204,154172.0838,149068.4448,152372.4487,127363.049,268823.2236,171495.7523,100929.913,145737.7985,587419.977,124308.3316,147744.7663,62040.40006,108199.5692,99135.50376,66863.38811,66840.32932,102501.4654,89849.75124,354346.5938,128845.0961,108901.1715,70421.15025,70636.91588,53758.67884,113029.6507,188086.8402,167986.8676,77087.81577,113792.2683,105118.3224,69458.26463,89691.25204,114100.7745,141028.8579,120574.9192,144997.8988,121867.486,102353.1591,101331.5374,200888.7643,86866.20183,116031.2694,134678.6844,134197.309,108956.8198,68116.01936,254483.4458,105249.5158,140868.7428,203780.9246,104782.6433,1050496.362,78922.74758,182337.7487,81256.3051,81162.35276,97620.86738,136550.3137,119099.9546,138951.9006,111780.0629,194520.6302,121448.7877,100681.6394,30784.90762,93639.25165,132410.9178,103708.2935,102172.226,92824.42184,227730.3831,102537.9315,86569.52162,117331.5742,191998.6611,75435.4208,186330.7171,62042.02001,172234.3234,204831.1383,125194.3284,111229.0658,15923.43829,104865.1933,191575.8289,166429.0315,225474.1254,133459.0533,85903.98682,88682.40688,63692.41269,80242.94936,1830.689502
pC51,Xanthine,C5 H4 N4 O2,152.0337,2.01,69-89-6,5830.809069,7159.309006,6660.29627,5492.623981,5238.162858,4705.775775,6156.998745,25296.85459,10926.72206,3552.139947,1599.878273,36191.53761,2764.774766,1662.053035,2598.026364,8438.260148,695.8516619,599.6646342,2061.594993,1559.517208,1501.904981,1738.395344,3459.642813,13335.93958,1564.307201,3531.970269,1648.907623,2649.861734,2328.852874,1441.573339,599.2187471,2793.684839,3382.472755,1427.049964,1556.143398,1040.226353,2199.357652,664.2379697,807.3485009,1847.231626,2148.26286,,2029.254576,4168.235241,1384.178464,3359.908322,3567.287047,4223.655884,1079.99141,10696.55503,7079.242523,14131.52639,15428.03899,294158.8727,194796.2674,1976.294997,2657.596888,1007.414568,4141.159337,491.2706159,1307.385254,3138.227162,780.724717,1286.639235,1550.669772,6881.247766,3463.958145,3355.232074,1619.848811,2197.974826,4619.281533,2977.159483,1808.044317,5273.411124,2898.424708,1815.700234,4585.167066,8461.917072,1377.942997,3870.996737,2462.163085,4159.218681,9269.286559,649.8750322,1312.839576,1096.923717,606.4382892,1442.197617,2830.582258,247.538235,721.9306034,4077.65456,1656.319016,2536.904097,1777.49968,429.6972307
pC52,3-Sulfinoalanine,C3 H7 N O4 S,153.0085,6.03,1115-65-7,512.6969577,1017.737541,741.8124451,454.0645364,1430.497241,382.0163623,403.4548352,974.3077316,579.8128006,922.4345434,1215.348752,135.6033509,160.6359876,437.1091509,253.411825,419.2182733,641.5846571,123.3261705,101.116875,487.9121556,386.1165229,107.2884454,545.5369498,,248.1771341,704.6875097,417.4876586,616.0767069,557.773868,949.2573437,763.0712678,,352.3376515,,386.23034,971.5482982,1512.198547,105.096875,713.9028895,675.609877,846.6592957,857.6915942,679.1555437,892.6551572,261.5297286,905.8878632,,213.8294723,335.8992822,229.1615765,405.6773854,,,,258.8412048,209.3444868,,978.8888707,653.1484348,325.9185376,724.0724095,289.7173517,937.0283949,914.1490888,142.0551826,,443.1186937,735.9700711,1114.667607,892.1564809,120.9749334,505.1245428,611.2640453,365.7095657,56.20847488,411.6478789,494.4349579,421.5626555,554.986081,730.9468572,848.1587864,964.3572764,997.6947486,544.0135779,133.5685322,122.3890234,208.0978749,319.1532938,247.308126,252.0787013,869.1074337,391.7523577,,472.0297399,707.8158249,
pC53,N(4)-Acetylcytosine,C6 H7 N3 O2,153.0539,1.61,14631-20-0,7540.182455,6468.231467,6582.65343,6496.843068,5572.255504,5899.67795,4985.426512,12888.38971,8276.614723,10317.28708,5583.6738,6009.749536,1736.44701,1035.423864,2120.310731,4782.329942,1846.640195,3829.13362,4887.580514,8101.403956,8814.98622,2616.002091,4868.744233,3830.103863,1874.40057,6067.597016,5433.270085,2221.985044,6502.988519,4972.133555,5181.588403,4247.236793,4969.501771,5158.580506,3923.124218,1700.056282,5782.711751,785.7572032,4248.153195,4232.875889,3273.478755,10209.52808,3801.071657,5254.943212,1968.783787,3727.772383,5283.190668,3390.718677,1808.552133,9761.134359,6872.794092,8884.686874,8998.375228,24961.07143,22350.98127,2281.832812,2674.684969,3356.286886,9145.338265,3609.398197,4447.483474,2554.760709,11588.51383,9851.49673,13443.4285,3242.845393,4219.911193,2228.165022,6906.467153,12749.26117,5506.26101,2725.059293,2459.322484,10655.53024,2822.416244,8244.354111,6201.061349,9044.37436,2695.376336,4901.925889,2665.120606,3539.29899,5297.865345,1455.358623,6541.103274,2554.442626,7605.789286,3168.383242,3967.470163,2924.87591,3363.639779,6856.533868,1684.508728,1014.104502,5850.110682,903.7496377
pC54,Histidine,C6 H9 N3 O2,155.0696,7.08,71-00-1,2764080.195,2817513.323,2824128.104,2544759.399,2122720.583,2166669.741,2101784.188,3517680.474,2849120.932,2655184.95,2027098.821,1359177.529,2614496.99,1512254.093,1500587.235,2850519.37,1402533.541,1912242.008,2356113.254,2056471.732,2378952.629,2053792.572,2486245.504,2073188.151,1499172.144,1670020.898,2445634.517,2313814.163,3131920.202,2515360.335,2158124.232,2696448.891,2599679.488,1911626.254,2488932.628,2219071.59,2685612.104,1487681.398,1563763.634,1601861.456,1256123.938,1833570.163,2869690.885,2742362.937,2032801.908,1407551.914,2756030.19,2409376.633,2091610.703,2718805.471,2555435.393,2791203.197,2558264.874,1814366.086,2244732.421,1791789.621,543081.5777,1470238.109,2455354.065,1710554.309,1574881.598,1215690.271,2644321.381,2777017.288,3372878.614,1437819.31,2632848.739,1364533.315,2270377.843,3414026.984,338765.0913,1931605.734,1798996.244,2927345.611,2262840.95,2192450.724,2179348.17,3450719.728,2423039.11,3209263.309,2184578.992,1884651.643,3347311.25,1450515.4,1694482.289,72288.70598,2527776.228,2657935.166,2901315.724,2031615.041,2112689.68,1929864.115,2266358.415,1866507.927,2265727.579,7175.461849
pC55,Allantoin,C4 H6 N4 O3,158.0438,1.91,97-59-6,3497.720794,3836.173643,4070.11781,3489.851136,3883.651827,2700.907476,3679.646576,5423.376902,2827.71187,6087.624655,3980.860302,693.4963175,2539.988952,2509.431815,2508.528228,4351.779077,2884.966107,2592.491106,3718.396447,2394.36413,1803.958342,2379.104694,2933.417302,2601.161967,4206.478562,4425.150489,3027.915429,2626.593142,3551.341769,3898.744817,3642.73843,1864.593213,2471.898799,5362.92442,2079.775263,3329.318078,4724.665153,1485.758319,2991.581566,3375.355083,3321.743453,2627.920331,3661.339137,3445.711455,4292.360414,3030.246879,2114.925236,2208.770604,2175.215517,4959.216358,3118.023707,2217.580213,4132.147125,3737.647417,9383.237304,3526.876547,1469.894709,2044.806595,4304.536085,4074.257334,6050.088882,4220.582524,3001.537601,3554.206452,5924.895761,3309.73517,2411.19826,3769.358366,4929.382933,4304.193918,2430.616991,3531.880564,2410.633839,4463.767025,2871.596099,5923.567252,6188.090368,3145.381992,2861.233697,3510.068999,3288.989368,3263.74265,2818.547356,2791.366974,5492.796581,3689.52481,2816.775468,1958.852548,3488.843337,2298.059647,3466.659532,15687.05403,1904.355188,2829.46671,2971.86829,1280.638396
pC56,Methyl-L-Lysine,C7 H16 N2 O2,160.1212,12.48,1188-07-4,27367.35402,28677.57542,27017.41355,24676.31706,33572.44115,22953.17403,23865.06056,37803.02951,27751.79847,29574.11897,24135.77584,12154.55579,13878.33158,16045.1872,7943.341003,28363.33551,11760.94608,12968.84381,18375.49478,19594.39161,21144.46896,15305.86131,17923.65574,13463.91451,8235.784109,21650.42293,16681.81087,21546.19589,28990.65515,14779.88039,12073.18577,16723.19648,20887.64867,18354.0255,14301.29116,19466.04815,43868.83465,8734.09858,22932.40716,21919.0035,12779.14226,27551.73748,15416.45201,18355.25278,19292.24043,17351.12486,20880.97892,21694.9488,9958.089287,25042.47162,16490.8701,38138.68432,48722.89319,15739.59974,22824.06392,11382.33866,6248.331606,14445.50767,29914.65537,13036.17902,11238.07597,13250.12101,28535.59075,29153.06291,35223.52399,14965.42533,27192.33644,13451.63352,24233.931,48046.42918,7717.903038,16746.78943,17866.69941,39206.05647,14655.72537,19706.74092,14287.49964,29675.29012,14167.4854,24906.32198,18326.71684,25220.24537,30417.79746,12056.20535,11302.54443,3633.460687,29673.95318,18000.74028,20604.02207,13627.84714,17301.94185,17704.34188,16403.80566,12359.51415,11993.60113,5173.778624
pC57,2-Aminoadipic Acid,C6 H11 N O4,161.0688,6.92,542-32-5,477536.2353,486216.7845,493942.5348,461250.442,371538.6468,396575.1534,395849.1394,438144.7088,417923.2599,388113.5473,325652.1152,108031.5481,350514.3552,283350.048,285694.996,396109.1968,380126.0754,268970.8425,254969.3922,465779.6115,439494.8599,295575.7624,393649.7733,326823.6763,336337.6391,233226.4785,314913.7922,465411.5142,513690.4482,408742.4717,360441.5847,366457.9022,346929.9324,247515.2459,343011.2639,538589.7694,540384.8816,380412.325,359869.0544,380197.2224,346884.3659,341665.7455,423324.8781,289917.6278,337542.0255,301420.392,351701.6371,319232.5341,303616.8041,631056.3696,423043.9167,474663.2322,410299.6403,133421.5549,152645.0065,317691.6866,202640.4552,346076.0299,328957.3346,397134.9427,317537.4364,353557.4019,460598.2292,331260.2684,436513.2783,353103.4427,325963.4685,271059.9489,329930.4903,537508.916,177799.5196,389671.7835,304173.3431,418860.582,331593.5014,340002.1579,286377.4176,417202.505,322860.2794,530080.8274,464745.3209,330470.0278,431098.792,422314.2134,308435.4452,5903.83706,418677.3971,434480.0712,419269.6081,341547.4347,339452.3212,267951.4342,374668.6363,265336.4113,375043.5076,1089.082399
pC58,Carnitine,C7 H15 N O3,161.105,6.36,541-15-1,8864766.019,8903297.257,8897905.649,7912780.843,7069691.346,6870102.312,6696169.044,8372457.988,7396843.569,7148679.776,6202852.048,2906066.502,6103546.098,4500917.488,4772558.746,6919625.631,6883902.581,4852064.475,5339354.985,8486892.438,7944990.257,5047577.769,6444785.672,5452638.373,6091914.077,4703123.78,4986156.959,6439551.372,8177870.94,5604160.335,5245168.922,5880356.444,5555388.699,4423583.209,5306357.766,8623461.428,10045537.61,6115801.359,6329640.836,5970059.007,6137211.468,6975143.794,7003414.144,4699801.856,5557130.65,4566178.239,5327778.239,5541901.612,4103947.057,9457297.525,6699490.022,8800004.679,7918820.061,2501132.085,2860171.081,4859165.997,4089535.068,4619079.385,7093674.533,5996506.933,5807090.119,6238069.266,9621639.617,6366767.934,10222466.8,6580910.858,5694607.728,5068571.25,5834526.844,9187350.196,4013488.946,6502894.33,5215854.51,7025458.366,5691140.426,6209852.167,4736634.897,6829677.697,5680457.263,8753610.541,7431350.14,6434659.001,7900125.171,6700612.252,5478563.729,338972.1934,7247079.853,7609767.747,7050236.417,5364562.089,5832716.406,4272394.805,6227196.903,4237692.639,5589137.979,23630.44514
