Samples,VPA,FA,VPA_FAnC10,VPA_FAnC100,VPA_FAnC101,VPA_FAnC102,VPA_FAnC104,VPA_FAnC107,VPA_FAnC109,VPA_FAnC11,VPA_FAnC110,VPA_FAnC112,VPA_FAnC113,VPA_FAnC114,VPA_FAnC115,VPA_FAnC116,VPA_FAnC119,VPA_FAnC120,VPA_FAnC121,VPA_FAnC122,VPA_FAnC123,VPA_FAnC125,VPA_FAnC129,VPA_FAnC130,VPA_FAnC131,VPA_FAnC132,VPA_FAnC133,VPA_FAnC135,VPA_FAnC136,VPA_FAnC137,VPA_FAnC138,VPA_FAnC139,VPA_FAnC14,VPA_FAnC140,VPA_FAnC141,VPA_FAnC144,VPA_FAnC146,VPA_FAnC147,VPA_FAnC148,VPA_FAnC149,VPA_FAnC15,VPA_FAnC151,VPA_FAnC152,VPA_FAnC153,VPA_FAnC154,VPA_FAnC155,VPA_FAnC156,VPA_FAnC157,VPA_FAnC158,VPA_FAnC159,VPA_FAnC16,VPA_FAnC160,VPA_FAnC161,VPA_FAnC162,VPA_FAnC163,VPA_FAnC164,VPA_FAnC165,VPA_FAnC166,VPA_FAnC167,VPA_FAnC168,VPA_FAnC169,VPA_FAnC17,VPA_FAnC170,VPA_FAnC171,VPA_FAnC172,VPA_FAnC173,VPA_FAnC174,VPA_FAnC175,VPA_FAnC176,VPA_FAnC177,VPA_FAnC178,VPA_FAnC18,VPA_FAnC19,VPA_FAnC2,VPA_FAnC20,VPA_FAnC21,VPA_FAnC23,VPA_FAnC24,VPA_FAnC27,VPA_FAnC28,VPA_FAnC29,VPA_FAnC3,VPA_FAnC30,VPA_FAnC32,VPA_FAnC33,VPA_FAnC34,VPA_FAnC35,VPA_FAnC36,VPA_FAnC37,VPA_FAnC38,VPA_FAnC4,VPA_FAnC43,VPA_FAnC44,VPA_FAnC46,VPA_FAnC49,VPA_FAnC51,VPA_FAnC52,VPA_FAnC54,VPA_FAnC55,VPA_FAnC56,VPA_FAnC59,VPA_FAnC6,VPA_FAnC61,VPA_FAnC62,VPA_FAnC63,VPA_FAnC64,VPA_FAnC65,VPA_FAnC67,VPA_FAnC69,VPA_FAnC7,VPA_FAnC70,VPA_FAnC71,VPA_FAnC72,VPA_FAnC73,VPA_FAnC74,VPA_FAnC75,VPA_FAnC76,VPA_FAnC77,VPA_FAnC79,VPA_FAnC8,VPA_FAnC82,VPA_FAnC84,VPA_FAnC85,VPA_FAnC86,VPA_FAnC87,VPA_FAnC88,VPA_FAnC89,VPA_FAnC90,VPA_FAnC91,VPA_FAnC95,VPA_FAnC96,VPA_FAnC97,VPA_FAnC99
T1_P1_C1,cntrl,cntrl,0.041505592122582674,0.05396948590901938,0.1382870586661531,-0.031761458016593594,0.030720922949532298,0.5031958972969894,0.14762730819484132,-0.05583426977840038,0.10194441626430338,-0.18333026322164084,0.10161757668341323,0.0787880113542655,-0.10448609756195809,0.2667259211946333,-0.12880853245051735,0.017330950661853937,0.11629944061562969,0.16196219130259842,0.20528550080410185,0.09604554635189304,0.18568431240402572,0.12908859674483641,0.20191759644890112,0.21059984653012492,-0.0495724138096655,0.2603446142887502,0.07437201948986062,0.12038766030699333,0.22806907282807842,0.21858792388249149,0.17669158105481358,0.25587798754242685,0.10819327173540286,-0.16495208243285137,-0.005687267336372869,0.16724306706736708,0.21633495352241114,0.12418445835718096,0.3330857376983642,0.12427632660256993,-0.7469655854412205,-0.15016965085358,0.16963285255775684,0.009872856364747714,0.15549310284483903,0.03922176994071009,0.10466315202634527,0.27973606349132146,0.09869955023981197,0.04609383228518916,0.04505733613161184,-0.15826104404329508,0.003847941962500665,-0.05073945288873666,0.029890914666429007,0.09491177876292682,-0.6468464225409941,-0.017460005698579823,0.0049690886619883565,0.15468768626407772,0.005366660871115052,0.2636723387573058,0.05602230905576617,0.05332339083738062,0.531829416520754,-0.05358669417109578,0.17848741741708263,0.24860193454237345,0.5632646284646605,-0.2528291234663576,0.11675433535666195,-0.05686480666112211,-0.1253813102986499,-0.03197918150709378,0.040858988712858674,0.055161169178607215,0.007862402101651612,-0.03380801182778062,0.1283780314901606,0.28619002312174324,0.12089549636626479,-0.09488211072709897,0.009930784446476769,-0.051161394758203346,0.13441247024944558,0.14116349392357153,-0.004720362135911134,0.0663740007946154,0.4920488519559328,-0.029681484200781823,-0.026256898290972754,0.22888647564314596,-0.23492048177867741,0.13296121698449775,0.13946800707887522,0.226325087233545,-0.04963501458527184,0.24397434613444005,0.048196275178654414,0.0021353791927260814,0.05248495549973087,-0.0012989900545171268,-0.1615456725658245,0.06026009837123568,0.27104185644955797,-0.21989464756751056,0.23154886370259886,0.1328150095210106,-0.7348683737623755,0.036986425261025885,0.013754689508305055,-0.14711089503296873,0.22948817954771839,-0.06920519593958716,0.09576230155187107,0.26102877986282746,-0.030206498980054085,-0.11516833141985036,0.32748042820067075,0.051811183400078065,0.15849275184329226,0.6624584262178633,0.17752584546241873,0.0313703849846788,0.08577334137292979,-0.4333833713102235,0.2587614156866336,-0.0019533462444127694,0.3157300882671138,0.29347820846504047,-0.1637997206236762
T1_P1_C2,cntrl,cntrl,0.03378622050338802,1.5258285969092789e-5,0.2393842611369529,-0.17685488861086443,-0.0086254780743133,0.3043383700976577,0.11216545365820145,-0.019486385201951333,-0.06624481019231102,-0.2265291413037825,-0.10489273571449685,-0.00876151221623707,-0.06613327670694305,0.48750863817289064,0.18394329345992422,0.07569931716862253,-0.11944627721386337,-0.12433450732861343,0.36321741324957046,-0.07065311734919533,-0.20104480468876518,-0.24789816501049802,0.009860411329049364,0.02471463301683105,-0.1635270508174823,0.43270286719688333,-0.2634074560529405,-0.19296465043855315,0.08624451617736961,0.2431281864987945,0.11819501155413867,0.3612113440078167,-0.3212662114824357,0.028804286461681646,0.2675647295661418,-0.19731246003226038,-0.0032926033725777792,-0.10541066067479817,0.25619972305176664,-0.20843407670349645,-2.1613554122829224,-0.044359830871521844,-0.11865234657584012,-0.2489693205358304,-0.3065149429651729,-0.31156133842046563,-0.247145551496227,-0.19872268569235838,0.10258086020603924,-0.29560135773427176,-0.34963580407532663,-0.16553979407209798,-0.0884869752610257,-0.11179523920224556,-0.06667763524318099,-0.16477855052978596,-0.8236863727991421,0.014957160655303024,-0.06593310090720568,-0.3180006310331414,-0.0283246542678079,0.16902396604758568,-0.022122195412147917,0.11722705168875786,-1.2728622160685774,-0.13763607474143247,-0.01291342599121588,0.014452352870685616,0.0653391154780152,-0.10106896733490817,0.039970182006621634,-0.07106615030675362,-0.2963275187275573,-5.262841780761147e-4,0.116465929797591,-0.052749627307244674,-0.11400702051167153,-0.443177081424183,-0.010829747776159332,0.058552948214864106,0.020925973278985696,-0.10546133097117655,0.2808997557143207,-0.10844702604287851,0.08856175329796587,0.09126825555697997,-0.05711724634071961,-0.003014054092874415,0.009714897473526926,-0.3050473633302459,0.003867021498784242,0.04043446832805455,-0.4837020804317681,0.32492546151318047,-0.07000464187218737,0.1351029761942351,-0.019457826251423165,0.08082661137427041,0.10178525541300518,-0.0680280922981074,-0.15547194493504207,-0.14173324287908487,-0.12011856664902376,-0.0528557993047747,-0.47090549375729035,-0.22831977173122,0.10178008237197951,0.08495546182204096,-0.8936040641334948,-0.08786020203265889,-0.08865737832177734,-0.18205874439838143,0.16532332842244885,-0.11982982377359733,-0.06623852372496498,-0.0919675053344711,-0.2029743530944562,0.2933469611215009,0.16709176738748432,-0.051851391112502095,0.0037254078470380127,0.5006724405624121,-0.1727926672878567,-0.07365862452778593,-0.04644604302447093,-0.2773891201173755,0.3270503279144676,-0.023434286540490297,0.1068266971629093,-0.05458771132642166,-0.11780138232636708
T1_P1_FA1,cntrl,fa,0.006735477838436724,0.014701257619089187,0.1651133311128015,-0.4114182574149149,-0.1016193387937311,0.33256325834957107,0.0905276160103,-0.1174282253593368,-0.005260551489153144,-0.23107988443442012,0.07626468661822013,-0.09647628552503298,-0.24249054063479725,0.41127186441278907,0.23442233745238256,0.286840171549827,0.045423394199338475,0.15706657268318833,0.22798418006063653,0.056641725940913726,0.0802789710510333,0.06050064060977879,0.05459081671333771,0.03761508839791679,0.005428880994848166,0.36847080706186797,0.03971448871353232,0.12216473413347667,0.17410147471262882,0.36082267288324993,-0.2544999083082031,0.29438025538088314,0.12689173960693667,-0.24727023106832058,0.24103353627402863,-0.04411440763858435,0.08111964122545455,-0.007326905633687975,0.2713970511843325,-0.01833800298046295,0.45018992119854473,-0.20445001049199987,0.006664355801565221,-0.1264903038731651,-0.10724709839513041,-0.20176678762907502,-0.12803895246639993,-0.19749891124940713,0.04775862068389966,-0.18043277349859893,-0.2667458949712797,0.021622927124836756,-0.057436388801584,-0.08009655823346415,0.18895354635747325,0.10588818520172397,-0.8377615843624743,-0.05725571795116004,-0.06833063646390217,-0.2237294112033477,0.04458633017916345,0.029934748577652142,0.02759464581692716,0.15264549815683676,0.012147170078589231,-0.2769578687947711,-0.15476705667095939,-0.12068387433511066,0.4825195145710127,-0.047065745742550624,0.11518453526541525,0.087972953898319,-0.39350062691839094,-0.014282035607661822,0.14274826917002165,-0.11793993331049774,-0.1666811383403113,-0.17592824210924507,0.02240246014637125,0.19276561912550785,0.014827199974664166,-0.12046790391735963,0.1782163944573075,-0.1512006064141759,0.06764208213572574,0.03415539440365969,-0.10131438104114798,-0.09201999752082987,0.14548053130597194,-0.2626131658808048,-0.0297561707691364,0.1959775808491913,-0.7859597711143936,0.3324984558888781,-0.07741067881379496,0.34267836271089414,-0.017444374000504807,0.10926256809054447,-0.0669366151267542,-0.030628345332094062,-0.1256362831985081,-0.20011563060972662,-0.29905139435604844,-0.11602418891559652,-0.31763928904082933,-0.28494270766513985,0.035044974772619454,0.01946794327754337,-0.8480126896550348,-0.14397197042009086,0.13482412431495402,-0.290002521355821,0.284078126350654,-0.14458250188814106,0.01964311029632234,0.07586627516044303,-0.1380001676016858,0.09072928660434282,0.1571246348004058,-0.08998868119957042,0.04531066021817863,0.5494927688744399,0.18677665955099546,-0.0656381805819742,0.035212065275965786,-0.3246884747282196,0.34460154463097276,-0.16544697226779456,0.1841003331602095,0.23219678216335168,-0.2661646776506112
T1_P1_V1,vpa,cntrl,0.012340196035338943,0.1135502423672882,-0.1661929124048244,0.3369459805837971,0.08140248002136141,-0.42129020373413734,-0.16386619942134087,0.1156180295309088,0.24710430940127845,-0.20191483870399327,-0.006769111626765325,0.25048829077342677,0.16162077773102865,-0.13229535688342503,-0.5991049509378927,0.40341025303959216,0.2754830098595926,0.1208196789243903,-0.284726350259749,-0.24253197524457323,0.30923484006574764,0.2692024210948065,0.2996773247711557,-0.12998405517313238,0.09398879481755992,-0.423008424500403,0.24198828193014568,0.19412058633923937,-0.12991747626510758,-0.12052086470511741,0.2631332051933578,-0.15415841947835057,0.19010114958995697,-0.19519812898731062,-0.23683169004041585,0.2705562269719104,0.23552304500533508,0.1730169994962789,-0.12844503391931353,0.19900157939447508,-0.1615680261602667,-0.38799117885203266,0.2693966927768962,0.1181473939126273,0.43016334811983187,0.43102754148117955,0.3597847851169402,0.3599506075892898,0.027769722617505488,0.31039885560449826,0.3267378584161259,0.265001235990289,0.03815662828749681,0.3354956872844043,0.15526549700175432,0.5556263031767467,0.8746227013566462,0.32933657780705317,0.13917213604227235,-0.29748302855620085,0.008011748607590834,0.4856343433885587,0.11670980970766266,-0.27127499140842704,0.6256848723028862,0.12079540056280487,0.12755606340711667,0.15762587486881224,0.16231039263272107,-0.09898520209724329,0.07665781959232448,-0.005755710113512603,0.4377190805021668,-0.018211373475233574,0.07136332898978631,0.21982135162935657,0.24122786706302835,-0.622530813439256,0.22195086095442293,0.22532180920688205,0.04423224597406599,-0.07159117212575684,-0.05888710376310407,0.2210923871661551,-0.010957432477154399,0.012334489659999174,0.14231177572557574,0.09476127742779752,0.10306612961536707,0.3926397083397658,-0.04122436921813836,0.16583820323964216,0.26087466732456727,0.09472276830474059,0.3610133264871897,-0.07857175483991258,0.0945126660933621,0.0877928983295011,-0.16322379400199905,0.06754975697594429,-0.1093446332253031,0.16792089562483378,0.2488874438573636,0.215589991727384,-0.20204371331505194,0.39740378635138296,-0.43927677136375665,0.01254816596199244,-0.14556290468302804,0.1313592374681247,-0.202456591256867,0.3100740620211545,-0.04730926102855226,0.4029073096600726,0.10143910692740532,0.1977390568298571,0.2979110825351717,-1.2484289661415275,-0.029115487234857906,0.14183044312244905,-0.06547888829555133,-0.5734843868760305,-0.18445258564278527,0.22575775283278007,0.05400257307328857,0.08013047381866514,-0.31639740880456924,0.16997473050695305,0.5613412806868614,0.7357958103904446,-0.23697853081591283
T1_P1_V2,vpa,cntrl,-0.11803993208297782,0.04913759477236801,-0.4214961143528878,0.22104083547886616,-0.0331795968515104,-0.6890737761061276,-0.688035683459527,0.053033453083551375,-0.17692013842868037,-0.3576501400016442,0.041424777089121075,0.1381171974333138,0.07596784395985484,-0.586093769636558,0.04567021506871058,0.2444616402312624,-0.04707453974360948,-0.16335037452368617,-0.7023229754183076,-0.49354285013315496,-5.415104974531848e-4,0.046293480186706176,0.09184400346960253,-0.3751470125049461,0.023182832434357956,-0.47588465560191784,0.03778556032051485,0.015123652397517498,-0.23948234189091444,-0.4742541225368009,0.1977572222785212,-0.5042138897483651,0.0868464677518176,-0.42674238158745376,-0.32046181690970954,0.02146851148788373,-0.06904882012289364,-0.02115351655703084,-0.3000149991807137,-0.02380955053445744,-0.07038666870330113,-0.10299239245243494,-0.08323529223799928,-0.06334498006207004,0.29164122322802294,0.1708122941739675,0.1666509564232973,0.02248202590493864,-0.11633493324224134,0.15777229878422364,0.12135304252648998,-0.39315210339133455,-0.07996800514940305,0.008572341208298358,-0.1338064242508372,-0.0170030250421717,0.6803203579381016,-0.3197216766325886,-0.07815387628006104,-0.15292410796839825,0.0077674558915146194,0.24121858582462574,-0.0482019924223328,-0.5571831298362222,0.29651550203805155,-0.13160003151807248,0.026091081491356805,-0.09959636212082351,0.2756162965760381,-0.4274858280952187,-0.2705409960284069,-0.1349283536092942,0.37226807158569436,-0.1382775381294961,-0.10412956242289997,0.0619027336988407,0.0873629582216006,-0.6232464148881031,0.024997781276974936,0.053165183107937775,-0.09112205474440362,-0.14165430065985726,-0.5434614811897027,0.16937670524611026,-0.27883522141479883,-0.09177405876034249,0.09487654601816779,-0.05904052903056924,-0.28340765495366044,0.32468216907623515,-0.14473707799239624,-0.06570574963249173,0.750397195840181,0.15624728651578135,0.15446991902381835,-0.2712517326959446,0.01874650265426954,-0.16185474996750265,-0.32115137780526093,-0.030831356809089917,-0.22502961870314728,0.16428130555326811,0.09532354346707168,0.044410939437537655,-0.06654049625618538,0.23630292358413765,-0.2597671994770826,-0.08797492360121938,-0.934892053602935,-0.0844304280738566,-0.07989936695444365,0.05356605952777582,-0.6674036789348935,0.24159398475987925,0.011540993752413145,0.0026196231075662282,0.2087355305739091,-1.68697453967697,-0.22361655347199244,-0.0625140002926623,-0.12907588207543746,-0.913738678132068,-0.0018822867297631635,0.01983422248421184,6.832481485699836e-4,-0.20304818205907374,-0.2737730224320207,-0.03456602467706185,0.38346591767584404,0.11595154075721964,-0.10827003640081179
T1_P1_VFA1,vpa,fa,0.02750266137006413,0.044347651269262,-0.18846031958011011,0.27848055673014294,0.11708505017638189,-0.25817821493986554,-0.3009720050873709,0.1834875520407879,-0.020559788423432028,0.12454680227195644,-0.022648300160280747,0.274359547169111,-0.25946627773350406,-0.8386649758007698,-0.5244516640858434,-0.13555360503799926,0.09313668125467799,0.07842623221911224,-0.6262678552951008,0.3293720517284729,0.1150555296785313,0.2571699845969335,0.1574657783499831,0.04191962224321441,0.11232892982404823,-0.7634722201454831,0.21963375853591147,0.13181246547004322,-0.10805597890436082,-0.9129411933421715,0.053430549227841226,-0.8836693624928764,0.1383892428644134,0.004283323597901779,-0.6398447311947589,-0.08970370369697978,-0.13932728733632116,-0.0437440137299028,-0.20385084468878537,0.027458910345893667,1.3274093609580795,-0.09684272853289544,0.17883865098711155,0.15611826445576713,0.35195874721492104,0.12587265408286535,0.24435712740746118,0.30587485579391854,0.06567519522281338,0.30583469841109984,0.2718416113050935,0.01535838022016631,0.07945402295181436,-0.03633112937966445,0.24072612885281272,0.01783613918828969,0.4977382257233446,0.0675998648508423,-0.02822616272631495,0.4283581743442922,0.03532399467227763,0.15558066864352005,0.10263053081648717,-0.14607330240219274,0.3321787197243747,0.35750993766196915,0.10252535708188901,0.038199321662544,0.5304596624545594,-0.03592621510443229,-0.018757515838214493,0.097380750946990835,0.5081939858211506,0.06011802603205663,0.006415056326080584,0.1981221160469353,0.19357863963382713,0.21023514390147113,0.3023858951026444,0.1903699542915478,0.06438157362224808,0.04227094117046078,-0.052067116093388044,0.140132787409863,-0.005752313521883965,0.013394455031705756,0.16828123497935102,0.11629360431572777,0.03673888168315273,0.31347240180781144,0.06982454474646721,0.005049785602842853,0.15536582461646523,0.07811862732438395,0.05692422977509383,-0.015667834512273188,0.08157756096535146,-0.16633245043184028,0.10158356309669447,0.10438061424915361,0.1792100848023119,0.2388329609993504,0.29482363532061107,0.2081432417853306,0.4929565015706738,0.4156644223414454,-0.21503829224568158,0.018931310379172256,0.6204844018365061,0.19438144384126047,0.03735424502902965,0.28079593236601896,-0.23399306406099268,0.4586878239318519,0.007061668265236066,-0.053793682224058954,0.2106532210019089,-0.20014105057515333,-0.07052511142309704,0.14405101646248591,0.036237238526518514,-0.42828014833343914,0.08922703269891141,0.17536836156830302,-0.0061609993096542436,0.1481560983867494,-0.3392399006561928,0.2061781180467846,0.025317154898702454,0.29100633013720345,0.052677231845477485
T1_P2_C3,cntrl,cntrl,0.1601481094342961,-0.09244475773089857,0.373473378677489,-0.14534450657734815,0.14107751830190093,0.7270663557679221,0.818285947352312,-0.1166635627100422,0.1144443564930778,0.4661753370673797,0.2267093087564998,-0.06993570887349078,-0.11424082338805952,1.125891149003478,-0.7410830184746681,-0.6083554735458102,-0.14656098770692738,0.06113649333383164,1.1518084545076064,0.5098709414380156,-0.16522664934322062,-0.16619286058446137,-0.17974335841487618,0.44466475896750163,0.16331934031645529,0.6100151591994323,-0.18730795931891545,-0.1198246137692916,0.3019699550983875,0.7704457879968992,0.14963160666955858,0.8887957184034179,-0.08554969697392009,0.45173942106866866,0.35881291569737056,-0.06421136565285837,-0.05946132834998469,-8.799025872915194e-4,0.3486448912658152,0.07844299333012165,-2.3172648725773617,0.22343406194356355,0.08329194176891522,-0.20347448672731783,-0.5817984981860826,-0.35197888456935106,-0.42756632127669403,-0.2612503988643599,0.09569228459243002,-0.2823877103555082,-0.13739465331527934,0.057174742360606975,0.015760207424441803,-0.19298831371448122,-0.0066750707122257445,-0.19076595449048575,-0.9181124868932573,0.00902540885978706,-0.02690570394493259,0.6413585692176491,-0.07941036451316585,-0.4230545323743394,-0.056248743265015076,0.5402453693091445,-0.7168082903586334,-0.02787622841729502,-0.09387003481175818,-0.062327929932259094,-0.3590562360394326,0.3472256168701038,0.18289428179491135,-0.08188375698944408,-0.2861392658651577,0.08586804315643085,0.10594790172468893,0.006293990158480856,-0.10721656879792157,0.9229544054844152,0.12936894938671628,0.03002389057471808,0.09758910887941995,0.23339343285832503,0.4114689436430179,-0.13006715472173944,0.22382617056999735,0.15972850061193722,0.03168858046172679,0.1048283115575929,0.22565921690993415,-0.21179526472478627,0.09818638690984663,0.04070668042504089,-0.5231783678070827,0.08408098145379286,0.0884069282450647,0.16015837008509154,-0.06731028912001386,0.25940403040965043,0.12413317209759057,0.006769265603151419,0.21123851386873696,-0.0758238202354596,-0.3797524386125195,-0.04043009149833054,0.7335995429136327,-0.32461557072463193,0.5044007481103265,0.14416274798862277,0.84547728711645,0.10285176022857032,-0.03612509673842907,-0.12444453016949732,0.3272685525896753,-0.03390546905223014,0.01051186920067105,0.14407913320513505,-0.19462170514664928,1.3765143669199815,0.2518587116128825,0.09284563612428,0.29226240859036967,0.9721445041118395,0.004118685844006355,-0.0011253767522844361,0.024793777077562005,0.3431891478480017,0.5124585764488401,0.039581862104265036,-0.3270769620257087,-0.4358173292720383,0.4747883339068376
T1_P2_FA2,cntrl,fa,-0.06651446152901813,0.042078330068960904,0.21819471425438383,-0.34022012077280755,-0.013218350667238804,0.40220345142998026,0.4018538657047245,-0.13105555496124227,0.03361783783709281,-0.18977256569208903,0.03159004341287923,-0.01612539090702826,-0.3188967301074125,0.6764131511307528,0.850664589002671,-0.08606750405537407,-0.05984842207830915,0.009644767859320582,0.43447647332944433,-0.2840528311033735,-0.1436649827411262,-0.21679047982285168,-0.03439945206971176,0.13569367110835168,-0.04242288141847822,0.6988787158299815,-0.2093388852286277,-0.14174152575995433,0.21611935666857157,0.42561066859340846,-0.30359994122006784,0.5347080671162818,-0.16711500723130693,-0.09687972438047801,0.5503850209221717,-0.11554404553277081,0.14992567759591113,-0.08579168544582834,0.26119762899049337,-0.1961356889362896,0.9822004703848526,-0.06865217828328467,-0.0025160765347216063,-0.1580410256101577,-0.47427519291033526,-0.36327051209609723,-0.16519293279396957,-0.216878376523284,0.12211699851892693,-0.3403798615342373,-0.36484255818246564,-0.1895543793036965,-0.06845065106624028,-0.1299348050527026,0.20146943550460814,-0.1625663921743871,-1.0702758839449436,-0.05868948845872801,-0.07328567117066957,-0.5036303386470251,0.047785539968462104,-0.0037110224215655824,-0.007089440445431651,-0.057988559739478744,-0.7533712972360082,-0.17720556398334678,0.2054547673048856,-0.1271891054561588,0.12324014561617196,-0.07818272831360729,-0.004662845263100655,0.12628883877970093,-0.414054466818249,0.022302266877415322,0.11007848130516615,-0.09118205014723052,-0.12131073396496454,-0.4768631413210931,0.269591862556389,0.12954425514028006,0.05821209424047111,-0.06829760289869595,0.2238608989645929,-0.13451772622191605,0.07346718414884745,0.11115503054726499,-0.08989646937715558,0.00502825133841221,0.08214633491728078,-0.34705291405402533,0.02040734417438893,0.1902287452500724,-0.38863065929124974,0.16419344293688667,0.04946894938823308,0.32608218046901105,-0.06295569805240642,0.14028308172749457,0.13834406242975805,-0.026131380608710564,-0.16619990407204316,-0.24545725083204073,-0.3547016594549515,-0.09859491221245506,-0.7935324514107839,-0.3572257018689019,0.046912038538528676,0.09292346264823069,-0.961809400224791,-0.11070438023829736,-0.04338142067571881,-0.2307326719908288,0.25396760215196545,-0.24671792343590607,-0.1120817625623949,-0.13626616927919422,-0.1274161938128158,0.2062423374216183,0.22030159494590223,-0.08569592341509269,0.002578865880534048,0.6335643583347715,0.03677158282591551,-0.05716220097231118,-0.05638033736953314,-0.3295150300082621,0.482949770726945,-0.1425089359323711,0.03698226498357117,0.09412211889758879,-0.28148767704499933
T1_P2_FA3,cntrl,fa,-0.07618007422866674,-0.1331402073746576,0.43076460053223076,-0.3673017515492508,-0.0469314356790472,0.5765525540479911,0.9238723603573127,-0.18442945884258438,0.3528250968626675,-0.26994533097324214,-0.14949928534233292,0.03026576949427165,0.03773818052556165,1.1594029675210773,0.24453147666234232,-0.11843563888203885,0.18466915444014737,0.3293140573728727,1.036186646046358,-0.3080014494631293,0.14488822874893392,-0.05899352993652979,-0.2112790648105655,0.07097516406377752,0.10216469717302261,0.9291588015988951,-0.011845811973047054,0.13121491887359646,0.21002490035692245,0.797642553297795,-0.15839371183447326,0.8555352076468975,-0.044923482928530434,-0.21142767984108937,0.6090686063344262,0.18196251456562595,0.1906996761057934,-0.006634104414749677,0.281581421660807,-0.050535925372513404,0.283148057412726,-0.18391545611190227,0.18807086194365985,-0.029569767632358766,-0.2942731263297436,-0.11111669251876168,-0.20186314244356826,-0.26043203273769183,0.06931537283580831,-0.3623599747448868,-0.2944975263874069,0.1472534603886651,-0.05856115584849289,0.008633818226601263,-0.1815246778838817,0.06173006372310582,-0.9079695531307667,-0.1371023910155693,-0.0140024943716801,-0.3090935038615428,-0.056260813308779134,-0.02107448359360027,-0.15168283082144582,-0.1800742439094091,-0.7005611511450501,-0.6140943868246823,-0.02682280135122564,0.22177831197061518,0.47365166475202924,-0.1849663273522124,0.10604115752391657,0.07658148713923679,-0.5095963275144682,-0.058209106021186965,-0.022967395718169758,-0.1096452583212767,-0.12302735115162616,0.10639281455757384,-0.45166125578721833,0.26419181420636273,0.0679104752958711,-0.15704678502702274,0.32466614252252474,-0.05246453044867474,0.07081042370384742,0.1248646170469532,-0.0770711078887552,-0.019308330101773498,0.18608655497003296,-0.2603620834612262,-0.06883289924426307,0.036651533839089326,-0.3957297180724488,-0.09686735718115458,0.039241005697182016,0.12406995601667947,-0.0782800306032998,-0.06410442949567136,-0.13550535225411317,-0.00110569558013317,-0.006187612954122224,-0.19496719148225694,-0.21093495943753926,-0.12121764970249244,-0.22434308743357073,-0.4070549732542305,0.43373301107343254,0.1114100751932909,-0.9099065263948063,-0.09709615945338497,-0.3334347425549021,-0.14058190301514498,0.13514807223839528,-0.6829506319042767,0.08761093351173603,0.09366649299252053,-0.17204436875120135,0.8062477988370488,0.2769992779594286,-0.07710542239199489,-0.03180579988225163,0.7829380176591425,-0.3209084438187932,-0.20637371370061097,0.030624059616581406,-0.3822879673458227,0.43403096957993326,-0.14721298180594264,0.11993758575876687,-0.4738616034887096,-0.15347520276894436
T1_P2_V3,vpa,cntrl,-0.0981625023162294,0.028190819598623438,-0.20121045033282975,0.1557864760716281,-0.1016967302420936,-0.5536699054594089,-0.7997237497373715,0.08033861323635537,-0.046083333236920036,-0.0984136266532693,-0.24439105730556773,-0.032527734317810184,-0.07524700032620424,-0.810680686697749,-0.22796554135021943,0.07887213485603639,-0.007830426290252782,-0.16548535407587633,-0.8307532045657432,-0.19587566176046442,-0.0733578286460937,-0.044198895852951295,0.058038295845022285,-0.23907896452269928,-0.2010167445435537,-0.6878560148436298,0.015698931846979177,-0.09078568509314336,-0.17827996338667113,-0.4470229664450762,0.1737947078304226,-0.6676470111604118,-0.009638185024622454,-0.10071767470715771,-0.302027282136886,-0.014216010822729205,0.060810228658372614,0.035730052004636234,-0.29774515665894097,0.051409234654608484,-1.1640561556698712,-0.03783731680516064,-0.18279591362147435,-0.07251334248042034,0.2449497839749399,0.15390935325505561,0.21554331684837305,0.3462361317660519,-0.15002615234920352,0.20158526411108935,0.12539130475575772,0.003657752499185679,0.010496850582753613,0.04763622482757966,0.3554808108684313,0.07740971336154717,0.6985215149926008,0.09946833544102308,0.008015187025399328,-0.41250376093556657,0.07753935762654975,0.0023208232849565302,0.15065091451755372,-0.4567279200803251,0.4045160838855113,0.17726933261627295,0.23971742209973415,-0.03467170059120761,-0.0293799444164682,-0.0920851502338639,-0.2492224411432471,-0.14343476493522656,0.2628810838375256,-0.09484320081974366,-0.05665472184368069,0.0017431991128648208,0.03523029688204522,-0.6977788537280694,0.3025089279974216,-0.2381359770563491,-0.14131098100443554,-0.03257637729081102,-0.33493256562537477,0.04065211271596364,-0.16833796937934448,-0.19859079631086504,-0.11337537467529502,-0.0827052584007811,-0.08754982865172231,0.19078941838280677,-0.09423358480427076,-0.06888548521934879,0.4519588424588101,0.09424581102334083,-0.09076474976426688,-0.20993034499679478,0.010535936652417179,0.026081152853837743,-0.03722861931980016,-0.08721906148659701,-0.16781663691667112,0.15277709605776277,0.05750863713570184,-0.017943179011418932,-0.5434577212786358,0.2075506015393624,-0.35312830206196943,-0.20415247502702083,-0.15035870452616643,-0.07577879799591038,-0.009564467946671859,0.11636636814405447,-0.23802601700534742,0.3482735707059782,-0.07159563830885421,0.02023374540036651,0.17314148791322115,-1.1736653606431975,-0.26148222542539984,-0.09352654064019468,-0.2574255807211335,-0.7630404591516737,0.06393266519536572,-0.016441352470271686,-0.006026860650781479,-0.05980127176321402,-0.3603665718728482,-0.04638938529821727,-0.09636252987206961,0.18382826561933632,-0.22798118208287171
