Samples,Experiment,Mode,Type,Folate,Status,Lrp6KO2n1,Lrp6KO2n2,Lrp6KO2n3,Lrp6KO2n4,Lrp6KO2n5,Lrp6KO2n6,Lrp6KO2n7,Lrp6KO2n8,Lrp6KO2n9,Lrp6KO2n10,Lrp6KO2n11,Lrp6KO2n12,Lrp6KO2n13,Lrp6KO2n14,Lrp6KO2n15,Lrp6KO2n16,Lrp6KO2n17,Lrp6KO2n18,Lrp6KO2n19,Lrp6KO2n20,Lrp6KO2n21,Lrp6KO2n22,Lrp6KO2n23,Lrp6KO2n24,Lrp6KO2n25,Lrp6KO2n26,Lrp6KO2n27,Lrp6KO2n28,Lrp6KO2n29,Lrp6KO2n30,Lrp6KO2n31,Lrp6KO2n32,Lrp6KO2n33,Lrp6KO2n34,Lrp6KO2n35,Lrp6KO2n36,Lrp6KO2n37,Lrp6KO2n38,Lrp6KO2n39,Lrp6KO2n40,Lrp6KO2n41,Lrp6KO2n42,Lrp6KO2n43,Lrp6KO2n44,Lrp6KO2n45,Lrp6KO2n46,Lrp6KO2n47,Lrp6KO2n48,Lrp6KO2n49,Lrp6KO2n50,Lrp6KO2n51,Lrp6KO2n52,Lrp6KO2n53,Lrp6KO2n54,Lrp6KO2n55,Lrp6KO2n56,Lrp6KO2n57,Lrp6KO2n58,Lrp6KO2n59,Lrp6KO2n60,Lrp6KO2n61,Lrp6KO2n62,Lrp6KO2n63,Lrp6KO2n64,Lrp6KO2n65,Lrp6KO2n66,Lrp6KO2n67,Lrp6KO2n68,Lrp6KO2n69,Lrp6KO2n70,Lrp6KO2n71,Lrp6KO2n72,Lrp6KO2n73,Lrp6KO2n74,Lrp6KO2n75,Lrp6KO2n76,Lrp6KO2n77,Lrp6KO2n78,Lrp6KO2n79,Lrp6KO2n80,Lrp6KO2n81,Lrp6KO2n82,Lrp6KO2n83,Lrp6KO2n84,Lrp6KO2n85,Lrp6KO2n86,Lrp6KO2n87,Lrp6KO2n88,Lrp6KO2n89,Lrp6KO2n90,Lrp6KO2n91,Lrp6KO2n92,Lrp6KO2n93,Lrp6KO2n94,Lrp6KO2n95,Lrp6KO2n96,Lrp6KO2n97,Lrp6KO2n98,Lrp6KO2n99,Lrp6KO2n100,Lrp6KO2n101,Lrp6KO2n102,Lrp6KO2n103,Lrp6KO2n104,Lrp6KO2n105,Lrp6KO2n106,Lrp6KO2n107,Lrp6KO2n108,Lrp6KO2n109,Lrp6KO2n110,Lrp6KO2n111,Lrp6KO2n112,Lrp6KO2n113,Lrp6KO2n114,Lrp6KO2n115,Lrp6KO2n116,Lrp6KO2n117,Lrp6KO2n118,Lrp6KO2n119,Lrp6KO2n120,Lrp6KO2n121,Lrp6KO2n122,Lrp6KO2n123,Lrp6KO2n124,Lrp6KO2n125,Lrp6KO2n126,Lrp6KO2n127,Lrp6KO2n128,Lrp6KO2n129,Lrp6KO2n130,Lrp6KO2n131,Lrp6KO2n132,Lrp6KO2n133,Lrp6KO2n134,Lrp6KO2n135,Lrp6KO2n136,Lrp6KO2n137,Lrp6KO2n138,Lrp6KO2n139,Lrp6KO2n140,Lrp6KO2n141,Lrp6KO2n142,Lrp6KO2n143,Lrp6KO2n144,Lrp6KO2n145,Lrp6KO2n146,Lrp6KO2n147,Lrp6KO2n148,Lrp6KO2n149,Lrp6KO2n150,Lrp6KO2n151,Lrp6KO2n152,Lrp6KO2n153,Lrp6KO2n154,Lrp6KO2n155,Lrp6KO2n156,Lrp6KO2n157,Lrp6KO2n158,Lrp6KO2n159,Lrp6KO2n160,Lrp6KO2n161,Lrp6KO2n162,Lrp6KO2n163,Lrp6KO2n164,Lrp6KO2n165,Lrp6KO2n166,Lrp6KO2n167,Lrp6KO2n168,Lrp6KO2n169,Lrp6KO2n170,Lrp6KO2n171,Lrp6KO2n172,Lrp6KO2n173,Lrp6KO2n174,Lrp6KO2n175,Lrp6KO2n176,Lrp6KO2n177,Lrp6KO2n178,Lrp6KO2n179,Lrp6KO2n180,Lrp6KO2n181,Lrp6KO2n182,Lrp6KO2n183,Lrp6KO2n184,Lrp6KO2n185,Lrp6KO2n186,Lrp6KO2n187
emb_90_3,ko_exp2,neg,sample,2ppm,N ko/ko,11299439.51,1229841.018,2126659.256,171446.5103,4714299.636,3709774.263,669974.6032,6048078.228,127809996.9,149322.0129,72490.0903,2664935.293,1126164.958,1900778.101,2602552.311,405583.5925,1788450.187,971132.1843,3593879.553,110535.277,92159.2273,2298837.01,949562.0027,1226884.977,22831132.28,2929486.822,22692.32979,957829.9069,186106.2049,89905.79898,518952.1986,2050152.904,2720944.428,92745.73028,78007.74312,85371.82475,161381.2307,1177114.315,268790.0111,145316.9966,4907696.531,6795130.237,103735.0678,1293388.171,992342.1362,324447.843,84550.35723,2264671.925,4677715.597,1851557.084,190262.4039,16829182.53,1430628.354,74921.36045,94232.68453,86330.46918,31393.96627,30244.42344,236912.2005,836929.8702,265671.5165,304757.4314,11885.02372,214382.935,150665.6168,160850.8523,1925528.973,57789.44897,2261.284442,172862.1013,7073.311545,192980.7089,12727.55576,78127.63336,161237.1059,4024725.459,33246.95095,1832013.012,410004.8233,1728524.425,95063.14083,93510.41046,,415903.6186,139356.8381,7238150.401,18178.26987,59399.61607,212741.214,12412.07297,339961.3249,17171.04861,33017.91356,19595.26147,1399.410442,10869.75178,10952.17646,38280.16354,712917.1448,47638.74036,16333.51579,14120.69105,6169.100732,784327.6423,47377.57257,383657.9728,67164.88743,158318.4998,203774.3305,15176906.92,13836.92541,,23672.25745,280273.8656,51135.24318,84848.79567,445770.6901,1228180.482,80165.97682,13229338.25,477893.0095,31346.26935,13929.46857,265921.0676,161812.1604,188731.5485,483075.5213,23736.78649,208016.159,13099.83192,34185.349,89853.0212,217103.2057,129250.4726,41652.67775,1893338.892,63721.04717,18065.0983,98956.80999,28776.03069,47410.39088,277922.7321,221588.7643,15251.29487,55581.92347,108244.1385,215832.236,30921.4434,5482.759726,23894.2746,28423.25905,692762.9814,91854.87942,76732.42994,57234.92874,136926.6349,22415.50313,77728.85739,4724.226414,340362.7111,345580.0008,12049.78545,371.8625855,202512.5303,50518.15463,169089.5082,26012.40473,85072.85343,23503.37827,,164361.8475,141754.5704,2090223.306,1360660.608,347711.9673,20688.66096,7905.115015,5210911.495,3074433.264,239578.5613,2256.932677,671855.8561,12040.75368,27063.24866,1760.953771,7475.212182,8222.226032
emb_40_5,ko_exp2,neg,sample,10ppm,N wt/wt,7919140.667,1307239.389,2343586.247,230001.7241,3981427.88,4329586.952,829874.1753,6937831.048,144215798.1,220906.6054,160384.6824,3174512.725,673720.1525,4708290.438,2648780.541,377803.3039,1835385.765,1339764.022,4310275.345,186733.2766,126409.0194,2319523.738,1266463.202,1765545.845,21316482.33,3534926.833,15455.75208,556858.9911,198439.1661,96791.92699,604652.2844,2683668.987,2774928.194,103284.2042,54329.50371,91740.4334,184586.0762,1326274.408,173876.269,178293.9024,5348136.206,9044915.209,133509.7281,1752092.296,1375862.37,286852.1389,90228.22012,1599475.579,5244124.353,1822394.223,161612.9347,20651651.68,1151043.884,62417.07517,287405.1459,71397.4247,61973.78887,21478.28052,243136.9956,839278.3353,484537.1213,501156.5784,68822.54842,391617.6034,173186.6993,176244.1919,2345271.384,52030.28212,6687.998058,198892.5654,15004.25681,104713.1706,13637.99357,101801.1579,142180.3901,5114616.427,48849.48376,2334067.539,512354.8539,2152629.718,7386.328191,6928.500643,544.3121241,419735.1929,162528.0236,8151758.888,11079.40099,55468.89321,208146.9279,69293.75651,411734.0104,9964.204252,34287.34877,9131.099054,834.2148384,16070.0589,15136.60521,32375.73995,745928.4768,44526.77843,19933.49764,12671.59749,4188.086729,538065.6928,39384.37244,290360.3935,67908.73751,202564.1275,149569.6625,12636432.92,19003.1892,3467.99998,,303319.7119,54138.87966,17079.89045,290712.5111,1164467.744,44171.6333,11118261.69,552637.3407,72027.22159,21976.6413,212890.1632,314534.027,262130.7683,362253.3553,26310.99662,145094.1512,13488.29666,42790.26254,75135.01855,157183.3155,164784.0646,38510.17784,1468460.661,39307.1199,15249.67358,23688.90175,41924.8493,52460.97001,366482.4615,181256.6415,105083.5889,483988.7771,28401.13924,220782.0002,23849.67109,307.587837,19374.69579,20409.00424,412798.455,59787.09948,76806.13014,52302.40315,816003.5479,28622.807,89333.70318,30531.36149,426809.8138,230345.3271,7425.64229,46430.47249,175582.4264,28911.79969,152304.0726,21970.42886,113892.4675,12882.09211,2724.296588,153921.0618,97170.76835,1783550.969,1782580.893,190470.1969,30470.66185,16145.81286,6806630.027,3596724.019,290307.9946,831.5516853,616665.2423,43181.52619,25114.88191,,7809.406138,5496.507075
emb_18_8,ko_exp2,neg,sample,10ppm,N wt/wt,10308197.53,1158904.92,2026680.293,119076.4744,3219408.211,4433131.278,896172.0427,3234934.333,130289510.7,142644.146,147390.5777,3050914.894,1058819.028,2868204.997,2601273.31,337834.5928,2197175.513,685652.0983,4733427.019,133233.0567,107321.981,3467668.331,1116915.837,2027778.072,21489131.59,3044600.22,9045.984672,408566.9438,185309.1069,169328.9823,696997.573,3654844.588,3453489.455,90598.7577,49806.18595,47023.3102,152214.8428,1394180.5,141794.1367,139757.4533,4772205.914,8526157.466,460367.4739,1677111.622,725650.7945,286523.4128,101837.1215,1115714.016,5619660.084,2167823.597,202053.0697,19022485.81,1553595.798,84474.04389,216136.7757,48213.61336,58576.34506,22636.44586,278461.2306,794710.8865,447996.023,397148.4009,14875.60048,436986.6162,89687.18957,81144.6988,2897915.374,73656.62827,2070.775961,155049.7858,9997.766378,45808.19223,17671.11977,55194.16702,154973.2186,5964389.693,21299.88985,2714605.972,409521.307,2378813.913,116813.8055,115661.5911,,370481.611,91027.03588,8128772.789,34436.99411,36495.20303,179338.7682,35423.39031,557250.6091,26881.48622,54912.43438,,9730.17801,34332.11967,1569.71501,29503.46873,1691034.896,43515.53944,8712.548235,13654.20176,9471.819254,559920.9175,42357.08632,276424.0869,200774.424,469200.3004,244509.5008,10912577.8,15491.38252,,2416.447121,465223.2726,52960.33429,19919.64808,450226.2558,1443698.342,67386.99396,8672841.215,427327.025,51115.82469,18677.56687,173217.7269,121409.2276,127369.379,600168.9361,48873.01988,153041.132,26115.30877,59848.92828,68848.53425,120938.5242,110235.4723,50101.46604,2297832.951,37021.1877,13653.73383,172025.4465,64244.5919,71161.38548,309464.8274,126887.6038,12352.90433,31321.20953,111756.9181,456540.057,21694.93033,14478.84415,14240.40223,63517.03729,582694.1065,122861.6935,268926.3744,48443.79551,502468.409,5430.719704,33417.43073,18413.64265,308471.7468,203503.2416,11083.28268,58299.70905,191227.8882,37350.92808,171205.0372,26313.404,73583.98986,,4616.369533,55606.25849,83208.56336,1711675.632,1671626.931,109726.3948,20364.36911,4089.332935,5597469.215,3054084.084,278404.8526,815.2143315,499436.3328,52262.89484,18603.34284,,11403.64656,6136.202249
emb_18_9,ko_exp2,neg,sample,10ppm,N wt/wt,7117426.014,2011510.821,3233848.468,186634.7009,6607221.088,6404865.636,1626214.603,4856337.925,197420146.6,193428.271,213999.998,4893576.719,1152777.39,4878273.859,3677196.03,589551.119,3659834.809,1192901.681,7151103.268,244767.6656,152202.2339,4660868.035,2161063.957,3218255.354,31500563.14,4047953.57,17384.9295,667502.1055,257669.8847,203402.4313,1156768.516,5028759.788,4532494.365,226986.0636,36433.48231,95920.62176,167480.2204,2097642.294,179137.7998,468963.8973,7049007.29,14703286.26,460250.866,3076772.637,834329.5401,664478.4284,111507.0509,2285883.622,8999030.854,7091794.26,259982.9717,30393148.58,1972919.281,82544.51524,298833.711,57516.76095,63623.65747,22929.88536,535107.0526,1464381.057,654970.2571,661504.3793,73966.83531,916544.5891,169121.3215,98181.29144,3580493.482,115998.9932,12330.76121,256263.1269,13961.17393,118633.0122,59723.51681,160989.5466,377455.3012,9295932,45245.06576,4521379.938,726004.9492,3131811.217,169655.3811,164834.5815,25899.20451,494593.6796,166396.9358,28736291.67,11743.32247,57473.05187,153671.8989,32288.24681,622841.2772,26068.84374,61842.86305,4432.864307,11211.50452,48565.9777,14649.08361,26381.81734,2602409.61,49013.47323,9114.267232,12596.07551,23293.90098,450681.4788,33621.29831,231456.5519,359708.4311,841859.7859,193523.9862,8258894.733,36475.60908,13857.98417,2501.949925,714049.0021,47918.86122,48645.94967,371288.4385,1012956.482,115833.0564,7153541.586,929007.2638,80176.28934,23040.79608,117046.1217,235735.1872,175147.4827,481302.8715,42226.90025,282435.0495,17592.72312,91326.56424,58078.07004,122662.2635,133225.9786,105675.8262,4502564.864,27478.3753,6354.307538,118894.7157,51465.55828,65617.30005,399623.665,156633.6874,14884.2204,43843.3635,57500.23475,947298.6804,6377.931854,4786.443684,8096.343933,130557.6156,295419.9733,63831.38751,288886.6791,67946.6282,362676.7122,38282.83648,125236.6166,38114.25511,914827.6131,117721.6749,55669.70338,11470.73336,126915.6343,23727.95689,149456.2031,33890.73333,63106.12199,12267.39446,16786.60572,210821.3425,411978.485,3489077.6,3881728.505,1361816.839,68398.1917,25309.45423,12128548.21,8349634.669,741083.1081,6694.893815,865445.9236,108309.9875,13153.5113,2584.98927,824.6710304,19531.58004
emb_57_7,ko_exp2,neg,sample,10ppm,N wt/wt,6057048.879,1337782.041,2696288.637,221708.2701,4281305.84,5768757.876,1160688.215,4605699.266,121267735.8,218904.3385,235660.5792,3578588.977,580423.769,3568702.694,2538239.959,339941.9551,1803626.912,2704907.474,4927046.665,300055.9553,169441.6432,2600058.913,1522859.69,1572323.679,25033409.89,3679014.357,4704.283498,451773.9483,269384.4661,201662.7224,846246.2977,2401779.524,2180902.062,182697.687,11622.52287,83563.81861,177251.6932,1810469.045,78485.66792,171928.0603,7418307.988,15414972.22,206213.8189,3203865.166,1014393.852,496071.553,94628.69011,1996121.816,3178458.881,2608821.061,339702.2499,23253652.39,977900.1446,50694.25887,457779.4921,58657.358,96218.75088,35568.66803,251362.8763,694130.7007,427059.7331,526961.456,65366.14161,752998.4974,137465.6103,101133.954,1714473.578,90403.2048,31604.21276,215505.7442,10638.00435,145812.0665,31104.00817,149576.3346,107123.9342,9778771.209,33050.46873,2814321.933,384514.2326,1452670.988,102136.8846,100902.6041,42651.53422,632404.9981,287297.7528,21618591.13,10580.17505,99672.56322,158343.8909,90736.21314,380987.2623,6103.505012,37855.73092,44195.75037,10190.02378,5645.475183,26860.89936,29879.22727,2179081.342,63408.48706,14785.33717,3740.285445,16176.4675,453860.5753,39551.63505,248744.4007,97019.04758,289906.1604,164940.4736,8198775.855,27516.1637,20226.40173,3352.232763,755763.9019,55763.22132,36470.44415,337204.7271,1142868.752,73624.79642,6289236.225,685071.5905,108109.3433,18991.98728,127935.7191,12424.43211,35384.40875,384732.3858,38720.53485,180525.4012,26891.05652,72414.57399,82670.76202,97005.05947,65255.8692,44133.13363,1619183.253,37709.17883,12640.15529,91526.59734,48447.08392,67746.12729,360410.8284,101587.8466,16199.57153,38512.87328,73317.51403,286562.7088,17364.9044,8551.255148,15215.75686,33031.7504,209128.6636,34259.89558,120578.2574,66971.59604,573443.5414,85264.12667,229680.0624,28934.87954,910424.8996,143397.9868,67678.79044,68522.41076,213583.8898,24302.49158,99346.895,20027.36145,71350.23199,121296.6372,11817.76314,593303.3365,204812.7073,3129387.344,2034637.733,221185.4584,40194.82284,18751.5043,10526330.77,4914292.309,469408.2119,395.261278,706113.0542,18189.64026,13821.047,3081.408579,7879.135141,8470.37753
emb_29_8,ko_exp2,neg,sample,10ppm,N wt/wt,7624186.984,2205412.851,3317944.693,245390.0408,7234111.551,6622934.648,1309618.77,5873421.62,225644061.1,213381.7896,126058.8,4622593.856,476415.9056,809386.6992,3529755.646,667700.0005,3121394.316,1341394.33,6469141.273,312954.166,144385.4351,3670776.657,1779771.535,2769587.797,28070222.67,4078904.691,13795.60236,808277.9089,247184.8154,198229.6109,957985.3122,3787552.433,3697437.279,199919.8371,9543.572949,111799.8192,164947.3639,1981075.509,123383.4705,488075.7153,8437331.492,16270459.96,179371.7974,2833098.474,955116.0213,638453.9932,103745.1364,2802414.959,7736995.258,6325157.369,246808.9246,29256701.13,1596715.683,88273.59285,293093.8042,68395.98402,80918.58364,43697.9622,456839.8146,1343699.664,607133.6798,746237.0055,46356.14726,742572.6018,219047.7543,133859.4365,3146900.002,114117.709,30556.70066,193133.8938,14638.52615,235570.2588,44149.58236,142471.7425,390914.1191,9813099.803,56352.23996,3562841.903,865723.077,2656953.966,133275.5402,132153.7676,41183.23125,527026.1118,235478.3626,24519893.72,13612.4877,88202.50049,167225.109,28301.57935,527575.4733,16656.82092,53266.16565,56821.81006,9038.083672,3795.229861,21367.64123,16713.79538,1854679.828,56860.89439,15770.17285,5681.095665,17616.89354,407358.6976,36029.22765,237801.2372,101666.7816,362479.2502,139485.7593,8042733.314,41610.59303,27189.65571,,354457.138,50155.46895,122239.7179,241134.811,680419.3633,58352.63891,6456543.726,893177.884,55018.6915,17028.89247,108801.0334,15269.89561,74450.50615,444068.9874,29021.65798,425283.7349,9565.706411,54051.87403,49549.55853,81727.54818,46311.41457,42762.58117,1792625.467,27423.56766,8630.04906,61544.62913,46517.86726,60591.79049,345613.8359,83153.71994,18662.77156,55511.10713,66542.97084,224985.6803,18683.79633,2274.541462,11324.3695,23614.79258,336867.6511,78883.51218,84491.89957,68812.93063,577738.1774,127114.3642,331776.8877,13142.45834,1203957.478,111469.1991,72766.01647,37264.99544,142608.5987,25129.25022,110591.4127,21371.28332,91729.7264,246637.6087,8203.817375,956525.3229,254844.166,3243351.407,2883618.762,625324.6448,61676.62937,35083.15354,11229215.87,7104090.836,708368.2694,3375.170492,829455.4,50076.09946,7053.445262,11052.38251,396.6234692,14088.24225
emb_8_8,ko_exp2,neg,sample,10ppm,N wt/wt,7073194.119,879469.4826,1656226.785,143152.8273,3514710.237,3774176.95,915350.6765,3789236.263,56789632.38,157139.0408,120739.7363,2895454.556,319839.7401,1765266.101,2286951.607,294579.6863,1432679.527,894239.8658,3956295.659,167451.1047,194010.3873,2687968.357,1328896.221,1452384.976,20164737.66,3132699.712,3924.03597,348692.5546,256141.733,161247.9009,660240.2242,2534738.527,2352267.456,190478.3205,15199.81862,68722.48854,180510.68,1282795.043,72631.34292,436484.7966,4440437.576,8577075.843,396672.6871,2572952.897,411072.8737,458800.4825,95716.45416,1267617.79,5825292.797,6439744.892,255412.3534,18223696.38,1004417.671,49714.43705,445974.5042,82564.21905,58073.55659,24047.18658,364820.259,404097.5549,310497.5184,897346.4214,18914.72342,348427.9545,149743.0648,93173.53348,1774744.474,130033.8878,23262.20438,509215.6311,27333.55873,133310.5293,28198.00937,192382.2888,402389.1556,7043012.001,37163.11974,2760872.686,132937.7288,1639751.499,150244.9099,149145.8626,34168.0927,445363.5505,163005.4737,24812968.47,13070.36998,87170.08924,133978.8042,29716.11714,269609.6605,5366.064927,7309.885976,1514.707253,15451.12208,27254.51095,16333.3507,21347.62522,4507730.259,61840.70847,25188.6945,4919.414108,26021.43489,565488.2195,38919.17112,291405.968,61741.42599,273947.566,198402.2254,15908927,21923.44782,7887.058193,2687.661188,724667.448,87608.8238,68531.80751,467194.5673,1769752.542,29245.2612,12855606.88,389737.5517,43570.3396,19087.8675,175392.6402,17067.52537,37963.942,738117.7575,43984.10583,205397.3062,12143.60689,82150.71329,97332.50547,206144.01,11286.025,43972.80213,1877952.669,50192.63813,20804.28229,188720.2961,83295.0537,91671.63766,363460.3735,80634.1757,19841.15657,38723.67457,191089.4017,350394.2246,9393.292824,14823.57192,12134.54982,36215.35851,525627.8152,109464.6548,66754.83575,56716.77655,135083.3313,51645.90873,176002.4299,22918.74422,738864.3321,173093.5215,44816.25062,1402.339457,134470.6178,37347.50558,144193.2118,19909.09523,62957.00442,62443.28183,15785.05444,325075.7591,166774.9959,3765165.212,3024325.59,222053.1512,42308.21641,33460.7047,10406160.22,6804416.206,450922.5934,5925.27103,525183.7064,54304.84428,13856.86328,1519.07714,16553.14231,14802.61809
emb_37_1,ko_exp2,neg,sample,10ppm,N ko/ko,8137131.133,1450040.808,2480596.271,172089.3738,4388120.842,4820574.099,910271.8,4590948.083,161409445.4,207220.2481,110287.53,3080071.112,999300.4197,4540683.514,3139608.863,391140.4272,1973230.606,992915.0231,4681281.628,196327.7116,136937.2304,2966927.773,1174119.764,1517466.971,23846351.8,3839794.109,10811.57974,567775.9404,233760.5706,177690.9551,659301.9734,2564706.288,2808914.532,131413.2688,76810.1809,70429.24216,160028.4911,1736532.688,159502.4049,151908.6087,6511156.784,11615133.1,124174.2904,1976644.223,832869.7373,398565.6405,100762.9913,1639760.347,5733092.878,2357533.119,284794.908,19787069.47,1354518.486,72496.65647,208729.4562,60795.39335,47569.5054,24080.23091,265940.0287,822754.0878,391767.6043,393437.4321,15524.55839,418020.1303,126532.5327,99912.50541,2183886.011,91035.96362,7297.605085,195893.2428,9324.674057,161263.1353,12647.97058,86439.38909,165134.2441,6135993.702,26433.08853,2107224.546,550196.411,1967578.356,127224.6129,124700.8734,16418.39116,528555.1287,225274.7365,13328034.27,10643.63966,55885.84595,173866.4899,28221.52018,456679.0042,23491.66822,60751.47606,25247.55763,10629.76023,5701.146784,14859.14228,27814.60005,1385794.167,56008.04751,14200.32681,4350.258472,9305.244809,505067.9378,41332.99263,261041.2488,57494.94233,162430.0257,155930.3907,11682162.24,20599.97652,517.3355718,10246.73434,187226.7309,57363.09037,31133.44505,297146.0811,911787.877,43030.62634,9461898.045,571089.9467,49868.54172,22493.47995,154980.381,217164.5435,186739.1261,398300.3234,26804.4619,239740.4211,5406.590985,53915.34584,58033.76774,126053.6738,117443.7667,25308.42863,1209554.076,36011.00076,13126.68582,59943.89006,43511.56886,36946.96197,315540.231,149395.0221,15622.90831,38810.71984,88239.72653,168862.5886,21609.63759,8078.464412,7613.914786,19827.88781,332001.3217,78242.65233,105783.6233,57016.73421,442089.6056,46035.76125,128125.3345,12055.42423,581808.8685,124160.4476,35428.95922,22523.3725,205663.5624,26607.96946,119765.2535,17266.51249,57658.87777,67644.37285,8457.002668,347935.2692,171362.2406,2818519.108,1886351.785,214756.042,32914.49509,23950.58143,7447773.819,3860393.604,345454.7664,3417.613383,647374.7722,42536.25366,16117.20045,1665.540829,1673.884287,7635.406936
emb_18_1,ko_exp2,neg,sample,10ppm,N ko/ko,5694601.17,658175.6202,1431761.06,161737.9676,2560464.669,2603115.349,508170.0267,4813946.777,56304360.88,101054.9641,60536.26141,2034708.877,422646.7973,854430.0342,1121917.208,267376.9753,1419852.941,680458.1437,1940623.131,73556.97604,105925.9345,738331.037,1193745.779,540344.7184,15631585.08,1884793.68,17159.26231,257158.7521,80375.57673,66351.93148,378029.5547,768662.5451,852999.3315,63699.5676,77720.0895,70062.25921,135783.9256,606266.4379,166968.2313,82295.21187,4654747.256,3906340.523,101002.8299,1158075.586,753916.8844,232804.5003,57636.26551,1029111.138,542050.8814,403104.2546,136153.3059,12620243.94,425237.5269,26132.77397,125964.7751,55354.02685,16815.29635,10588.63895,82746.47108,702663.6016,256933.6753,172977.2529,36157.55988,193259.4315,134641.5454,150621.1946,796998.5204,18790.4495,2470.242608,127209.8706,6277.891085,134805.1523,3442.489709,44998.34925,17415.42994,2978094.231,11334.07942,1531133.342,174246.7621,838514.6184,14274.50628,13175.84536,1489.894941,387644.6036,78305.32911,4595799.24,8787.316529,53884.8926,186619.2727,13919.21658,199036.186,10427.89357,19375.71172,6589.79947,935.0384629,2610.335039,3163.604558,39599.32954,424059.4721,41671.50155,13317.61063,8757.633424,4048.626929,518468.6303,29861.07604,236729.2076,69175.82544,134924.5923,148477.4401,13474962.63,10367.04693,,10472.48918,557264.2063,44315.79176,,295730.7042,1172744.661,83443.971,10652585.85,309432.2106,39364.16607,18219.43017,249902.3263,18541.03626,77820.65465,267273.4621,21780.81424,117015.6479,6865.790704,17427.51908,72093.5417,141036.8119,57287.95076,52440.89867,2080290.562,36994.99825,14499.73721,57298.31602,25472.67015,47842.92149,292635.0303,179533.6337,21269.86582,49148.83343,36783.26809,248392.9648,30923.24751,4905.003094,13309.28972,51840.82957,433267.123,71942.58536,108035.7326,68784.76612,810024.6063,12886.03734,48299.94991,6469.835817,283354.509,217247.4198,11472.6228,42654.81457,157869.1136,33048.03247,133231.4429,32015.37565,83093.33959,428.7184828,,76154.36164,31784.81267,1238840.999,772670.6375,124850.7481,15329.16319,2216.870443,3787852.36,1861305.621,205384.0498,310.9290179,389489.4597,9913.887965,29366.78808,552.9563123,18871.84274,4833.609895
emb_57_8,ko_exp2,neg,sample,10ppm,N ko/ko,8357212.349,760694.9188,1428966.31,116838.619,1410715.449,2283199.887,485411.6344,3300114.442,97684277.41,144581.6097,92782.87039,1195567.323,452920.2449,2155598.472,2534866.682,165767.206,781199.2835,538496.2293,2604162.494,78643.31607,99091.85114,2563325.006,465701.7244,764268.6699,14915232.89,2471524.12,1563.747296,636309.8534,104947.5396,89104.84372,393352.5247,2247437.769,2890900.404,68599.3266,10766.34048,42916.10913,152501.2147,963849.0855,201258.2701,141271.0454,2427660.245,2996682.182,79014.4589,1088788.123,889740.0065,130769.5416,81717.94031,482122.536,4539523.761,912396.389,268036.0273,8108300.825,1474514.836,70451.54013,123632.1849,46729.42966,12207.22592,22679.66145,158601.8353,303758.9477,238015.33,347772.8907,,166774.6256,72136.00726,101492.045,2009255.471,86029.32247,,124101.8178,1935.784773,64908.77556,3177.801013,39940.13415,104435.6741,1757731.599,13366.59653,1245255.942,272783.8925,1765438.299,107800.0432,106759.5258,,235149.7993,164840.9955,4132722.986,9354.985176,29584.59949,249774.422,26209.58752,397880.1599,7134.519735,61625.12087,2412.857827,891.3073282,3887.796758,1664.211634,38496.28114,1022180.567,37987.97224,7971.34991,11244.40154,7697.061457,686567.9799,45853.22161,323851.9786,16048.47294,48817.82615,206012.2272,12454216.3,4541.188124,,13648.27881,158082.6559,50183.96845,7668.560385,536174.7561,1455996.424,28328.22269,10313600.43,126576.8615,24987.06603,24912.28832,259867.1836,493550.5167,354454.2407,560768.5318,38800.26482,125640.5079,18615.80007,22772.62186,88042.21429,154429.2018,240318.0801,6244.4355,418767.7186,34158.46011,14243.35544,103889.5211,50917.0429,69927.99704,208758.13,302983.5887,11709.2651,26374.2635,91536.10701,61949.48785,20940.75095,2595.152572,23795.14801,2395.755948,495450.5744,98898.82858,46385.60098,43145.71503,743122.3921,,13991.86996,631.8829942,123327.5867,266782.295,,73113.20576,298415.408,52938.94555,191960.6485,8757.339665,80066.19324,,,71506.86221,7939.06044,245769.8312,214728.6368,7766.627699,,,1255257.642,720085.5897,39896.62757,1241.506667,246624.6401,37348.30046,35849.28211,,23364.00061,398.2594975
