Samples,VPA,FA,hVPA_FApM1,hVPA_FApM10,hVPA_FApM11,hVPA_FApM12,hVPA_FApM13,hVPA_FApM14,hVPA_FApM15,hVPA_FApM16,hVPA_FApM17,hVPA_FApM18,hVPA_FApM19,hVPA_FApM2,hVPA_FApM20,hVPA_FApM21,hVPA_FApM22,hVPA_FApM23,hVPA_FApM24,hVPA_FApM25,hVPA_FApM26,hVPA_FApM27,hVPA_FApM28,hVPA_FApM29,hVPA_FApM3,hVPA_FApM30,hVPA_FApM31,hVPA_FApM32,hVPA_FApM33,hVPA_FApM34,hVPA_FApM35,hVPA_FApM36,hVPA_FApM37,hVPA_FApM38,hVPA_FApM39,hVPA_FApM4,hVPA_FApM40,hVPA_FApM41,hVPA_FApM42,hVPA_FApM43,hVPA_FApM44,hVPA_FApM45,hVPA_FApM46,hVPA_FApM47,hVPA_FApM5,hVPA_FApM6,hVPA_FApM7,hVPA_FApM8,hVPA_FApM9
P1_C1,cntrl,base,-0.17824702982985843,-0.3971212300201898,-0.2718655593198011,0.17193867165002782,-1.6199459187992187,-0.1777746643614362,-0.19156392690775595,-0.20154976830072405,-0.8692787838230405,-0.02402490972665684,-0.8290368317504629,-0.3931898313309157,-0.3605314917474049,0.10642259423138198,-0.1980399574154501,-0.21918944473744528,-0.20353547994317212,-0.4565271361527792,-0.17184081386996283,-0.19956810259796104,1.7380495175110797,0.21248115002330714,0.09015618944776838,-0.10582332763298816,-0.267999322456581,-0.10910402438423761,-0.04994104374072165,-0.033037643409136175,-0.23743194458116598,-0.22478094997278922,-0.35639656406692166,-0.16204685576050867,-0.24216054672219578,0.020534671336270894,-0.20417947756484506,-0.15705390423933946,-0.19813905598812556,-0.16372880475118665,-0.1703108672168358,-0.1724317177078627,-0.069387927143586145,-0.11782596005891323,-0.018198738361381424,-0.12323389135310543,-0.26363487664017016,-0.1737164359081354,-0.070857603085693
P1_C2,cntrl,base,0.08798684638170884,-0.032480450823421214,3.6992633611129117e-4,-0.8479923481101466,-1.6199459187992247,-0.12944728691452034,-0.10792293158434552,-0.0428953709131057,-0.25812531960197904,0.06568711322409361,-1.4960705745752825,-0.29663307779870035,-0.16106750193541683,-0.16180509580456195,-0.04850640316294628,0.02033812273034756,-0.07356166765896842,0.029199294766501724,-0.15546726605642178,-0.058478639506301305,1.088758886594022,0.2668782021014106,0.2556448613792885,-0.025547654050820632,0.020817728650894055,0.014353914443985039,0.07957388980809446,0.19196109851649926,-0.14810332177734364,0.0952102862822731,-0.05202433033674434,-0.19814146953357095,-0.11667098979727206,3.117233725959563,0.0665882583263526,0.014694166314908344,-0.06400593302017585,-0.0663046026662017,-0.05542859203531484,0.0016846650487585407,0.06930488333574528,-0.04364574504225218,-0.06557785539530991,0.057612565010816665,-0.08924000076409322,-0.12942611096324091,-0.02345488664966739
P1_FA_VPA1,vpa,5X,0.07222360612313161,0.35018611045905035,0.08450528330224424,0.43502001730917783,2.221072837674795,0.1529233074213031,0.23079280493969145,0.12767994760545287,0.5935125556142833,0.0423563975169915,2.4201838068314108,0.48584832206555223,-0.05979096052054619,0.42916356727737426,0.23470277038669532,0.10076624271798111,0.11538955145613929,0.10892002014896161,0.17340856932605256,0.11701076732929391,-1.2581011505277213,0.3098762713975109,0.20809420525275474,0.09097516362626609,0.1606972086828483,0.07452753765040554,0.03227512638177712,0.013673494999139519,0.1869434933795212,0.17373561924393396,-0.23782560087167712,0.23265821113128723,0.1814696162443236,1.1099059668120907,0.331680106122076,-0.05036597361730048,0.03449320833625505,0.22104372746471262,0.15351221939378165,-0.0341691939963764,0.0692257382590307,0.0632895832699448,0.30875680369045844,0.05420197546019798,0.17274331563749334,0.07308447743476869,-0.03466784443267274
P1_FA1,cntrl,5X,-0.055620124177344854,0.3056795698995117,0.10394569846422316,1.0691910967776863,2.0738538502611092,-0.01620357492741044,0.03845591264424408,0.08374949629653239,0.7289440634781112,0.12443309357040623,2.597142605878322,0.37377309835763345,-0.10657662525036035,-0.06133418189884501,0.03326543209530188,-0.022712464913894184,0.047956595536610705,-0.09092328181204347,0.08989181275695239,0.004476629636371826,0.0749336147117412,0.1552082520610007,0.10894781423111548,-0.09795681734695674,0.06304048043047729,-0.024288043621217392,-0.11313819686300272,-0.0041127631595860685,0.08656262797026816,0.0806284109234959,-0.06450937276095234,0.08338362314181844,0.04408149344251436,-0.1915193044205919,-0.012777542661415196,-0.22342242012044683,-0.09317540578164271,0.07163896159772093,-0.10724983673063518,-0.09119230239572905,-0.05045998758850475,-0.1131123776681561,0.24930993258451606,-0.04992056156255922,0.019111643310141473,0.10556919875743624,-0.08453931516185237
P1_FA2,cntrl,5X,-0.2521932933336595,-0.034852909885300654,-0.17715386027375826,0.6693304581851276,1.1679889548025653,-0.22874075388441362,-0.10243464177163863,-0.11318463860361083,-1.4701293486163383,-0.05364267031913005,2.28322566910102,0.1977078479183682,-0.02528177866097,-0.18835182168634837,-0.4583697661281292,-0.17560411245857904,-0.16494781196837194,-0.2575948262588378,-0.02681377551086746,-0.1892623313613662,-1.0881375823892596,-0.4996213671612367,-0.24428711085302762,-0.2141827249039339,-0.1476849879002765,-0.2149163114706083,-0.2495463546960199,-0.3945283688376564,-0.08077651034333254,-0.07189335361937235,-0.20053934707765672,-0.11911984808565826,-0.14191330756929985,2.5212726449947787,-0.008224792184464945,-0.4312211658889182,-0.19986828159940126,-0.14088960191603278,-0.12468227330869189,-0.17702909881398354,-0.16804695033614211,-0.3481122482441693,-1.2020324194254841,-0.1627869770602545,-0.19712054693500414,-0.04688058724370599,-0.11407863930668755
P1_VPA1,vpa,base,-0.220684997797697,-0.28834067125631824,-0.0668954344124352,0.5409479463051117,-1.6199459187992247,-0.17911180326044096,-0.21431491668718072,-0.18469766252748476,0.5254626294662821,-0.07698037195782358,-0.6468691425759227,-0.06988407981535755,0.780797203307813,-0.1287966363794483,-0.1865830956668901,-0.24627907493254125,-0.20929223501066174,-0.17381647007793022,-0.08578521161473125,-0.20774730551718082,-1.3443691532923556,-0.18203198149064798,-0.4091086816337089,-0.18335221105895852,-0.27858508748585764,-0.17516397012381746,-0.407764651109326,-0.11220610638571647,-0.22781279782602082,-0.3955515749426236,-0.0451944980197204,-0.1468576100108782,-0.379396929424915,0.35214907162350734,-0.23799753403553317,-0.3701524640893907,-0.3439332961497581,-0.28660629173449487,0.019629368172192595,-0.2584332319034439,-0.19562123346766344,-0.2910831263878132,-0.4133363788896003,-0.14739473985491439,-0.1590907749657673,-0.3257185028326575,-0.13153708718210383
P2_C3,cntrl,base,0.11170373559857283,-0.16834601727743637,-0.020146742630005633,-0.0918113153121247,-0.8509352642518069,-0.07281492336066088,-0.11845112704516003,-0.09480825752361843,-0.1776770269280632,-0.11249608887215433,-2.0633137472309975,-0.34915143738505844,0.052082620090178756,-0.2101359499426431,-0.00820931649662169,-0.029325224168363764,-0.06052636742434868,-0.022465456980975587,-0.17205796497508238,-0.009162681624328456,0.8718605592778563,-0.4105885956709006,0.29485652219452024,-0.0017004715044728648,-0.101562839807101,-0.004119380600857037,0.005525586935832626,0.16458837530519357,-0.10401867828981391,-0.26917282533582665,-0.02408833287915111,-0.18021410716259836,-0.04076097688849009,-1.7223920589589938,-0.004012366223183704,0.23799692897515295,0.09930104379605956,-0.10692291533633708,-0.061952465333359887,0.028264472374749397,0.015918357764731307,-0.06898555441512735,0.04241733929069325,0.07115722148397827,-0.09555220956433375,0.04607627321427536,-0.010914682581614717
P2_FA_VPA2,vpa,5X,-0.09124464000059063,0.08970805156856054,0.09253872958738393,0.8154601857406689,1.711401679288528,0.0669720841151814,0.060408514222795244,0.08157480490284863,-0.340805259570401,0.22330622686963852,1.998386967470426,0.3176328370843024,0.18349933475118088,0.14466288771321864,-0.046096931792169095,0.0856564322778725,0.019844811813516286,0.09486533064983559,0.12158947643076994,0.04306804466827427,0.23429657743242105,-0.10205728420499832,-0.130047334799627,-0.125084214172857,0.07507452943703953,-0.05711722049890455,-0.07099460909521513,-0.24249744439969564,0.09135393210866528,0.06596862868373674,-0.10174466412171798,0.10870751704465839,0.053789193505445226,0.14706145504689644,0.18487029527128748,-0.004226790136935207,-0.040178889705632076,0.05187393431833547,-0.015029285360372659,-0.028787608896724257,-0.10176664587728854,-0.06671762706290232,0.7557935329383265,-0.07679822323091381,0.08312057247985627,0.039048791913046374,0.01740008472385595
P2_FA3,cntrl,5X,0.0989137258685544,0.2800083473907439,0.1281019410751639,0.7628782782414429,1.5954757495582577,0.16703685233856824,0.21593201129205974,0.2263417085526691,0.37902586123569404,0.19365606227094279,2.062885327312206,0.3377057630195374,0.28993847665921285,-0.025401611666433642,0.10387142353044612,0.1670370386578101,0.1887427700406542,0.1006233039486185,0.22358209668026177,0.18969724286042575,-0.20881835677562366,0.10143538270728952,0.1949474766307468,0.16947266548982884,0.16967341970369232,0.11583638427458509,0.19964543947018568,0.3556261461379615,0.2452550527576719,-0.02668366274996284,0.11340856160755278,0.25539527996350114,0.29055280104209713,-1.3575800957589004,0.3499404763316276,0.2537282343563068,0.04598875354713064,0.18721481711356908,0.09999760710035163,0.08829311810388264,0.02436403565479365,0.34862640618418206,-0.37828923114957336,0.08693876055758229,0.2043062735950405,-0.0882479675727837,0.07649070996927348
P2_FA4,cntrl,5X,-0.04653031622747483,0.196710818839669,0.015256057960869228,0.4582581739124443,1.5620902395375165,-0.007309288135737627,0.04655354370663866,0.05680384656958858,0.23791022775753956,-0.049535059809517994,2.4110764473980653,0.3611200006290027,0.7039271848119579,0.29758322492620504,0.09314880906229742,-0.039605766369810017,0.08667164107340443,0.010492915474007533,0.11449583722111471,0.06478979034042706,-1.1400720390749393,0.09210158443174093,0.18424909060987854,0.010031970337152054,0.07174353874683405,0.017453669654203585,-0.0017266846798904348,-0.13781090912147118,0.15483552573519221,0.19506206805249424,-0.08475740229151571,0.20109012578351923,0.16539598680440606,0.30163007959430516,0.1397438327626501,0.07053980735584216,0.103351928645149,0.11058187185402019,0.24133043176182165,-0.008789609351058422,0.043697566071620154,0.15367777756089515,0.0462803959354754,-0.007789960723482724,0.05405891858790723,0.21044347405333136,4.838845674647804e-4
