Well,Group,Measurement,Time,OCR,ECAR,PER
G01,1. GLN Dependency -vpa,1,1.411811887,85.35923678,14.54193364,0
G02,1. GLN Dependency -vpa,1,1.411811887,151.3644253,21.9043156,0
G03,2. GLN Capacity-vpa,1,1.411811887,195.26194,23.65950657,0
G04,2. GLN Capacity-vpa,1,1.411811887,154.9980006,19.2986718,0
G05,3. FA Dependency-vpa,1,1.411811887,116.0583682,16.1440351,0
G06,3. FA Dependency-vpa,1,1.411811887,246.5172532,29.35498684,0
G07,4. FA Capacity-vpa,1,1.411811887,247.0504597,29.08956186,0
G08,4. FA Capacity-vpa,1,1.411811887,99.18975261,21.28980236,0
G09,5. GLC Dependency-vpa,1,1.411811887,228.5979343,27.08065721,0
G10,5. GLC Dependency-vpa,1,1.411811887,250.0726711,33.32307854,0
G11,6. GLC Capacity-vpa,1,1.411811887,227.5529371,20.35340522,0
G12,6. GLC Capacity-vpa,1,1.411811887,124.7322042,23.6441651,0
H01,Background,1,1.411811887,0,0,0
H02,1. GLN Dependency -vpa,1,1.411811887,147.3928696,20.56011943,0
H03,2. GLN Capacity-vpa,1,1.411811887,117.8589865,32.11572205,0
H04,2. GLN Capacity-vpa,1,1.411811887,25.28287773,22.88881243,0
H05,3. FA Dependency-vpa,1,1.411811887,196.5944404,28.53078113,0
H06,3. FA Dependency-vpa,1,1.411811887,208.2093783,30.19356426,0
H07,4. FA Capacity-vpa,1,1.411811887,184.7329561,33.26866803,0
H08,4. FA Capacity-vpa,1,1.411811887,156.2437914,26.02381724,0
H09,5. GLC Dependency-vpa,1,1.411811887,189.9473475,35.66178178,0
H10,5. GLC Dependency-vpa,1,1.411811887,318.2172102,45.43892853,0
H11,6. GLC Capacity-vpa,1,1.411811887,209.1754458,39.84522776,0
H12,Background,1,1.411811887,0,0,0
A01,Background,2,7.96239773,0,0,0
A02,1. GLN Dependency -ctl,2,7.96239773,149.2236831,28.97775246,0
A03,2. GLN Capacity-ctl,2,7.96239773,114.4062529,21.92611511,0
A04,2. GLN Capacity-ctl,2,7.96239773,99.2793228,22.58126224,0
A05,3. FA Dependency-ctl,2,7.96239773,128.4061227,24.85013787,0
A06,3. FA Dependency-ctl,2,7.96239773,103.8481922,20.27368899,0
A07,4. FA Capacity-ctl,2,7.96239773,117.2431406,24.97670381,0
A08,4. FA Capacity-ctl,2,7.96239773,126.6378236,25.4150972,0
A09,5. GLC Dependency-ctl,2,7.96239773,114.1272036,25.47319109,0
A10,5. GLC Dependency-ctl,2,7.96239773,120.9307289,28.72379938,0
A11,6. GLC Capacity-ctl,2,7.96239773,156.6288058,33.93161665,0
A12,Background,2,7.96239773,0,0,0
B01,1. GLN Dependency -ctl,2,7.96239773,164.7604442,35.67866688,0
B02,1. GLN Dependency -ctl,2,7.96239773,112.0536384,21.78972987,0
B03,2. GLN Capacity-ctl,2,7.96239773,140.3444202,28.71606097,0
B04,2. GLN Capacity-ctl,2,7.96239773,101.8387978,20.78682096,0
B05,3. FA Dependency-ctl,2,7.96239773,110.2579352,18.35473549,0
B06,3. FA Dependency-ctl,2,7.96239773,114.258628,16.93029123,0
B07,4. FA Capacity-ctl,2,7.96239773,120.8357056,24.02805783,0
B08,4. FA Capacity-ctl,2,7.96239773,207.4800258,34.76814186,0
B09,5. GLC Dependency-ctl,2,7.96239773,86.533789,19.03426955,0
B10,5. GLC Dependency-ctl,2,7.96239773,121.5360108,23.33053427,0
B11,6. GLC Capacity-ctl,2,7.96239773,131.5137506,21.25738541,0
