Samples,Treatment,VPApM1,VPApM11,VPApM12,VPApM13,VPApM15,VPApM17,VPApM18,VPApM20,VPApM21,VPApM22,VPApM23,VPApM24,VPApM27,VPApM29,VPApM3,VPApM30,VPApM31,VPApM32,VPApM33,VPApM36,VPApM37,VPApM39,VPApM4,VPApM41,VPApM43,VPApM45,VPApM46,VPApM48,VPApM49,VPApM52,VPApM53,VPApM54,VPApM55,VPApM56,VPApM7,VPApM9
T1_P1_C1,cntrl,-0.10270522545512445,-0.12067093975282779,0.1040604734142222,-0.03957667826882791,-0.06103014657124894,0.04867293455971951,0.03303514876542393,-0.08859849569096895,-0.14565675451952959,-0.0474718490462749,-0.12082585877676774,-0.03227173326803316,-0.0754316780416262,-0.08661190515294459,-0.09882751616717006,0.024375462980230134,-0.16679680485980272,-0.004254986874348304,-0.2967318007772143,-0.22396065378700458,7.206864775556737e-4,-0.37513393959073316,-0.08598464136746806,-0.13106541596569185,-0.10283599824162723,-0.02604874726162118,-0.40142868660317566,-0.22532180517823802,-0.0986085514700675,-0.032777758338903465,-0.9242188650838653,-0.09676566042112908,0.10805899176067703,0.15726432306354915,0.0355561946704658,-0.06645005684057204
T1_P1_C2,cntrl,-0.25608367389085845,-0.361322894363432,-0.12868025982169276,-0.3739916794952449,-0.31877584110310425,-0.28318014925658197,-0.3504855129565567,-0.3738072107577171,-0.3578299939043785,-0.3652859422247683,-0.41949617176091136,-0.29804282985367814,-0.4213105279475891,-0.2054193445281427,-0.28048294028535775,-0.21240841163695598,-0.3030926978016769,-0.37531342440934673,-1.0145000510598672,-0.6108378209873984,-0.38212106219215436,-1.1574487597433571,-0.28356082000046634,-0.3111195814137517,-0.4725047038644429,-0.6500843284853149,-0.22448627486118133,-0.6205573073478364,-0.27192913383061945,-0.22992344112625876,-2.258823120578884,-0.40334962289118237,-0.5725359348336637,-0.6866895262948544,-0.21389851548394206,-0.2920049423735411
T1_P1_C3,cntrl,-0.7714972739910805,-0.901286044247977,-0.49247698864398864,-1.1477431692308473,-0.9420077044496034,-0.9473705193495652,-0.9569705565239783,-0.46768038902210235,-1.0004124690725549,-1.0743054516874309,-0.9558865107894832,-0.9603958450674717,-1.3051488730215084,-0.4323951468387444,-0.34882331703699826,-1.1184622337801526,-0.6010358392263072,-0.8139062029668453,-1.1223271905427583,-0.85420074881737,-0.9958730659071062,-2.1701523644427723,-0.5996961119056242,-0.7908677836356621,-1.0371974013310066,-0.9309571684797996,-0.6875067719596737,-1.219868337764543,-0.613186296690551,-1.8800758336888816,-2.3477804338003345,-1.038420182366549,-1.1039782707196284,-1.2656327704803811,-0.6873691869580807,-0.53367500107991
T1_P1_V1,vpa,-0.047138646730875394,-0.01916442753335107,0.09362701270338322,-0.10541921258456476,-0.03435468967962079,0.0292868581321791,-0.01825092454257916,0.09413249608862403,-0.1991474608630117,-0.010284041443614483,-0.19530570433838118,-0.08375557839472086,0.06131517250354291,-0.018511568488271422,-0.13374417223963445,0.035836251516643144,-0.16981059412687133,-0.0935626412910006,-0.045235563192600026,0.18025203175493976,-0.04168769121097928,-0.06935531868327573,-0.14238244022431493,-0.08565257886178777,-0.07535731499737887,-0.6699737578670436,-0.1643650933550555,-0.5527310414695981,-0.03894055342007039,0.09395265456726304,-0.49539503120768863,0.10408894596658043,0.24945803843387024,-0.054600972882418754,-0.08335752105606556,-0.10056890907211911
T1_P1_V2,vpa,0.3938349717511044,0.5577833514815939,0.35926295673279923,0.613147375128963,0.4419358693858751,0.43578589709092164,0.5038144704659053,0.6003660537399159,0.45461636950756196,0.5910209038280808,0.5016612406501121,0.4685926700195061,0.754143391560303,0.31280893373575425,0.22710443168270533,0.46313546359226543,0.3942935237203629,0.47013249954874026,0.8493404671658203,0.4893271466803505,0.5436797974431237,1.2481267985506652,0.3880114619709925,0.43024145245444895,0.5523068761738936,0.612375907019163,0.5816807426175732,0.554744457513588,0.5385420597453181,0.5805006327029307,1.9682187032145473,0.3600829722652883,0.6100676902415413,0.5136969776191548,0.368993781957463,0.4631108784696361
T1_P1_V3,vpa,0.46858945889128656,0.5975423841054672,0.31539249558827526,0.7949454734473104,0.5322527893811668,0.6747649769412563,0.5988273664010529,0.5786856032723356,0.6905583191297257,0.733377512749465,0.6873143028745768,0.5877742247279105,0.8882722291010346,0.44804882146633684,0.3546945007580247,0.5861742830045659,0.4996418883560354,0.5740579566982446,0.7610164019117641,0.47399871413724826,0.6468836645561744,1.0947369019489654,0.5493834913998746,0.5756947159581153,0.6597845140063276,2.447117513994214,0.6839410428951082,0.8180031924344381,0.49898876246652124,0.8714871245337036,2.009098076669031,0.6141244216448014,0.9529583445764126,0.7079092878584056,0.5657000073837873,0.4423603920994711
T1_P2_C1,cntrl,0.5807007204063728,0.6684521554183488,0.586138328231995,0.484351859761428,0.5415090720692424,0.6422473840391527,0.6369894532432524,0.3982235519696295,0.5865879065645196,0.6117154125341636,0.4491399412730347,0.6342219392001173,0.8407268650938163,0.4303631609897514,0.3217524585229232,0.823798775561255,0.5036743647956748,0.6658408551471796,0.8325455291187747,0.648616517103066,0.6985723208668865,1.5827931303652434,0.4732640818299732,0.6806466143105694,0.7950236394618032,0.08032824405514219,0.838398185995205,1.0493644063910939,0.6737914905578193,0.8152158627053968,1.873986141934667,0.7383480611912603,0.8411607479001393,0.745373255045182,0.5709711879615174,0.5762466451686812
T1_P2_C2,cntrl,-0.29949629834372193,-0.3827566031626865,-0.14469397142244797,-0.43338885013629463,-0.3274068146174663,-0.35961979703104735,-0.3774639511310174,-0.3424979113362054,-0.35598691304862995,-0.6177926781323387,-0.3797702601645925,-0.35750446205409064,-0.7720461905998589,-0.1931462745288446,-0.4149680852096955,-0.42010242784477214,-0.3290704837380267,-0.35273251480580753,-0.6943363475576222,-0.14828116684486647,-0.38727790070935614,-0.7566779842845521,-0.2791687898492803,-0.32148173672445035,-0.3935406146823532,-1.0870684340902101,-0.43454154508958404,-0.559137773568038,-0.3116401214625771,-0.5200686330182555,-1.3154219510851823,-0.3053436307780841,-0.11643277925436499,-0.24512798238026695,-0.3017963697323276,-0.46377719765001035
T1_P2_C3,cntrl,0.48198266918915833,0.5915383098803783,0.2379839872296574,0.4907009202861974,0.3827014142576673,0.5181173227204947,0.5334639441449933,0.20889030151307195,0.6448404922324814,0.6964662997467674,0.6288904958984439,0.5281682896404579,0.8475794937921255,0.2419933335185907,0.2714618973460139,0.7920740068646761,0.4908163356775487,0.5213413306412816,2.1461693479226884,0.42071285724574964,0.5938418068009055,1.5261151986504229,0.3677385509730975,0.46965083063154045,0.6066105776162998,0.1212259584137747,0.8461621650837957,0.927771803395609,0.5299872735756969,0.5841217034032187,1.8631461530137972,0.39706109221871516,0.6339624175001841,0.5083554168773549,0.4116279396902154,0.42108105830196485
T1_P2_V1,vpa,0.14760903565383365,0.20916585304038032,0.15715440255562396,0.0965798635504946,0.25774125848719315,0.2309031902644448,0.15860203321969998,0.17625622481606412,0.04190038042773404,0.18276439789517115,0.051356154490442646,0.1408292696390823,0.011127324517156185,-0.10073573550350207,-0.029508450935459545,0.061225823877279664,0.02456322471631962,0.09993236405211932,0.32850727653229767,0.09862304238265562,0.16847249490374158,0.19738020071156112,0.0843464792676718,0.237326046431339,0.18457165339466303,0.257831055481679,-0.034343393579713555,0.2571037739601111,0.0887344496035665,0.31403197694867485,-0.10808963208705472,0.22944806186511507,0.24949752471742628,0.3355429171606845,0.11433692382946688,0.1401732003914228
