compound_short,compound_full,formula,mass,rt,cas_id,pmix1,pmix2,pmix3,pP1_C1,pP1_FA1,pP1_FA2,pP1_V1,pP1_VPA_FA1,pP1_VPA_FA2,pP2_C2,pP2_FA3,pP2_FA4,pP2_VPA_FA3,pP2_VPA2,pP2_VPA3,pP3_C3,pP3_C4,pP3_FA5,pP3_VPA_FA4,pP3_VPA4,pP3_VPA5,pP4_C5,pP4_C6,pP4_FA6,pP4_VPA_FA5,pP4_VPA_FA6,psolv1,psolv4
hVPA_FApC91,Thiamine Monophosphate,C12 H17 N4 O4 P S,344.0706,9.63,532-40-1,3289.160395,2863.818729,3033.007475,2141.834297,4490.564538,1248.936687,3423.353046,6893.608051,5699.534638,3845.236103,5427.387647,4102.104123,1506.7736,3638.733651,1135.315603,6545.143158,3365.774788,4029.532979,2945.585839,1853.827344,3078.050474,2575.224605,2275.034908,1816.124577,4365.434556,3016.079926,,237.2742655
hVPA_FApC92,AMP,C10 H14 N5 O7 P,347.0633,7.6,61-19-8,145248.5289,146264.7389,166099.688,323570.5439,453997.7812,216619.0352,216950.1388,333288.2859,240967.2235,212068.4382,279979.6691,237623.1825,344714.7019,381808.6908,178448.4765,477213.6093,205638.46,262778.7068,256006.6045,9793.617493,196689.4918,386742.1817,261614.3395,335568.8071,342200.5749,255721.8694,514.5585884,5082.898995
hVPA_FApC93,dGMP,C10 H14 N5 O7 P,347.0633,8.13,902-04-5,65678.43674,71024.17964,68081.49804,80198.28433,131908.8477,92570.15422,76339.26156,124858.0218,83747.96063,59122.10722,75469.5737,92744.5195,82421.18087,115989.0665,61737.44239,106668.5683,76981.90892,80454.11101,86526.90777,20100.29157,97642.40694,89352.57837,124126.5085,115817.5302,101516.328,78480.11918,257.9308776,479.2787303
hVPA_FApC94,GMP,C10 H14 N5 O8 P,363.0579,8.19,85-32-5,9123.593344,8108.687005,8000.671388,11614.78051,18635.27532,12946.43886,7053.475197,16630.75828,13755.62093,9161.364994,10204.78644,11955.11846,8511.864574,14285.81617,10219.46796,17924.26286,7724.447167,8455.926771,11928.83198,1647.638269,16415.72879,11530.8097,13110.1505,14724.6866,12565.6053,7378.993013,,
hVPA_FApC95,Riboflavin,C17 H20 N4 O6,376.1385,2.14,83-88-5,5817.576033,6806.968774,7861.682267,5713.902697,8976.608303,,7034.026383,8764.014118,6485.358366,6310.236751,8388.067843,7980.285924,8616.643876,6826.312663,,9446.790058,7713.784404,9326.985666,6157.390066,6936.840473,102.5956273,6458.320877,7196.456641,6892.52886,9600.409274,7178.215038,,
hVPA_FApC96,Lithocholic Acid,C24 H40 O3,376.297,0.67,434-13-9,5623.713692,8839.304212,8059.842879,19782.32183,13999.72181,8911.038887,9625.015309,11796.83514,21984.93983,6356.84854,9643.059543,7447.682261,7713.748001,10027.98287,7938.184941,11059.31192,9567.394825,6624.721451,9150.037247,7512.731376,8457.97882,8880.725417,12378.83133,24314.27561,5848.926227,7299.612632,1029.151948,1445.737121
hVPA_FApC97,S-Adenosylhomocysteine (SAH),C14 H20 N6 O5 S,384.1207,6.95,979-92-0,13139.11731,14020.49381,11258.56512,16023.47605,11953.73283,13860.70006,13296.62874,16211.93863,14270.22384,12367.47838,13982.42442,13767.22414,13328.99849,12030.01278,14499.08568,13872.00809,14410.06962,14297.83116,13339.82631,13768.03659,11392.92061,15233.58431,15515.77939,13553.2519,13682.83948,12417.98331,374.090713,2827.701371
hVPA_FApC98,dCDP,C9 H15 N3 O10 P2,387.0223,8.33,800-73-7,554.1348499,241.0684166,388.732415,746.2171071,843.794664,339.5044246,335.5499567,887.0765306,1048.874225,379.3679281,936.4586105,1110.264664,375.5587262,824.3496677,411.8179152,747.4573181,768.8318551,604.6426859,516.6181883,538.8332866,828.0742659,438.1090776,792.2858841,921.9493604,922.3822144,,,
hVPA_FApC99,S-Adenosylmethionine (SAM),C15 H22 N6 O5 S,398.1374,9.39,29908-03-0,610675.7659,675899.8672,642740.0617,659777.3597,673108.4007,733950.7438,603471.2804,830658.5495,748473.5814,604716.7006,622971.2428,639031.5262,612253.6875,642137.8116,649636.1459,655313.0516,627300.3202,630175.428,706008.5312,965298.0307,797104.6947,654907.1094,759262.2724,697971.2374,677257.6901,601455.9629,5472.845072,49358.44315
hVPA_FApC100,CDP,C9 H15 N3 O11 P2,403.0173,8.54,63-38-7,20192.74401,23234.41488,24265.75586,36379.07697,43161.29006,38150.2816,31551.60997,50734.99368,47101.5554,38681.78174,39045.91513,41309.65379,38696.10756,40121.93697,36462.51528,43077.80568,29915.42329,28489.95359,39959.49316,3702.250901,48751.25685,27714.17472,37302.02803,37780.28665,34523.53835,34463.52553,,104.833529
hVPA_FApC101,dADP,C10 H15 N5 O9 P2,411.0344,8.02,02793-06-8,1602.62357,1271.351899,1739.957409,2885.66611,5834.750776,2311.756739,2900.016037,6004.982678,5363.111641,2473.759665,3039.613339,2515.657549,3262.068558,3851.996599,2619.382627,5036.696599,3204.432206,2850.475384,3244.940946,,5168.978942,2358.554095,4584.923126,3564.979686,4619.12776,3117.07717,,
hVPA_FApC102,ADP,C10 H15 N5 O10 P2,427.0297,8.12,58-64-0,426517.8945,454622.0589,466394.7277,608350.6659,903455.2473,730045.8149,566886.8704,941459.8593,794736.5535,652564.0701,651012.6149,640474.5486,642463.7767,749931.9244,618668.6663,789022.2835,597247.7337,600641.4518,689789.5734,86853.35351,751122.4957,567909.2178,751526.5707,686637.9868,672239.4848,602380.2896,649.9896643,7437.339891
hVPA_FApC103,GDP,C10 H15 N5 O11 P2,443.0244,8.73,146-91-8,30633.27172,34546.18016,35819.31617,46463.87415,68182.9588,54302.54711,40358.6822,63336.75574,59470.55908,50979.95647,48172.25073,45319.48445,42565.15152,55967.12958,46387.36908,60053.13649,45627.05557,43978.57644,52980.29901,5136.042965,55895.71387,39301.03745,50424.35353,54708.89992,51685.55948,49504.75598,,128.3877638
hVPA_FApC104,Adenylosuccinic Acid,C14 H18 N5 O11 P,463.0738,8.69,19046-78-7,5684.040205,5542.03157,7182.116472,15279.84755,13958.34493,27037.23277,4030.723916,4495.098211,7861.223864,6337.532817,8958.453266,7926.105046,24012.67938,10721.7092,20261.02255,7380.368471,5600.895818,7196.068082,9246.386438,7657.72397,3676.221465,15059.79213,20276.18577,28849.95556,8168.216299,18340.91956,,
hVPA_FApC105,UTP,C9 H15 N2 O15 P3,483.9687,8.85,63-39-8,221130.8951,261370.0031,225957.6016,194866.6376,297871.4709,210663.8654,235873.5345,276643.769,258454.5666,252311.1625,266428.7457,253992.3984,286207.9887,262583.8795,228581.324,231915.358,234910.0479,257064.6043,201129.2245,246238.6675,239196.8124,219178.0413,189359.3946,223335.1319,240484.9089,256810.4707,106.904055,1929.381745
hVPA_FApC106,CDP-Choline,C14 H26 N4 O11 P2,488.1074,8,987-78-0,11255.88424,11731.31042,13901.17841,8756.086562,10415.75194,9840.819057,15140.79751,17051.79319,18362.75299,16033.03362,16838.73368,16884.90718,11047.4609,10208.04851,9266.31692,19886.31826,15246.48469,15675.96389,8054.733299,10011.18618,12217.66863,10120.74346,8556.535404,8844.736656,17111.00418,17577.21472,,
hVPA_FApC107,dATP,C10 H16 N5 O12 P3,491.0007,8.53,1927-31-7,9422.772458,9957.09369,10054.48186,8246.926827,12574.13033,10615.2891,11621.50541,12730.50604,12583.77985,10611.57838,11595.20841,10638.13408,13212.61212,10835.03764,9486.47438,11216.96914,12094.32427,11210.47848,9574.522367,11455.85264,9880.35261,10705.89597,8333.381923,9030.155421,11741.57828,11531.89858,,
hVPA_FApC108,ATP,C10 H16 N5 O13 P3,506.9962,8.63,56-65-5,1778003.306,2038244.619,1991312.594,1806763.152,2462094.92,2029077.891,1990906.744,2401539.43,2182184.942,2104995.002,2162096.722,1958718.26,2374702.206,2135320.241,2038637.28,2034119.407,2125805.451,2283684.049,1911155.123,2254884.58,1888597.635,2097838.324,1825864.344,2048099.763,2085298.716,2257986.533,8462.180708,46498.48076
hVPA_FApC109,GTP,C10 H16 N5 O14 P3,522.9908,9.28,86-01-1,218447.1097,248980.7015,239355.016,201357.0113,299692.1183,241928.2523,217959.3559,284908.8579,252822.8631,257760.0622,272402.604,218176.4642,247077.6846,261535.0525,241835.9375,248248.9262,259609.8414,280558.6639,225824.0712,264174.9735,201054.0462,243496.8891,190069.7317,241449.3368,251573.2694,285311.7893,,1740.298473
hVPA_FApC110,beta-Carotene,C40 H56,536.4388,0.69,7235-40-7,3722.627942,5731.259552,7114.851485,6601.81145,11982.55336,7846.70377,7279.387178,6309.662235,7279.285768,2760.631342,5986.13593,7497.951037,5970.792517,5471.772803,7984.602414,8514.857482,8226.98294,3503.01009,7309.496186,5398.663884,6992.130187,4505.378908,6271.214063,5313.340127,3675.832099,9169.67476,252.9534249,607.5646001
hVPA_FApC111,Cyclic adenosine diphosphate ribose (cADP-ribose),C15 H21 N5 O13 P2,541.0612,7.81,119340-53-3,25365.06889,28412.63734,30992.71812,34443.33171,40209.7127,37907.35709,35439.55058,41947.11045,39240.02669,35831.79598,37753.9963,36047.88819,46475.79624,35056.06602,36883.42602,40492.22068,35310.04128,38219.60178,36203.05966,26813.95323,37037.76337,38673.5928,36518.99323,34744.43438,35364.37839,39178.49116,,
hVPA_FApC112,ADP-Ribose,C15 H23 N5 O14 P2,559.0715,7.28,20762-30-5,,,,1280.166613,2226.398563,235.8381609,728.8684611,421.0096027,255.0832169,430.5275545,818.4946359,284.0326611,1110.191822,1183.993373,527.1231414,2136.344049,112.3045596,341.1165578,1300.09017,,104.5438544,770.5957883,354.276236,1035.657899,1006.530149,717.248471,,
hVPA_FApC113,ADP-Glucose,C16 H25 N5 O15 P2,589.0833,7.92,102129-65-7,342.4004048,401.5583821,749.06554,581.9541069,1016.016109,977.5692527,1121.206335,1451.808871,1050.740622,1286.388333,940.108267,1207.781172,975.4654706,798.7914536,484.5725758,764.8531134,1080.850327,942.1783884,369.7533607,230.8640946,121.7493089,748.3401329,629.9215172,398.2143095,896.8427373,924.6509138,,
hVPA_FApC114,GDP-Glucose,C16 H25 N5 O16 P2,605.0775,8.27,5750-57-2,2141.096291,1310.704638,1935.460129,1423.136926,3509.247598,1356.38936,1565.148232,2714.053039,1720.322001,1864.375352,2355.415118,2132.4875,2279.327458,2141.759116,1266.747936,2863.439688,1969.71761,2395.468076,1792.951257,1858.178901,1892.202396,2559.389154,2029.334413,2549.567625,2467.264774,2225.491659,,100.8545215
hVPA_FApC115,UDP-N-Acetylglucosamine,C17 H27 N3 O17 P2,607.0821,7.41,528-04-1,35707.29034,34716.78374,41830.47231,56910.31532,66226.35719,49095.99513,58326.4653,64597.07169,58651.51914,63752.3911,62730.38224,53054.98097,71348.24068,55279.17603,55780.56656,82634.42378,54182.64291,57451.20784,51291.78529,14529.37123,48663.5725,57655.85489,42124.89962,45423.6461,62442.62177,64985.78216,,
hVPA_FApC116,UDP-N-Acetylgalactosamine,C17 H27 N3 O17 P2,607.0843,7.8,7277-98-7,1393.264481,862.3768112,1501.675189,1660.983364,896.6463365,913.7771797,874.6601428,1608.478812,1777.853015,1508.251278,2440.947892,1693.184314,1664.134659,1525.668238,1454.915214,1808.32358,1581.947731,1639.640699,1195.144232,,1455.387846,1704.184809,1019.1712,673.2040212,2210.754782,2126.954385,,
hVPA_FApC117,GSSG,C20 H32 N6 O12 S2,612.1523,8.94,27025-41-8,623530.2411,650795.8248,856430.9406,600260.9642,725198.8802,726828.0151,823001.9043,947207.5582,863187.6781,825751.6915,746673.5583,858963.8448,795078.2031,694893.8627,687324.8909,815897.442,856518.7007,784552.0764,728496.4955,679185.7918,742752.841,667862.0774,744386.565,760034.9646,766162.4396,892343.9455,,1958.078606
hVPA_FApC118,NAD,C21 H27 N7 O14 P2,663.1095,7.8,53-84-9,546923.1917,568945.8226,691829.8135,748507.1305,962567.2474,832251.0825,791693.3247,912341.3489,820209.0861,814849.8982,773725.8065,731691.0237,1038100.298,783224.8609,848368.6479,951774.5916,774528.9273,811475.3517,839906.2333,509318.5916,790214.0876,863025.1522,718614.8811,758874.2085,778274.268,878634.867,104.4755162,4554.434225
hVPA_FApC119,Phosphatidylethanolamine(32:0),C37 H74 N O8 P,691.517,0.9,5681-36-7,130223.3858,149389.0245,176349.8276,220148.0411,167877.1293,181882.7981,190580.8209,183780.3309,208013.2464,168077.8176,195645.7897,204951.5359,217920.3421,221380.7055,184972.1792,157042.8463,179144.7211,167808.5302,210789.5015,187192.6567,219308.1591,185538.7524,178674.6638,163301.262,171138.9461,155300.5603,,
hVPA_FApC120,Sphingomyelin,C41 H83 N2 O6 P,730.5977,0.94,85187-10-6,52062.86487,50801.31256,51148.24804,85995.74629,68269.47884,70122.20136,98210.98013,54883.41532,89171.28515,137812.6356,184080.2462,142651.8918,126301.8283,118167.292,131076.6139,74415.02778,166758.6192,147147.8517,114842.361,103817.916,85171.54497,118919.1287,166230.4246,124854.3465,173821.2541,169891.0515,,
hVPA_FApC121,NADP,C21 H28 N7 O17 P3,743.0754,8.83,53-59-8,28886.22018,32195.47809,35984.90059,36741.25576,41680.58513,48175.36469,40060.7247,42388.74012,43752.54819,39799.38837,35812.4012,37298.7354,46331.22652,33680.64813,45148.73238,32170.35005,42377.77313,39684.25155,42114.25629,32135.10446,40313.26536,36500.73055,37454.48061,42930.66305,31854.66808,41619.45028,,100.0638095
hVPA_FApC122,Coenzyme A (CoA),C21 H36 N7 O16 P3 S,767.1148,7.51,85-61-0,1803.057708,2147.863985,2719.392269,2642.100797,4995.4441,3310.737481,3505.083872,5236.515619,4858.946126,4760.830973,4072.850268,3318.04908,6102.616864,2865.666988,4705.102852,5078.338397,5104.783303,4352.599039,3695.878911,879.3111028,3410.684877,4168.88977,2470.994251,3138.718159,3906.237608,4881.078005,,
hVPA_FApC123,Flavin adenine dinucleotide (FAD),C27 H33 N9 O15 P2,785.1569,6.85,146-14-5,3540.735681,4531.468335,5326.153987,3542.376999,3890.227187,4989.707815,4515.136057,6519.142761,6501.103947,5756.540407,4687.970221,4650.427445,4507.750163,4194.13609,5039.169025,5104.081099,5075.005194,4474.537783,4546.488791,3862.477338,5069.774962,4747.640089,4787.474259,3760.279139,5073.278233,5985.529198,,
hVPA_FApC124,Acetyl-CoA,C23 H38 N7 O17 P3 S,809.1253,7.32,72-89-9,2375.353876,1964.360532,5109.115819,8385.146891,8077.18739,6916.201758,8053.312778,7002.217151,8173.660273,9013.445897,6798.981202,7018.984071,9646.422164,7036.100727,8659.950326,11668.99426,8764.045987,6681.270743,8337.596823,227.9098922,5411.183786,6557.458217,4156.293986,5444.126363,7713.882092,10001.06758,,
hVPA_FApC125,Succinyl-CoA,C25 H40 N7 O19 P3 S,867.1301,8.09,604-98-8,215.3349376,115.0362169,275.6371057,389.0973083,723.7054267,112.9202401,1331.525572,1363.004491,1115.09054,668.1716048,1795.34706,768.933734,632.7435061,711.6372962,642.3172049,593.1812912,607.3412226,1409.020191,120.5342994,133.4364445,548.3411356,360.7727747,,631.8735308,519.5939161,1453.222525,,
