compound_short,compound_full,formula,mass,rt,cas_id,pmix1,pmix2,pmix3,pP1_C1,pP1_FA1,pP1_FA2,pP1_V1,pP1_VPA_FA1,pP1_VPA_FA2,pP2_C2,pP2_FA3,pP2_FA4,pP2_VPA_FA3,pP2_VPA2,pP2_VPA3,pP3_C3,pP3_C4,pP3_FA5,pP3_VPA_FA4,pP3_VPA4,pP3_VPA5,pP4_C5,pP4_C6,pP4_FA6,pP4_VPA_FA5,pP4_VPA_FA6,psolv1,psolv4
hVPA_FApC50,Pyridoxine,C8 H11 N O3,169.0739,1.32,65-23-6,374031.427,412164.4375,429469.216,375764.0704,580426.8239,300826.3081,307235.1764,456074.2566,356005.2526,351401.8342,452299.7729,433966.0813,585452.7512,620299.5907,332238.5514,598331.916,374612.8834,438811.7268,357185.0271,389322.8169,421481.6472,471893.0309,442208.384,366425.9685,592757.0241,313183.2688,,131.5227821
hVPA_FApC51,3-Methylhistidine,C7 H11 N3 O2,169.0851,6.82,368-16-1,168080.5711,171433.0104,167133.3058,144122.9153,168206.2444,142012.8459,164778.54,213887.3496,179176.1907,164261.8932,190801.1013,187868.0623,199692.1809,166681.6558,148455.4306,196130.8177,188818.2746,199290.4352,128993.8792,188173.2692,153182.6079,155706.4685,166976.8755,139037.0797,205962.0012,174134.7341,145.6333019,1120.635648
hVPA_FApC52,Glycerol 2-Phosphate,C3 H9 O6 P,172.0134,7.6,17181-54-3,1995.902114,2893.623837,3430.043387,4698.152598,5483.348005,2987.280968,2571.835758,4293.936727,2611.468996,2394.159936,4968.617279,3553.833309,5220.285051,4655.851825,2718.198801,8459.301507,2509.327465,3506.00328,3340.924286,2366.341841,3735.910523,4300.876436,4121.705602,2555.792481,5987.08201,2457.918614,,
hVPA_FApC53,Arginine,C6 H14 N4 O2,174.1117,10.82,74-79-3,3242284.201,3425843.643,3212569.72,3283652.977,3925443.504,3503383.331,3022015.423,3872782.688,3589183.397,2939539.078,3027712.339,3172177.658,3408199.882,3375444.014,3159651.029,3759660.434,3341088.516,3490472.04,3421793.582,3538011.387,4026944.764,3472269.633,3819440.263,3496374.268,3694650.904,3246121.55,25752.3182,57274.5921
hVPA_FApC54,Salsolinol,C10 H13 N O2,179.0939,0.79,27740-96-1,6222.397628,7869.022204,7632.970597,12648.16126,9426.104036,13954.24477,8772.271128,14109.31932,16775.00646,11128.79714,8859.670435,13855.73093,8906.418114,11682.19361,11258.95257,11904.73558,8311.387649,8024.994492,13214.96295,3097.787211,17366.04873,6411.379078,13506.80065,12230.69749,10042.67648,7823.517698,250.228813,774.7010518
hVPA_FApC55,Tyrosine,C9 H11 N O3,181.0738,4.56,60-18-4,791936.3236,842039.438,800748.941,829468.5524,1036611.179,875155.3279,822592.7431,1055597.707,945083.7338,815987.6037,876946.6446,970449.9304,1129490.375,1046010.097,861271.4116,991916.1048,857526.1524,882977.8619,803965.0102,808286.9164,955911.304,812736.3437,995690.9683,885218.2925,1027036.726,821341.9671,740.2853211,3553.072243
hVPA_FApC56,D-Galactitol,C6 H14 O6,182.0771,4.54,608-66-2,95549.73358,99153.4439,97276.58986,105431.9243,132954.9805,115737.7792,95590.13764,116477.2833,104085.1434,93774.82946,96157.4504,99665.03157,146660.7345,133146.6968,113718.2921,109697.1682,103889.2012,96008.20839,110060.2753,102884.9797,123288.4497,102318.1391,122166.1051,114904.3982,107253.6847,97996.84491,4084.695186,9507.687802
hVPA_FApC57,Phosphocholine,C5 H14 N O4 P,183.0663,9.01,107-73-3,68317087,73658381.21,73707397.26,75255647.89,86587784.29,81357726.58,75942943.35,88081579.2,81413092.26,76097399.14,78324390.06,78405813.67,88968765.23,83948213.8,80901478.45,78722495.76,76211733.62,77361394.03,77202968.44,76483796.73,83108022.95,79301497.81,81394143.39,80306038.77,80175679.93,78528981.49,359331.1906,1986490.579
hVPA_FApC58,O-Phosphoserine,C3 H8 N O6 P,185.0089,8.32,407-41-0,6221.776728,5796.982343,5923.677475,5804.600353,6816.963408,6064.117953,7987.238532,11198.84512,9695.657527,7924.257158,7057.734261,11087.9221,8554.076875,8174.911245,6796.955886,7408.611352,9300.478294,8613.662945,5054.055635,3523.474888,7620.824247,5062.72861,5961.724863,5751.144763,7122.005338,7904.574798,,
hVPA_FApC59,"NE,NE,NE-Trimethyllysine",C9 H20 N2 O2,188.1524,11.41,55528-53-5,321121.7182,352152.4684,350253.5115,345125.1777,475359.3204,402747.331,377936.64,472855.3458,433864.9246,356650.3029,372873.3337,397270.7682,464469.2844,416195.6317,385856.0547,385540.2829,353489.7553,387137.58,372436.1332,370650.1118,436339.6751,377878.3894,424007.0381,412371.9462,377584.9712,386191.3625,727.104403,6721.00621
hVPA_FApC60,5-Hydroxyindoleacetic Acid,C10 H9 N O3,191.0601,1.53,54-16-0,5026.023512,5026.552339,5197.24322,3177.592204,3936.382876,4962.445341,3384.778174,5160.901713,5234.719424,3653.313275,3491.824994,4084.888333,6265.494592,7059.417891,3919.353336,2793.205121,3733.819473,3777.830268,4550.264498,549.1218713,6393.251333,5388.130726,6553.203735,6139.69127,7289.951245,3358.209852,,
hVPA_FApC61,N-Acetylmethionine,C7 H13 N O3 S,191.0601,1.53,1115-47-5,5026.023512,5043.875976,5197.24322,3177.592204,3936.382876,5165.316513,3510.304015,5317.125162,5234.719424,3494.673826,3491.824994,4084.888333,6374.199647,7059.417891,3919.353336,2906.463772,3733.819473,3777.830268,4550.264498,549.1218713,6557.634576,5388.130726,6553.203735,5980.724186,7097.936028,3358.209852,,
