compound_short,logFC,AveExpr,t,P.Value,adj.P.Val,B,fa_div_cntrl,change_in_fa,compound_full,formula,mass,rt,cas_id
FAnM61,2.7265809313442237,10.498319826372988,19.65465655516091,1.9831034157766655e-15,9.518896395727994e-14,24.879440519162667,6.618851630112423,up,Dihydrofolic Acid,C19 H21 N7 O6,443.145,8.3,4033-27-6
FAnM60,2.1674903238540018,15.467224817796827,38.16712904718158,1.4142112391363006e-21,6.788213947854243e-20,39.47982938821947,4.492412249729588,up,Folic Acid,C19 H19 N7 O6,441.144,8.3,59-30-3
