compound_short,term,estimate,statistic,p.value,lod,adj_pval,FC,change_in_vpa,compound_full,formula,mass,rt,cas_id
hVPA_FAnM14,vpa_lowFA,0.5185354352850116,6.473484713754125,1.1155321294367047e-6,3.973075357981857,1.7402301219212593e-4,1.432500294208989,up,Taurine,C2 H7 N O3 S,125.015,4.17,107-35-7
hVPA_FAnM21,vpa_lowFA,5.435978760423323,68.50623344810488,7.148741824891377e-29,56.25418443827345,1.1152037246830548e-26,43.290506059477096,up,Caprylic Acid,C8 H16 O2,144.1152,0.84,124-07-2
hVPA_FAnM21,vpa_highFA,5.484812728756085,69.12165734548246,5.782947997800115e-29,56.46172039701562,9.02139887656818e-27,44.7809344638322,up,Caprylic Acid,C8 H16 O2,144.1152,0.84,124-07-2
