Samples,Experiment,Mode,Type,Folate,Status,Lrp6KOn1,Lrp6KOn2,Lrp6KOn3,Lrp6KOn4,Lrp6KOn5,Lrp6KOn6,Lrp6KOn7,Lrp6KOn8,Lrp6KOn9,Lrp6KOn10,Lrp6KOn11,Lrp6KOn12,Lrp6KOn13,Lrp6KOn14,Lrp6KOn15,Lrp6KOn16,Lrp6KOn17,Lrp6KOn18,Lrp6KOn19,Lrp6KOn20,Lrp6KOn21,Lrp6KOn22,Lrp6KOn23,Lrp6KOn24,Lrp6KOn25,Lrp6KOn26,Lrp6KOn27,Lrp6KOn28,Lrp6KOn29,Lrp6KOn30,Lrp6KOn31,Lrp6KOn32,Lrp6KOn33,Lrp6KOn34,Lrp6KOn35,Lrp6KOn36,Lrp6KOn37,Lrp6KOn38,Lrp6KOn39,Lrp6KOn40,Lrp6KOn41,Lrp6KOn42,Lrp6KOn43,Lrp6KOn44,Lrp6KOn45,Lrp6KOn46,Lrp6KOn47,Lrp6KOn48,Lrp6KOn49,Lrp6KOn50,Lrp6KOn51,Lrp6KOn52,Lrp6KOn53,Lrp6KOn54,Lrp6KOn55,Lrp6KOn56,Lrp6KOn57,Lrp6KOn58,Lrp6KOn59,Lrp6KOn60,Lrp6KOn61,Lrp6KOn62,Lrp6KOn63,Lrp6KOn64,Lrp6KOn65,Lrp6KOn66,Lrp6KOn67,Lrp6KOn68,Lrp6KOn69,Lrp6KOn70,Lrp6KOn71,Lrp6KOn72,Lrp6KOn73,Lrp6KOn74,Lrp6KOn75,Lrp6KOn76,Lrp6KOn77,Lrp6KOn78,Lrp6KOn79,Lrp6KOn80,Lrp6KOn81,Lrp6KOn82,Lrp6KOn83,Lrp6KOn84,Lrp6KOn85,Lrp6KOn86,Lrp6KOn87,Lrp6KOn88,Lrp6KOn89,Lrp6KOn90,Lrp6KOn91,Lrp6KOn92,Lrp6KOn93,Lrp6KOn94,Lrp6KOn95,Lrp6KOn96,Lrp6KOn97,Lrp6KOn98,Lrp6KOn99,Lrp6KOn100,Lrp6KOn101,Lrp6KOn102,Lrp6KOn103,Lrp6KOn104,Lrp6KOn105,Lrp6KOn106,Lrp6KOn107,Lrp6KOn108,Lrp6KOn109,Lrp6KOn110,Lrp6KOn111,Lrp6KOn112,Lrp6KOn113,Lrp6KOn114,Lrp6KOn115,Lrp6KOn116,Lrp6KOn117,Lrp6KOn118,Lrp6KOn119,Lrp6KOn120,Lrp6KOn121,Lrp6KOn122,Lrp6KOn123,Lrp6KOn124,Lrp6KOn125,Lrp6KOn126,Lrp6KOn127,Lrp6KOn128,Lrp6KOn129,Lrp6KOn130,Lrp6KOn131,Lrp6KOn132,Lrp6KOn133,Lrp6KOn134,Lrp6KOn135,Lrp6KOn136,Lrp6KOn137,Lrp6KOn138,Lrp6KOn139,Lrp6KOn140,Lrp6KOn141,Lrp6KOn142,Lrp6KOn143,Lrp6KOn144,Lrp6KOn145,Lrp6KOn146,Lrp6KOn147,Lrp6KOn148,Lrp6KOn149,Lrp6KOn150,Lrp6KOn151,Lrp6KOn152,Lrp6KOn153
emb_50_2,ko_exp1,neg,sample,10ppm,A ko/ko,21892243.19,1277418.109,3915224.422,172359.3776,4721135.552,1017397.154,9356102.61,220470302.1,103314.3538,3285394.613,2752287.117,6760349.904,6180895.679,523380.7541,2827265.975,1256589.812,5130961.612,2016548.103,583767.2151,4619420.609,1866085.814,1934811.893,33257228,2581052.015,1470805.152,214165.2865,62371.67363,888026.7758,4956973.002,5124160.331,187282.9021,94155.59514,1862579.649,1896550.725,728852.5722,7286566.757,12020942.32,2099795.947,212168.8742,390971.4094,293278.6597,2499458.487,12851741.14,2989858.516,215823.0551,25688813.24,2978179.444,157502.9215,188275.1973,35003.15774,395673.6062,1443681.162,721604.5676,605659.0007,80232.96846,582787.2589,273685.7122,219764.2505,219757.5606,32248.76761,3934915.312,378361.1734,5945.354859,100272.5076,226454.1791,20093.26022,225708.5446,662628.2179,3599105.19,3293449.093,64720.12888,1321589.844,3737853.714,251173.2061,2838.666085,450981.512,22621112.05,131385.7965,405351.0964,61054.93324,618952.3933,146095.2771,160325.4143,44296.61832,19833.4557,1018262.497,22237.68277,9951.1639,435250.0386,31471.9532,27847.88482,184870.8088,110824.7248,215068.4802,155052.8431,6064660.778,21611.13522,574611.5956,46453.04601,106868.1542,328886.5209,970471.963,1221353.469,430234.8567,43037.65397,122416.8027,6173.809332,172199.5634,158932.9206,165313.6071,310997.2044,562417.4,49625.03549,87866.59009,131868.987,40096.56778,2242633.173,49258.1075,12882.23932,16561.45451,93410.03056,19223.89216,24844.72029,433127.8382,300068.7987,75650.20386,63980.50676,101057.5595,400832.236,14917.2212,19618.35345,61196.6835,2987.879152,38777.13625,94569.87836,215865.7092,40218.4705,94667.88626,375582.7556,34634.10813,124563.9169,29332.28655,19656.85761,151445.0958,30950.52507,125637.4735,992110.6758,71746.07278,157506.9122,4691340.442,201127.5631,681529.4288,14764.57769
emb_29_1,ko_exp1,neg,sample,10ppm,N wt/wt,21023714.89,1256965.582,3013362.309,183705.4415,6070696.588,921997.2581,7822005.096,213695965.6,72311.66738,3316671.961,1323539.96,1130944.859,3415101.34,694172.418,2194227.857,1148342.719,5221190.9,3126690.537,768737.5235,3281463.901,1369999.463,2097789.858,30738845.41,2267641.68,1000151.887,248162.3866,87893.26547,796918.8265,3404304.195,2576319.639,184027.1751,60564.65237,1670515.332,1826115.273,461720.7681,11345318.65,18367776.32,1767537.924,258211.0302,426029.4543,345202.8288,3871132.339,4982155.976,2362887.002,182099.8012,25651855.5,1686690.484,88355.75279,154802.4619,59990.56759,289972.605,1111366.641,259733.108,408947.0009,84549.69355,455620.466,203200.9623,141160.3359,122297.7076,12847.23972,3056336.539,254494.9492,26174.54671,110327.8948,181153.7565,16088.50683,236931.0476,145616.9497,7286655.473,2009626.049,47037.14086,1405690.654,2915463.026,264671.0746,21226.73276,469709.7492,22168241.72,145748.2144,317909.7963,51166.79071,510533.6744,137525.5638,95991.08651,42986.55865,23186.71395,1263867.531,18427.48114,9449.953441,402027.0558,23887.14029,28611.05871,201891.1996,58051.58331,167885.1274,133794.2479,5560638.309,49872.40139,191720.2792,48229.33527,130568.6796,403211.1168,582568.9818,998055.1004,680006.5367,59453.60412,96015.83204,4521.910796,113253.9548,110763.5543,128093.6474,276157.8033,235416.2792,75060.15359,78408.00908,84415.25254,14488.47894,1103751.732,45006.69984,11703.33385,16297.15783,52052.54933,21772.3152,27261.38028,394456.6077,261200.2572,182547.426,48755.79844,99669.85515,119950.8783,15989.19242,24516.80273,8702.993372,2997.706408,42429.45864,152669.8772,88091.52789,20685.79186,207182.9805,492512.7237,24674.09957,115168.793,7497.705562,194664.7411,528388.6621,65249.63717,210029.0089,4144871.458,56945.16894,179899.6985,9670895.204,379869.1141,618641.5356,21824.87317
emb_37_9,ko_exp1,neg,sample,10ppm,N wt/wt,18584981.61,1124926.795,3179068.569,99321.8842,5456937.999,1152933.115,6517242.148,173476049.1,107145.6615,3654576.949,777978.6884,6008304.242,4111382.897,494627.1232,1834507.737,1621946.235,5085348.768,2706493.975,395559.4865,3392282.394,1840874.032,2314039.991,30342750.6,2068116.055,519455.9252,235706.0955,117838.2468,957763.7519,3697330.64,2596448.25,227133.2093,75540.4659,1520601.076,1741850.285,227649.1177,6396893.562,15777712.71,2113844.271,220579.309,479454.7363,258032.0882,2364047.766,5785814.909,2205376.362,153837.5282,28191318.74,1661370.049,89814.41128,316006.5572,84584.37266,272569.0067,795323.2516,294294.4215,611583.5846,51425.53646,516516.9465,202895.5288,83999.69603,83998.41361,26144.43647,2571808.956,241141.5386,31511.93105,6959901.677,143405.6128,39943.26943,238030.5947,1093664.772,8946565.727,2590735.523,77663.79604,987345.688,2441258.68,156175.453,34033.29595,535493.2332,28732049.65,144228.0387,218624.9756,54799.14134,510657.5255,108710.1586,77041.66304,35140.93242,30915.28503,2384167.903,12527.64564,11759.03947,307700.6521,15645.45594,17420.35656,124236.5372,91025.01719,289064.9984,101558.4676,3353130.885,61130.92856,690370.1317,32915.19875,86865.09984,219870.4952,428747.6703,681561.6796,603706.7403,80510.60482,58512.46505,7451.600158,84588.79271,106538.8476,120607.4138,252229.7803,1077225.897,167668.8126,59964.78628,84621.17289,29649.10646,2371464.244,31346.96733,8544.702677,10896.3714,49279.19083,13244.10894,23657.5619,269729.2006,176168.5096,6141.759188,31454.65045,91757.65592,316547.7043,8410.676906,13892.79032,33273.34772,1424.044528,21930.90411,62010.67497,172334.6135,37930.46265,255067.3768,652618.6068,19065.77229,103435.6814,28554.14533,127388.87,393603.7752,119912.1827,212311.7568,4041018.931,82371.37322,271792.9581,10832933.86,344596.3467,788694.1793,14045.99323
emb_40_2,ko_exp1,neg,sample,10ppm,N wt/wt,22583160.27,835021.8096,3018736.743,153785.3041,4565863.7,1098686.167,8174381.723,133225674,108475.4307,3189231.541,563996.3005,4564221.105,2777506.358,515587.5761,1920724.676,1684765.92,5395473.148,2122461.435,380895.3617,2873100.124,1666279.911,1761255.554,28897649.88,1752332.771,1161941.673,238012.2753,75140.31169,915901.912,3707630.677,2541259.075,161085.1429,67003.83168,1503328.546,1554341.561,316580.7956,6806977.183,12207690.05,2526325.956,250682.322,423082.3372,255741.5271,3321728.944,4493559.756,2014945.209,119162.9322,24890097.14,1615240.828,82931.20257,436896.4893,75705.3864,256099.0806,779090.3321,268072.756,794820.8783,83814.65428,322972.0865,250632.7703,160479.1645,159702.3099,26220.8178,2538630.303,188352.9326,21914.73817,245450.0901,175333.6282,17525.89586,226517.2451,948186.5798,5899397.369,2486326.841,127559.1883,592826.22,2514399.673,214195.8845,15353.39161,554823.9123,17621949.02,154958.8425,384644.471,32699.91938,397771.9704,139599.4536,100471.4756,51622.9028,14716.4457,775926.334,20410.65055,19522.3462,489396.6005,27329.23944,29812.80946,194163.8032,180729.7909,424411.7367,180344.204,5929282.651,45728.85595,797121.3022,52126.69983,121535.7352,297459.8481,844039.6673,1262478.144,449741.4609,69210.69894,82617.07456,5345.973828,168876.4504,159770.4792,155155.7374,235967.6446,974562.4746,151773.5154,97402.78686,197897.0107,40672.26739,2518793.003,52307.68315,16989.61314,17442.74915,82694.35213,20568.21385,18135.55111,577495.8476,259478.1139,41424.20529,64188.47272,86798.87805,448580.1855,13479.33637,19772.05808,74414.58821,404.1589037,29910.62276,105133.6815,227804.2784,37126.66273,112979.5763,431554.8862,20195.01086,96980.70746,37026.9173,30817.32697,161991.1967,21161.86049,122169.8855,2466334.63,46109.08938,161992.1064,5611506.54,250683.7893,571158.7722,24648.24982
emb_50_6,ko_exp1,neg,sample,10ppm,N wt/wt,14598716.37,932334.9152,3020656.854,103114.1647,5131150.625,946685.3201,5775037.971,154302423.6,132716.6443,3177425.468,1877082.393,5094461.601,3189640.993,559299.9447,2261010.043,1360562.385,4059575.304,2686683.794,573688.709,3228834.009,1753542.062,1952936.766,28582903.99,2653373.457,479402.94,206685.8124,105653.629,802505.5327,3559753.674,2542417.805,180869.7581,164023.0047,1506252.861,1551216.683,389014.7417,8311024.118,16000186.76,2330527.915,277036.8291,363121.5131,306827.4365,1708315.431,5134130.427,1380492.485,127232.8743,24923537.91,1499586.786,83642.98706,201563.8035,73563.19318,240791.687,1045058.339,175714.6137,438925.215,60808.03887,716653.3487,182070.1721,96693.3116,82139.15661,17984.83858,2371738.482,238574.2982,6075.293782,91700.50147,96018.60898,13773.07909,151070.1439,759420.2988,7596178.643,2340175.758,59098.2204,946514.5645,2015131.463,192532.4664,13835.20166,464458.1429,20783152.03,148852.5486,226694.7702,45348.10897,409363.7826,91922.10276,55837.07469,37787.54329,13742.41698,1503781.966,33496.82474,12528.8654,342750.1278,19847.34912,20482.33051,149042.9677,156871.3498,393755.4487,136045.1905,3935345.053,42695.80748,785840.3071,34443.1311,118590.8082,271901.4535,527855.5665,849644.8714,584418.7169,86573.93428,58589.89319,5361.631267,105143.3812,109175.4459,123001.7685,254646.5519,764596.891,93400.21062,67349.20683,64222.88713,28578.18616,2008476.006,36041.48899,8637.787246,11698.20117,48355.29113,23451.65688,32017.86582,268715.4721,149520.3605,257181.246,47520.80525,73884.632,314503.5037,10167.01482,13263.60848,38396.49817,3292.913071,25737.38431,92536.79604,386694.3961,38881.93442,128776.2643,445637.9185,20216.29575,101121.3888,31812.41971,44600.83109,210532.8295,44764.13996,145222.1109,1749499.107,51621.5833,110289.7043,4404565.423,277244.8808,549284.79,19993.81807
emb_57_2,ko_exp1,neg,sample,10ppm,N wt/wt,16199130.49,1175355.008,3373756.21,283532.473,6255311.47,1015263.826,6678915.908,179094985.6,209079.5949,3398332.209,1321521.251,5818011.356,3676453.672,778153.2251,1910004.581,1568929.609,5083896.357,2759185.041,486401.6775,3459951.622,1678603.582,1834934.719,29818939.74,2079172.02,1095291.732,257657.579,97330.11803,856180.6664,3300402.387,2709295.737,305903.4492,172750.95,1925071.721,2105654.856,228523.7227,11974293.63,16793068.39,2153549.295,284169.7185,459616.9895,268150.4231,4112552.282,3891435.723,3006451.243,147494.2256,26660928.27,1752021.314,87438.75735,174586.3818,52610.87463,303860.2854,656361.3002,263425.1031,901636.5241,54171.37518,529730.0835,208856.3772,99368.41063,83028.26728,13527.80463,2266206.799,292320.6626,29636.47648,120713.5701,226462.0122,18250.07501,409509.0431,360134.9728,8663727.745,1866977.934,45717.19548,1089382.317,2157326.455,216595.4768,31999.04511,531893.0809,44569558.37,152230.5198,229985.3351,43839.12568,408216.8221,119492.7998,63594.33075,34883.52006,30291.4501,2043128.843,17428.53644,6522.47925,283379.5193,17812.32866,18275.27756,134008.731,52217.99504,166312.2209,91551.06069,3282844.779,46987.07313,305527.2458,29647.47626,106062.6198,292321.8686,432975.2245,651043.83,653045.834,128327.3087,41016.12809,6867.94184,79446.03613,126397.2817,102191.0244,161645.1635,1029866.591,55073.45601,52754.03763,113703.4963,29470.0698,1964836.688,30006.28355,9485.491939,8351.488013,35173.26123,16886.57572,18124.18275,380968.92,136423.8925,17670.19191,57981.23176,52633.33295,221371.3137,11965.14299,17442.31074,23677.40811,1246.874904,29193.21011,80093.28109,129019.915,33882.91536,268472.1019,612047.5636,16149.30154,97594.76504,18419.56236,185230.2796,504177.7974,90180.03963,212868.0906,4426081.841,66816.13101,223341.7358,10837080.71,356559.2286,717989.846,15802.9954
emb_103_5,ko_exp1,neg,sample,2ppm,A ko/ko,22267247.01,811846.5483,3591141.43,131923.5887,5978067.446,1260552.23,8158421.6,101513944.2,204511.5297,4092550.09,453569.0785,4542654.192,5179382.844,443057.8263,2488652.151,1430666.264,5170075.733,3270091.727,675868.5144,3772422.549,1767104.607,2350949.275,30873364.49,2696730.936,926344.8822,272199.8703,111122.9184,1044588.239,3707062.016,3126233.739,242429.9033,154060.1353,2089380.926,2250944.235,276815.4898,10465056.04,18895655.49,3929179.873,301385.7612,603572.1292,326957.5241,3450696.846,8553868.717,4556646.725,211373.5305,31401590.02,1797144.73,96083.96988,1026968.837,37763.12696,344738.6854,1016657.609,140283.1201,782415.9665,84995.11399,428341.489,247775.28,128119.2931,128120.3036,24664.1954,2335066.902,253475.3932,29340.51648,320379.2242,262155.3327,34337.52309,373161.6002,1547943.948,9669908.092,3653740.792,59153.33322,308607.9133,2213773.284,180206.247,50824.73017,646073.5758,31698905.12,184777.2949,269477.8753,37495.01416,444354.2324,153633.0994,69601.93918,43489.99652,31384.53135,2401112.349,30193.10715,19125.29448,530336.3719,18938.29112,27139.05694,190863.7746,382203.1222,320951.2367,228330.7599,4636741.684,54299.73136,1206724.213,44620.14527,138589.0889,320140.0058,635805.5306,1262622.472,656890.1699,147184.9903,79885.82377,12957.9081,119182.6869,80527.42357,102998.0471,392466.3124,714087.4846,60456.24003,78918.70515,62644.15679,61277.07799,3540711.668,38351.76788,14563.9337,11518.38442,76232.68829,35794.30596,69978.68539,289922.0163,219071.7069,493262.0971,34607.67951,100691.8266,612327.6135,16302.01632,19176.88333,74701.42403,14673.69188,20868.7829,147292.8128,155477.1359,55610.97434,420847.6183,959773.6438,20695.94017,129046.4255,43816.97696,183318.7411,484448.3199,96343.07387,195563.6286,4371505.808,100168.822,285170.4259,12363681.06,541808.8298,641669.1662,11933.29636
emb_163_7,ko_exp1,neg,sample,2ppm,A ko/ko,17684431.73,909858.5054,3187347.067,137661.1238,3174234.02,552799.1148,8619851.835,154894198.5,67143.84418,1934693.171,2581651.678,5754518.12,4124708.821,498386.705,1400216.379,898822.1107,3112152.558,1403977.016,403567.3206,3214700.139,782781.9594,1179146.857,24243524.39,2864051.997,862956.3556,197876.6017,40021.03325,474174.491,2870982.783,3399648.167,154119.9904,74694.84552,1479309.696,1552711.183,514710.7444,4684712.523,8219671.214,1087621.676,269119.3715,237865.8271,172328.7866,1753482.549,9806407.989,1056767.944,228233.4978,15464974.89,2043104.398,107608.1171,166099.0148,34778.7611,262642.0715,753199.9995,433371.3949,446058.8754,67824.72113,267420.7261,208735.4426,187241.2474,184809.0906,9464.911984,2468323.532,252282.0846,9836.356104,98484.74105,153393.0536,16781.75392,202396.0051,157544.5831,2833431.844,2678886.278,32566.0068,839218.0747,2262687.313,211051.6771,2789.71528,315408.0091,15854800.14,93078.11666,293932.9985,108709.5764,343224.74,103393.2053,79371.67058,41060.72028,13246.20921,991622.2454,20168.26989,15244.51039,405226.6911,17325.57291,31311.98061,220765.3831,31641.95728,93717.01211,174985.6324,5522871.703,12925.6733,246393.9932,56929.66767,148491.3092,571649.441,702800.6138,990399.3004,265524.903,42711.83845,75033.71385,13382.2588,115830.9786,65887.11763,98571.15659,176252.4589,190306.5411,55778.87247,83161.40375,56854.76337,16672.36451,1504072.648,44207.91432,17063.2126,21279.7086,39059.27793,13685.08153,20840.22805,195941.0065,317270.6611,187255.8723,55280.05818,93913.13643,224910.949,17570.08816,31406.90059,33883.61785,26638.66204,13536.61991,127522.5254,56477.34959,20601.16228,82084.24528,226504.1694,21381.54425,129343.4747,25981.30535,13237.38617,75995.85745,74637.15376,78987.69201,559399.6687,16671.9873,94482.33559,2149248.551,107683.7457,399462.7356,14555.80022
emb_186_1,ko_exp1,neg,sample,2ppm,A ko/ko,19194226.36,957687.9239,3099239.652,75504.46294,4269726.462,980620.1492,7490536.251,160720799,90099.48291,3170217.185,704409.4673,6687779.209,4724567.949,391670.048,1770520.65,814653.5514,4032991.263,2227456.492,274867.4522,3268552.461,1233352.296,1677401.787,28080889.38,2214676.436,556435.7399,213807.5848,92739.26,834282.061,3323681.226,2856752.6,183768.0042,72576.05637,1490860.804,1740141.406,210756.4928,5557005.938,13508268.84,2386227.343,262820.7218,391689.0714,191890.2655,2266319.392,7776557.483,2104893.846,165261.9921,24996713.21,1645644.028,89948.79979,220191.6182,36921.09224,253816.6433,918163.122,609623.4181,827507.0182,59783.68932,368521.5536,182461.4291,97261.3609,96358.87566,28835.803,1940468.551,252360.7789,15192.79147,106493.3981,186641.7579,20211.44802,233570.5014,513105.5039,5077927.916,3273388.364,29531.31917,901476.2128,1897085.764,161538.7717,18540.33628,553769.5427,23429769.32,153544.9382,172312.7004,94727.74686,320909.2437,116458.3974,46996.84159,33206.51443,25361.54707,1645262.665,12448.16207,13590.6234,301507.4603,22071.88844,14041.99209,138850.7117,47379.43568,146755.2488,101360.5019,3541368.665,44283.53943,340229.8562,32368.14085,117186.9615,309055.5312,270385.5095,563852.3732,439455.885,65431.69664,36633.3193,7704.837092,75129.04991,31739.47084,55735.22845,78476.66241,220943.3862,67217.74152,44203.19093,56810.48806,24609.11994,2097727.969,20627.94571,9563.320827,12280.05695,3950.991019,,8062.10246,279788.9646,214937.1211,44022.56402,27025.32726,50523.17413,247515.0392,13984.89536,14356.89331,31345.01481,11845.09564,4163.41566,84681.89931,97145.22535,29883.01522,256764.033,534691.4429,20497.90738,80939.4424,29195.11423,131534.1969,354083.7635,92929.16005,158611.4412,2666821.146,55629.09205,169858.2193,6876455.455,284871.7405,690199.9419,6155.179098
emb_76_8,ko_exp1,neg,sample,2ppm,A ko/ko,22515587,1200216.955,3089534.076,102214.8176,3492863.65,750572.478,8128450.599,174459480.8,101116.7547,2572097.478,881624.0155,4701570.813,5063135.872,614611.5434,1629634.522,1039867.165,3632686.153,1967104.641,450082.854,3653975.717,1127393.809,1306081.748,29472565.02,2027121.23,1026791.335,221222.4368,66699.08818,632462.3257,3421027.909,3679336.682,190340.3927,138024.1497,1623988.661,1657154.499,383873.5922,3822335.375,11473267.53,1912160.729,269286.8245,427305.8679,224036.2926,2551166.406,11034600.99,2892434.775,210937.3557,20329027.02,2252283.52,117933.4287,659099.7488,35900.61822,295855.3834,720986.5876,524522.0091,705914.5315,86505.57475,435651.4082,212100.8578,136483.8587,136483.3194,30894.55423,2467281.97,267855.8971,34961.94911,131331.2567,311113.7751,60829.82823,204732.8297,939773.5972,3063503.786,3806052.282,64125.22343,858726.8071,2610494.463,227502.5535,43532.67459,359934.6756,21956697.23,122213.9415,369769.7287,81811.41754,398384.7005,123544.0341,91657.86375,50134.23169,28517.37439,1081818.629,34989.01515,22664.85783,548149.6868,32610.16618,37424.69413,241905.0539,45104.86309,121356.0699,306855.1936,6654161.636,22793.16724,622997.7054,57314.46718,173108.7718,206934.592,1414098.765,1813224.588,311991.696,58106.20986,143754.1674,9424.467512,182089.2822,72312.38796,122329.4937,857943.149,453179.1489,81784.25455,102891.9472,31666.95617,60462.93038,5237290.459,36716.08826,14958.53585,28662.91054,198675.7255,44998.98903,114869.1228,425675.0413,286346.5214,156764.5312,79944.81616,76779.09139,608873.9092,10584.58417,17673.20703,109311.3809,8652.185839,49617.94333,86657.24201,95418.63322,36547.87692,192710.0735,548760.1428,24511.21025,159427.8886,77920.93453,49620.74006,198106.7634,71839.78157,78314.62529,703967.3267,24962.3023,118738.6227,3208071.689,155789.3043,311427.844,19467.8618
emb_97_10,ko_exp1,neg,sample,2ppm,A ko/ko,16231303.07,642516.0816,2137541.151,59478.79038,2971839.008,651575.3155,8293716.328,95538207.2,53833.36275,2346804.448,271651.8266,1280503.777,3248595.137,319356.6926,1649481.66,1037408.777,3012683.71,906724.7393,223465.3994,2700977.961,881333.0435,1001283.627,22175745.06,1718614.423,382211.2849,159218.3158,41591.11131,556333.8124,2524605.108,2217290.697,122995.0171,126817.6883,1071457.545,1130273.753,202576.4997,3934528.04,5592648.066,2151296.957,316121.8257,267989.2279,127611.3464,2108852.519,7066982.019,1008433.842,216335.36,18409545.23,1549225.907,81668.15612,285241.2353,34718.18242,197359.7322,753241.9276,732344.5385,570545.8629,82623.127,215031.9925,204733.692,103994.805,103995.5441,13137.08526,1764411.318,221417.4787,5682.108362,191270.098,127058.503,20427.6347,247817.2168,140057.1824,2386643.174,5775296.579,68312.10792,389443.5675,1852703.524,143843.6079,4066.392174,308827.2255,13752107.1,122269.8075,181751.556,83281.63944,261582.6833,102698.1189,71239.34988,30563.78139,7882.917138,821425.509,22722.6061,9416.911228,346026.8563,11709.83561,13426.42434,130676.4993,83809.8776,143895.1999,69561.26641,3593099.817,19923.55245,549245.1654,33992.42889,100807.636,71341.64246,266703.1874,540251.0931,228730.3367,27790.71057,69483.22233,8095.175134,111315.1324,99461.82639,104518.2675,92878.8696,297639.4547,64195.03889,51979.01299,97599.19227,27078.93147,2079401.593,30038.44576,11978.80437,6292.708562,,2883.128837,,335118.5789,224580.1856,54514.07936,44716.01887,47379.97737,331073.466,17117.14784,26955.2597,80677.59305,18662.73442,1247.531511,164602.001,96731.89545,13337.08918,90278.93878,293540.657,14855.93137,80842.4875,33226.10637,27605.35215,127651.1284,80977.41692,72366.38372,680001.3049,31583.34653,100707.7922,2857071.529,116903.2144,571288.5846,13077.16313
emb_101_1,ko_exp1,neg,sample,2ppm,N wt/wt,15153415.55,398953.5488,1822676.078,63414.83516,3442663.924,833656.9952,2211034.092,51468075.41,83841.27449,1945715.536,221430.8684,1372227.197,1784383.596,300323.0306,1831267.057,396432.3307,3223951.799,1545627.991,394756.3475,3023571.201,569054.1052,1198048.753,19652592.15,1503682.498,418001.4583,155261.0191,68958.33084,642305.1112,3198828.366,2246533.034,94279.49071,113150.1931,1098152.734,1161080.847,131224.9174,3818664.567,6871677.469,1703569.912,216823.7316,164206.2974,309994.9935,520834.0556,3315256.655,1133831.909,144203.9813,12438609.34,1447174.777,74660.51167,501953.9526,34838.70586,164547.0109,536468.4291,112228.1694,426040.154,63999.03053,279116.4749,84665.95037,80296.35501,73136.43207,19540.88063,2612688.428,159254.8864,2397.732496,286675.1538,25264.36566,9644.474006,14833.44211,9538.271727,2913096.637,1091769.553,59179.67611,109177.3538,2307243.222,182808.5243,,186852.8181,6327026.438,61577.15335,322606.8977,50735.06324,455824.6161,21565.26776,64303.91692,51784.86598,1563.013289,1754995.37,8907.272415,29400.31866,455117.8849,17466.16748,39685.55187,228017.2407,77610.61814,313933.5917,308343.0902,6124501.51,13330.49851,649111.0765,60283.76017,167563.9751,220657.1161,992558.3226,1641471.877,222666.7185,41864.00206,91044.14125,11097.00887,172548.0265,44031.97472,90360.53918,567824.4157,78508.60786,52795.11349,88234.08878,29629.10393,12499.59514,1362526.059,29950.62729,12182.38424,20491.66712,166729.3878,50795.69479,105797.6285,149910.6389,298500.4447,31797.70477,34526.07023,100355.284,132399.43,4322.617294,31846.02758,10839.60836,7534.692473,28436.70115,70952.26576,89378.25966,20927.87319,17376.76352,95484.41942,52530.90338,148799.5284,30608.14543,,8092.115642,29402.11007,50633.90025,690855.3719,8990.86487,59639.82399,1447500.273,59638.66635,151144.6629,14387.84904
emb_103_6,ko_exp1,neg,sample,2ppm,N wt/wt,12552784.27,1188250.699,3287565.263,183677.6697,5836858.264,977858.0721,5583728.336,178816066.4,206554.7509,3462172.636,970406.7577,7049129.474,3783962.002,365038.2602,2466729.32,1559041.369,4802972.782,3637158.417,350030.0338,3949018.179,1705785.478,2514520.59,29011255.06,2611120.871,832882.5648,226000.525,118194.9824,828690.8021,3853813.938,3069851.17,260386.8117,88814.11664,1656475.975,1770784.987,229839.4826,10341316.24,21227825.51,2483887.292,303318.3613,433768.8882,205390.8186,4319394.893,7261675.605,2650001.474,137681.6934,26786225.84,1836324.366,92898.68871,467382.9437,67601.79185,290785.0602,1333134.984,479104.5793,1062587.804,47208.18932,564916.5029,200907.6673,72268.37386,71666.44858,9894.951568,2487267.68,281440.4091,25145.67179,175401.7297,135101.3379,24196.72134,308854.5014,212293.4343,8173811.284,2407877.467,64881.90207,1085577.933,2339900.374,186531.6461,33281.83958,439041.0203,34272447.21,159238.8156,176662.0218,64616.22515,477449.8399,123954.9062,76468.88069,28138.10593,13181.66719,2693578.034,8901.778347,9333.448158,261826.5097,9067.600766,16168.75542,125497.6597,208251.5617,257906.7308,133062.9128,2708876.321,49857.90036,422041.8717,25764.63162,84441.10913,415220.1254,358989.2045,661305.6928,662250.3179,140686.2456,39656.24293,4227.381364,57513.62018,30193.71148,50773.83064,179931.6534,782231.7831,70127.60808,38212.20104,69912.56329,38271.96263,2994380.473,18205.63651,7844.292016,8076.372779,39581.86007,10596.91142,23887.28,283514.0789,150502.7419,140901.7632,268022.1931,53016.59183,289632.2853,3377.543956,16516.58698,33375.19571,13850.06252,15541.34698,56749.51594,194897.143,38094.30829,234754.6237,664115.2096,12499.24664,85246.89313,46763.31454,132950.0999,469337.8879,235736.0568,255137.3134,4262134.215,85344.91788,349262.1186,13177243.8,374596.8325,653906.8388,10029.91795
