Sample,Trial,Group,Day,Nestin,Oct,ZO1,Nanog
Cells1,Exp2,Cells+LIF,2,1,1,1,1
Cyst3,Exp2,Cyst,3,2.153475136,1.815038311,0.892959511,0.090454327
Cyst4,Exp2,Cyst,4,4.778860541,1.30435207,0.486327474,0.054661417
Cyst5,Exp2,Cyst,5,9.084035433,0.353553391,0.959264119,0.057778104
Cyst6,Exp2,Cyst,6,16.83431757,0.050531728,0.707106781,0.027712231
Cyst7,Exp2,Cyst,7,29.71940512,0.020146411,0.930879716,0.012662154
Cyst8,Exp2,Cyst,8,28.05138308,0.012838911,0.543367431,0.007425308
