compound_short,logFC,AveExpr,t,P.Value,adj.P.Val,B,fa_div_cntrl,change_in_fa,compound_full,formula,mass,rt,cas_id
FApC9,-0.4854608246282286,19.7836538447919,-6.022121340649464,4.384844518766704e-6,6.35802455221172e-4,4.284335473745768,0.7142688821682203,down,Serine,C3 H7 N O3,105.041,8.32,56-45-1
FApC124,0.6782926701207154,11.378437217422562,7.64041519016366,1.1524046312431883e-7,1.670986715302623e-5,7.836056801128423,1.6002448549623636,up,5-Methyl-THF,C20 H25 N7 O6,459.185,8.64,134-35-0
