Samples,Group,hVPApC1,hVPApC10,hVPApC100,hVPApC101,hVPApC102,hVPApC103,hVPApC11,hVPApC12,hVPApC13,hVPApC14,hVPApC15,hVPApC16,hVPApC17,hVPApC18,hVPApC19,hVPApC2,hVPApC20,hVPApC21,hVPApC22,hVPApC23,hVPApC24,hVPApC25,hVPApC26,hVPApC27,hVPApC29,hVPApC3,hVPApC30,hVPApC31,hVPApC32,hVPApC34,hVPApC35,hVPApC36,hVPApC37,hVPApC38,hVPApC39,hVPApC4,hVPApC40,hVPApC41,hVPApC42,hVPApC43,hVPApC44,hVPApC45,hVPApC46,hVPApC48,hVPApC49,hVPApC5,hVPApC50,hVPApC51,hVPApC52,hVPApC54,hVPApC55,hVPApC56,hVPApC57,hVPApC58,hVPApC59,hVPApC6,hVPApC60,hVPApC61,hVPApC62,hVPApC64,hVPApC65,hVPApC66,hVPApC67,hVPApC68,hVPApC69,hVPApC7,hVPApC70,hVPApC71,hVPApC72,hVPApC73,hVPApC74,hVPApC75,hVPApC76,hVPApC77,hVPApC78,hVPApC79,hVPApC8,hVPApC80,hVPApC81,hVPApC82,hVPApC83,hVPApC84,hVPApC85,hVPApC86,hVPApC87,hVPApC88,hVPApC89,hVPApC9,hVPApC90,hVPApC91,hVPApC92,hVPApC93,hVPApC94,hVPApC95,hVPApC96,hVPApC97,hVPApC98,hVPApC99
P1C1,cntrl,0.10019914938499658,0.18287795708031146,0.08417002800018503,-0.11386625571805267,0.39898761827239954,0.4731621174513881,-0.012400363914571388,0.5439366878448516,-0.7334018087088982,0.18048056906278992,0.12051947466621282,-0.06866101493240058,0.42714260629382816,0.2232522510617377,-0.6112041905255103,0.5129250131230247,0.18596756835218772,0.20595672603976448,-0.11022032463206097,-0.04328288838695161,0.07915728449772377,-0.026158338588185597,0.003261176480251375,-0.018609544025009736,-0.3362349673127102,-0.11855057391189304,0.12853885217822847,-0.30427934337240237,0.6562601433808565,0.463329347019041,-0.008524906544414193,-0.08195329154296625,-0.1678591443905288,-0.11751750182276292,-0.7590590771668456,-0.12413169099731147,0.012708537078518425,-0.0441633931182496,0.11026444537873192,-0.8914960729962191,-0.1944142464067817,0.043282581719508995,-0.0019694066493463475,0.0462419953169258,0.06959223522642524,-0.29896066213799,-0.011134283686604192,-0.02510343577702873,0.0376850928650572,0.03419019288453769,-1.0068265773962122,-0.12126977021750424,0.08926741902000762,-0.11179375553758747,0.1684653915304658,0.04932136228009174,-0.19116697862155693,-0.036096928425170316,-0.09446369072611609,-0.023305977382589646,1.27131015192276,-0.41308536814945473,0.1589620719387944,0.5010897196494346,-0.5581273744330824,-0.040513733526533285,-0.03742146286808015,0.2551538494404775,-0.13851899373437046,-0.36513672437972017,-0.08641688977928376,-0.19800550750957224,0.5553795095029533,-0.291854737767322,0.8000291069888034,0.11146990688457177,-0.010367383328425045,0.03438462006969019,-0.015508033661555922,-0.0029465147279185457,-0.12499154037047334,-0.1442173244745364,-0.3575182052359423,0.06462331999443541,-0.6045744064691558,0.06322431267230705,0.09166368929914967,0.11108692785695215,0.17446326865667336,-0.06336230980072755,0.5543637787613334,-0.2098243065913523,-0.9992471601482025,0.2668368948257401,-0.07813172149393505,-0.2680991030972271,0.17481534055244993,-0.30142364929762033
P1C2,cntrl,0.04268494561747689,0.08908486153358594,-0.08653093980515643,-0.41256740664559705,0.6187950709096504,0.2566154174592532,0.007036409000304467,-0.0702589511217262,-0.1636033954899763,0.09149109397617136,0.04483343266642527,-0.11323820965155948,0.0023093757914456614,0.12093727463189913,-0.26222632815960667,0.04461687987482525,-0.016304859208300312,0.6892269456407192,-0.13297755887040286,-0.14856837053580493,0.019685531833392625,0.14622128207851132,0.10787244130978818,-9.160081984893572e-4,-0.527896263943002,-0.048733979220363544,0.1445181757955576,-0.15022671526779935,0.6894814117340923,0.041492081385255994,-0.09516420041271445,0.040756086157805,-0.2091314744082281,0.0027282759526321212,0.42259904804962867,0.2568884096681825,-0.011498454523427156,-0.12079726344320968,0.2794768433553142,0.0014965855219105928,-0.245675869850894,0.05326909247817123,0.054460836894965906,0.2474258155024243,0.1658180699421935,-0.15333061125058584,0.001428070959649534,-0.022945371556962642,0.06374172092497063,-0.021241501293490124,-0.5410940661326934,-0.11319085572607925,0.1955214837080783,0.031177802428044646,0.16206620068090735,-0.09091068806807809,-0.1320775538117498,0.10683019948081302,-0.1866279487443481,0.08772279781674952,0.7965421933895782,-0.1400359415460047,0.017352337923418816,0.07342217654316681,-0.06209536873109045,-0.1493928301615772,-0.09574424539699256,0.09655051548618282,-0.0992320396924556,-0.42637226043944704,-0.26049300458277375,-0.11739161605725473,0.05057322275395641,-0.30482983316865164,0.36402304586046014,-0.03086423872575574,0.3190368576418331,-0.3353353491054787,-0.04021515519263145,-0.20639147702904256,-0.3594140100311781,-0.3250282483488982,-0.03400681651537041,-0.02948365195182919,-0.6934344683135504,-0.1976881705441194,-0.030986341892774938,0.004687438827268766,0.004835630381903461,0.0024360426041955575,-0.5580433713219058,-0.017891045413331384,-0.9589817813390292,-0.025066632543132336,-0.08552042234375619,-0.17309355275268198,-0.04077891304024349,-0.3258027833501098
P1C3,cntrl,0.2587434140725062,-0.09842871372722292,-0.10055060769280179,-0.7561171624946764,-0.3250268228429994,-0.40746369024215845,0.07439819474253354,-0.07402778165168233,-0.2825253088300614,-0.09008779580731421,-0.01598774242712415,-0.18459862643881886,0.1891633901470396,0.09250533381689263,-0.14633647400582706,1.120414729368211,-0.13105934793945,0.23383731754590398,-0.14979762399855073,-0.08994118185897823,0.05382251623147678,0.18938328383483768,0.17430904561895869,0.3142940822791702,-0.4937494375356172,-0.1916175670612827,0.0969887379977219,0.1977150188199522,-0.34179652202122,0.0033234614866356205,-0.06568194735003774,0.08320947610989084,-0.24946965713689445,-0.07928567150945724,0.7894659332613123,-0.29606830794183714,0.05338706592225865,-0.03529335158563997,-0.15663280842095256,0.1673206101542808,-0.34350948598098824,0.02167919252007591,0.0321250853667435,0.5738703527391913,0.3029379574256455,-0.1745689789716345,0.09407668588035602,-0.024742202443064392,-0.13298892876924254,-0.13081516760914158,-0.6196080654105783,-0.08158505429463359,0.11052302358372734,-0.025811486553409334,-0.004061996037282037,-0.06751686196516475,-0.19940318512437155,-0.09680679179416925,-0.24503136365823075,-0.37166782194121234,0.8640688573358812,-0.1752242260445428,-0.1250741699886363,-0.08933896189073402,-0.0021558016616273212,0.019373049515751646,0.23675213430184433,0.14748566269533675,0.11198651561043156,-0.7732893095248843,-0.41455167907822216,0.06235656764793392,-0.6809115713645277,-0.4649226867485728,0.32031808345809765,-0.0737435953100398,-0.22898355147324354,0.21287865722871255,0.09854663067382888,0.1199410437931317,-0.21342102281331476,-0.08048259527305428,-0.03378170145233917,-0.3243681679015126,-0.7397627079257068,-0.8356626657349778,-0.34123036876969914,-0.09389659753892397,-0.37197948348754967,-0.2226840507714009,-0.4519221947091201,-0.2604161525098219,-0.8123814634806517,-0.16984171435011053,-0.2811692070578801,-0.2984347340413537,-0.23004346438957585,-0.3232662608929106
P1V1,vpa,-0.23618509772342652,-0.11645697853860307,-0.1373244789227312,0.5833540399455429,0.4001182058264864,-1.2961152557726663,0.015707968477164477,-0.18286554692179796,0.5444664685725243,-0.1057008266093549,-0.017350082595940636,0.010480197360054372,0.018861440069148777,-0.13184819058005215,0.5394142961268393,0.06170440643796539,0.11066547946219414,-0.2867109543494257,0.10612936227630375,0.0912749630682903,-0.07983038042178509,0.08250684507776251,0.0959536122835945,-0.23540886659843596,0.35392687577592963,0.08943950596653838,-0.3242957749673128,0.18708737243020976,-0.8796180128053737,-0.3777707423764457,0.07520232466207967,0.11061332249262519,0.0964833521885097,0.13334851640913475,0.4919632503455905,0.1756180928733425,-0.08073631229094365,0.09689263737515949,0.04882101559906926,0.43679042410683466,0.1723004317446536,0.022465790702504537,0.03851447172735906,0.09990931560868267,0.11341109172543515,0.17311741111556272,0.08536138742070253,0.06941589582619569,0.022061632135769532,-0.02239246809101686,0.6006503988914622,0.11901885150992125,-0.10326166502475506,0.12551305436067578,-0.16403534924059054,0.023130052774579885,0.041937987330019855,0.027412660602734822,0.08999131243332129,-0.011969340743544872,-0.9580212056208788,0.152395142345724,-0.05384520038247874,-0.2548808120534949,0.3662984773879524,0.07152998296983079,-0.0015087884504184235,-0.1689768709165134,0.29736342832225066,0.234945712453563,0.11125159925020205,0.10534609035139708,-0.42368108126570936,0.05607012642518158,-0.566480217702406,-0.18671093374911302,-0.09304685369659935,0.13274164633132313,0.01911436295170401,0.05422677780659491,0.03325853572717516,0.14515463305556364,0.22034288129130492,-0.07399498618544195,0.6319464277358245,-0.11158194626841587,-0.021607700693316474,-0.04851152409803272,-0.03613744255024672,-0.03483959798327116,-0.8638616563375388,-0.08641457819052158,0.6505697328357751,-0.3473258787888162,-6.55926090574268e-4,0.21152397346436186,-0.16100402306862027,-0.15126169407699136
P1V2,vpa,-0.07664667648063533,-0.32715892833328947,0.26772846141467105,0.36498945151760037,0.22584142565961382,0.6147443847725238,-0.04744047664326439,0.2421558315915166,0.11029579486733415,0.22883114767619497,-0.05804955338669275,0.19406528305864398,-0.39496437051303046,-0.08645667292652617,-0.16043953841510478,-0.529227283493897,-0.16894320991410394,-0.3627205524711891,0.03508925015710605,-0.053712620124750435,-0.14005457234738866,-0.0013197190279865345,-0.024477628067914543,-0.1357779984554063,0.29232563490018704,0.025747878986751727,0.06416444251636003,-0.25298537057971426,0.3317697392907859,0.06004309929427033,-0.055688268573879485,0.0909173252602975,0.11678879126780253,0.04986518395898193,-0.5386435979805462,0.09925362637224176,-0.011262743247790367,0.0642139838377519,0.07678009931480673,-0.7175699149954761,0.18763684423745913,0.008178417176033728,-0.0024055490535763,0.05239551260100396,-0.06019909438146016,-0.17704060264372598,0.03429358192649833,0.03805727290484283,-0.02281807125136466,0.05955906949472541,0.7356128595060524,0.11738706987621308,-0.11875190840423547,-0.018436156158549016,0.02989129617991397,-0.05744751379389694,0.07952369678144373,-0.09210249881416581,0.06323153453634489,-0.0862094507328898,-0.31948488576350437,0.39221406302151707,0.19555613337906247,0.14603180472193883,-0.3147608488542936,-0.052775951731403065,0.15341559265160254,-0.04980020111883115,-0.5293004477014752,0.5317919117907626,0.27178751351224184,0.32146698031363996,0.08316083101912053,0.3828883210846123,-0.3877591332860248,0.2553078274384145,0.08686123816794321,-0.13208413045002484,-0.0872022735166857,-0.16028099134547769,0.3131246575339307,-0.029669153779377115,-0.7774494125432324,0.24720900446627242,0.4626222711097935,0.36877505112655956,0.20921973959925252,-0.05365650672565998,0.27662059723646926,0.162856145866191,1.0492379157527183,0.32811902181726027,1.1966787540525303,0.19977740655365445,0.18212429276893613,0.2239174430059987,0.16217981714907675,-0.1308149840812975
P2C1,cntrl,0.337869897208518,0.3282816613932891,-0.11808540371726296,-0.6551519981970093,-1.4359256367623043,0.16570221251940515,-0.10488181636380252,-0.2314383350595991,-0.4052399183546065,-0.1288338409243149,-0.022128429501736244,-0.10299017180949033,0.26290662824846106,0.07031818033067477,-0.08651825947901738,0.1805422978221863,-0.344257570545798,0.20140305719134477,-0.05355116692513456,-0.010406137145102043,0.2315228132622934,-0.038627489623534156,-0.024596899646031265,0.4080177033322596,-0.25927114776487714,-0.08780982247054264,0.29915063820554033,0.2908965604542487,0.09608497485888193,0.12342914364221716,0.1116670066791848,-0.10109511232307881,-0.05524671612587772,-0.1629888854537198,0.38390272657335545,-0.34634184029505655,0.09520819573715533,-0.013744043422229239,-0.3335266352381496,0.6905151409314252,-0.14627922916402436,-0.05398041060307506,-0.022766311704106135,-0.06859441594191755,-0.009186077653406455,0.24120896236016132,-0.058408664123347005,-0.07815713994439993,-0.08042199620296794,-0.06054996721390192,-0.4849260776774009,-0.09724264531323867,0.09685464912457764,-0.06110096326470077,0.026224155522800035,-0.011106796566296984,0.01443123335561139,-0.014451554809550127,-0.038635162080129085,-0.06979217428632753,0.513144457790312,-0.012237241211524516,-0.14125886763618573,0.038846287534750945,0.22286671214004752,0.1699702984287648,-0.3581570257487033,0.1977957140864957,0.02396687414886712,-0.48971890148725034,-0.2281525692763504,-0.20675994873365092,0.007820946790238412,-0.11371779286984139,0.54740582964799,-0.14498933686605497,-0.14260317139392695,0.1612093099764921,0.10797755374576137,0.22941801393140127,-0.1112611604252545,0.07544820361803367,0.4503390627398982,-0.1750844533630043,-0.5908265008029201,-0.30061640385510446,-0.24375980291352164,0.02042466794032714,-0.3540403908535769,-0.21696551984079426,0.6671829238236849,6.862152874921937e-4,-0.8952915150984495,-0.12295491383894429,-0.09290818739527573,-0.24545120295755135,-0.03576737292981172,0.30323072851264704
P2C2,cntrl,-0.11433123419282595,-0.08033905782603859,-0.07585168121698978,-0.11036320663491161,0.8233113690857334,0.1881344495571683,-0.048922406157421154,-0.04831940668438883,-0.16720566639743928,0.006882768688156654,0.003826185592755979,-0.03115376074339754,0.07010692532647866,0.003687627255445393,-0.25558727565492023,0.3134891511179009,0.08501871734641347,-0.041106067415446715,-0.08719064053496342,0.024358275945826548,-0.08983740099748426,0.1229210747234572,0.08042887424561015,0.21623668616697048,-0.1569157165602613,-0.1235971129469247,0.037364891603860154,0.037292352650386246,0.0317750875290128,-0.0697890771291463,-0.20999675399974377,-0.0018013244968915904,-0.026150601238903178,0.008667982354470319,0.1394456648835466,0.19583623663016198,0.07838909167595068,-0.031053902608672808,1.1858583833132541e-4,-0.3492211862162658,-0.0850765388283997,-0.02178148026957292,0.022412541417267885,0.2731951256140457,0.1351291447272236,-0.20293441928757044,-0.026109390776726884,0.05377371713065782,0.1321022327042643,-0.012788335365220144,-0.12655808100574215,-0.05474793335491934,0.081605358872333,0.09649721898616015,-0.007819790529212098,0.03604988844810734,-0.02564743453374029,0.020792645145490726,-0.13583886281998442,-0.25325828713501725,0.2792506698385252,0.0038971486590857612,-0.08898381656172451,0.25971493266501344,0.024799280718657807,-0.2719157620215222,0.2644032941012792,0.02476853873307515,0.7959741027962293,0.017794289590244608,-0.07869098009718654,-0.14297392532029976,-0.1684334910766597,-0.08774656371406649,0.17392912271445338,0.020647746363651853,-0.19191136716083837,-0.29222264372352125,0.04587361871473286,-0.204730133920363,-0.11486284301294056,-0.16963898477531572,-0.2582668648946577,0.040324513853120754,-0.18605045366716838,0.18325048638058222,-0.02688290791250675,-0.016993507914417404,0.0051093764354195395,0.023212289712987423,0.17025823723377856,0.013485445662899803,-0.29729770524341415,-0.33856410275660553,-0.013692885815051962,-0.0907806087186502,-0.055454907372945575,-0.3570353447245562
P2C3,cntrl,0.0849884096809553,0.02299396538465918,0.17139740893030264,0.13139919246100298,-0.26589536962125865,0.3289580612881583,0.01026192907676771,0.29536762525149873,-0.10490628017656929,0.15585792216590633,0.025638172736975634,0.05964027113210661,-0.057198130904852124,0.05780285914021428,-0.1224642158504145,-0.29193244230064586,-0.05609979593301968,0.06782423206524248,0.02221291774705752,-0.07032688528744031,0.04123358258610571,-0.08322276834157075,-0.05712167156547741,-0.21870594501732155,0.03888077430135256,0.057329315623949176,0.061349126718151556,-0.2521121614911459,0.44917416325197357,0.23579732184281404,0.11208316790413117,0.006673514199465731,-0.017662370173291538,-0.024005513972957283,-0.5206194513795559,-0.09140068290119414,-0.05764079597302035,0.011079056092168,0.11323453574815183,-0.31973194298381374,0.038265923294174026,0.03998975719192241,-0.010725432459011893,-0.15033173079963982,-0.0825432305693288,-0.037544233744371235,0.021219158206390875,-0.035293290186327965,-0.07132571105313971,0.04528406877455549,-0.046110656969856806,0.0249164151126876,-0.04257604774505358,-0.10669185433178979,0.1009045454778654,-0.040332147262660684,-0.02709841083530356,-0.03786488713563298,0.06837395360102502,0.17370294723062357,0.2089988369686015,-0.015744075216653858,0.19398275849414298,0.055566444524522765,-0.3262037825894676,0.1333142366644496,-0.16573744136548196,0.059787096912015475,-0.8162609657174043,0.02355122909086879,0.1011882141737815,0.12623117125159733,0.37950889116379183,0.07519731724499855,0.05670322714204051,0.1151796346938204,0.2223175266027776,0.10438224683525876,-0.07900372524012243,0.04622593548471595,0.10493648932922608,0.012552901515827622,-0.2247647102925988,0.09352503244249372,0.011377475462939907,0.038520765615050384,0.13609962044982907,0.03635182044557675,0.17132767573149668,0.03288057606797714,0.3952665889857242,0.04725097609985027,0.18153279137680076,0.3990922665032572,0.04933471356536431,0.038433306223776977,0.16258051466320209,0.07378866512279393
P2V1,vpa,-0.10731411059136264,-0.17368134411259317,0.0664962647005326,-0.025524178847535085,-0.15513335811849255,0.36643288729709866,0.19876202728172943,-0.2722217222591845,0.6116117846467312,-0.22496847346401164,-0.05862959850173481,0.07825305370341096,-0.4782308803948421,-0.15131782717735273,0.43521562813119663,-0.42688584451888817,0.24969866273486796,-0.20704005254170654,0.11524335938400686,0.09655068576134934,-0.12371837806199225,-0.1837576501919778,-0.19512492116741392,-0.019911971587630955,0.29861375294793757,0.1457721397556373,-0.24134907701647604,0.0945492154737782,-0.5029498466536063,-0.21704307051900323,-0.08998987797571423,-0.07570199199394231,0.15644770002506167,0.09150396717674557,-0.10782409367152876,-0.0429928559696578,-0.0014581910584179868,-0.056985537980896214,-0.09497730698716927,0.3339344643743257,0.14656725712892282,-0.06234535016246121,-0.07438543572875847,-0.41864724995946767,-0.33188704857473506,0.11058165309148228,-0.07544180797647175,-0.007842314857399947,-0.028738486846427033,0.02328285360828039,0.5290033788507117,0.05669824882889882,-0.10822328265023462,-0.006301281885642544,-0.14114193940640402,0.049163404474658286,0.16760806801016243,0.027608896625880727,0.11811318733439027,0.20606776691464268,-1.0119709420674892,-0.06895619599445449,-0.14721027609582887,-0.5452440268851113,0.20711915263992028,-0.06555689875302467,0.44317136809850505,-0.33495100177334713,0.21160745423102006,0.4407917617555867,0.13425019170357697,0.12132107900654157,-0.15730880547569578,0.22904438381078868,-0.6874096405910048,0.0966947517079968,0.004690307711356106,0.016794205256042666,-0.02636545791793219,-0.0024450040083903776,0.20844641456643245,0.17464533175849412,0.4078702679674712,-0.004481227538322826,0.5600738859786705,0.19073312602688208,0.028527336430315842,-0.028953651102591776,-0.01868482070706729,0.2327314050870349,-0.9523378678826518,0.010145675263762415,0.8395041876840168,0.21893428353333366,0.07526719531972267,0.20887881401778674,-0.056779428620576014,0.6903779809111074
P2V2,vpa,-0.2411715165226271,-0.08005662079395193,-0.20073992094015053,0.431742020386746,0.536233909603801,-0.5510734013211839,0.038825086738537025,-0.1547391555014757,0.1251097065608654,-0.04212402736264652,-0.11698935312638237,0.02742617475221784,-0.11288919912738499,-0.17451718217018658,0.32804045804545134,-0.021054048367379716,0.13277943833982647,-0.059616711484187596,0.09864857172326057,0.0681749167917173,-0.010240788006845615,-0.1442864090265671,-0.1553928571806553,0.012589156043726516,0.3123021202998497,0.09228650993299889,-0.04878216809319224,0.005635571956775706,0.0016490940256085052,-0.10070919428276885,0.030338755925511992,-0.061672198198264375,0.17050338165286852,-0.07176020634365979,-0.23189178565366664,0.06103991227606344,-0.04156505549417816,0.03391130611747953,0.052532981254707276,0.3474691814991274,0.13819499330728952,-0.10888441071128879,-0.06139009001866474,-0.27783756870910753,-0.38429774636761027,0.2367088152655321,-0.09599356049681533,-0.0740086019488411,-0.041425571776667953,0.0050682465383615136,0.2869107306578216,-0.01562688160690254,-0.1334884112008604,-0.021323602147040235,-0.18095478358639128,0.039890758988276875,0.0022726125480727055,0.027034302348516333,0.11673158149150756,-0.01120661405474544,-0.8195841821284346,0.018309617369676887,-0.041370044751857016,-0.18717917478426527,-0.09823587027872001,0.015279064058034404,-0.5295930301188768,-0.14264803872312823,0.026210577899228434,0.35148981772598176,0.16837116816174946,-0.12249744721163153,0.21274260107880738,0.2482297920169581,-0.4500063530942748,-0.07558496739629382,0.26299492118032297,0.009910827109045029,-0.08427850165748837,0.09198253554665939,0.0429179933824505,0.05849897187615298,0.8833741552150913,0.05667159315330532,0.6192021114176088,0.0044728693963494714,0.04896053224317354,-0.02069272417780395,0.11728954295808958,0.05298114678456974,-1.2404496048707272,0.25160501863561335,0.5285878665055381,0.8407943530791349,0.06935772926609561,0.1938621098390234,-0.04252327427763661,0.22176205698021934
