Samples,Mode,Diet,Genotype,Set,Type,Litter_ID,Emb_position,Prot_quant,pC1,pC2,pC3,pC4,pC5,pC6,pC7,pC8,pC9,pC10,pC11,pC12,pC13,pC14,pC15,pC16,pC17,pC18,pC19,pC20,pC21,pC22,pC23,pC24,pC25,pC26,pC27,pC28,pC29,pC30,pC31,pC32,pC33,pC34,pC35,pC36,pC37,pC38,pC39,pC40,pC41,pC42,pC43,pC44,pC45,pC46,pC47,pC48,pC49,pC50,pC51,pC52,pC53,pC54,pC55,pC56,pC57,pC58,pC59,pC60,pC61,pC62,pC63,pC64,pC65,pC66,pC67,pC68,pC69,pC70,pC71,pC72,pC73,pC74,pC75,pC76,pC77,pC78,pC79,pC80,pC81,pC82,pC83,pC84,pC85,pC86,pC87,pC88,pC89,pC90,pC91,pC92,pC93,pC94,pC95,pC96,pC97,pC98,pC99,pC100,pC101,pC102,pC103,pC104,pC105,pC106,pC107,pC108,pC109,pC110,pC111,pC112,pC113,pC114,pC115,pC116,pC117,pC118,pC119,pC120,pC121,pC122,pC123,pC124,pC125,pC126,pC127,pC128,pC129,pC130,pC131,pC132,pC133,pC134,pC135,pC136,pC137,pC138,pC139,pC140,pC141,pC142,pC143,pC144,pC145,pC146,pC147,pC148,pC149,pC150,pC151
set2_pink_730_L3,pos,1percent_Met,wt / wt,2,sample,730,L3,44.9,4762.646408,60078.51336,214904.6225,696993.1022,107208.7995,108785.1153,107868.7102,29379.4228,28642.24391,30177668.56,320426.6156,31781.83227,542623.2417,49503.20701,34683.14074,293021.4468,5407.390519,6948274.223,16131.93396,1227708.59,9797022.951,390190.6028,205519.4155,6548249.719,4571.41192,353776.7926,21764.76417,13499.71549,19842.85408,84022.68368,83885.26929,4375499.659,1897933.625,1281657.764,489468.0438,303407.0759,461802.6408,606478.0253,1942035.519,5202.286704,64500.61522,13075.40803,179319.9885,288683.1604,1090012.211,1311791.718,26229.98542,2760026.647,1132262.956,86569.52162,1815.700234,411.6478789,8244.354111,2192450.724,5923.567252,19706.74092,340002.1579,6209852.167,1310880.107,18587.74449,76239.00826,6534.035212,17431.84347,5230.868092,1985846.728,11271.2246,21260.74432,992.191208,516220.2816,58994.61046,6284600.486,2641.520351,5097817.612,107924.5838,39328.7127,1500137.943,406038.4675,26721.73639,65528.87798,386708.4333,192245.3463,12724.30903,13343.90938,8036.203131,1494.8228,55636.95061,466835.2817,24136.62837,58902.66428,12842.2294,621421.6243,636.4287733,114999.4423,59712.06085,8357.754084,572734.415,3439.868863,4603.002408,235358.2238,3438.355171,12465.26527,378706.8129,2385.090206,39565.86125,25929.63937,3613.681724,909.1585522,1013678.306,3529.659546,68321.8678,199051.8544,,3206.008139,9948.164181,4044.451982,207.6025991,13709.6423,43530.54731,1249418.236,37482.46264,75008.2728,8844.942627,58058.72257,379258.8357,28029.91146,21108.75199,620.0820384,54021.56077,108522.4431,46305.34721,8994.41986,8816.17503,56336.39906,2071.368244,1530.479911,8845.73596,,58410.48823,24484.48932,9775.979657,7277.458573,36049.161,4457.763831,8159.295571,211331.4881,17117.99569,174185.9401,34187.62386,1209.39686,6515.387144,8701.373363
set2_pink_730_R1,pos,1percent_Met,wt / wt,2,sample,730,R1,25.1,1724.022136,264063.295,196938.5001,570590.8347,18158.10567,18815.71399,18130.96655,40907.14385,40714.33686,21800017.9,208838.567,41505.20603,445715.7655,68357.01522,33518.8026,499436.4721,7705.772019,6937998.236,11364.57723,1110586.716,12490115.44,332734.6634,114989.7093,5196092.965,2430.198462,153057.0736,15053.43457,14144.78019,29010.40237,2348.454139,1545.62449,4075820.755,1603583.44,1176310.201,401805.077,209002.7106,499920.2335,434917.9483,1927818.856,71043.46364,29929.18428,53386.37427,135493.2904,214878.6074,599361.8536,1345774.067,46216.63468,2094028.967,783307.5599,117331.5742,4585.167066,494.4349579,6201.061349,2179348.17,6188.090368,14287.49964,286377.4176,4736634.897,1180350.628,10528.50058,52100.17836,5744.698479,13264.54781,2086.30532,1934740.263,9722.93586,36527.52369,773.9157696,511805.3222,51778.99155,4816942.434,5798.664276,5791513.747,97599.82416,12756.20233,1081005.299,291256.2418,17541.93393,131256.2436,353253.5191,142804.1728,6244.350866,11190.02636,4355.125163,700.9286579,25252.5511,262558.2292,23073.38734,31315.27826,5778.549607,885007.2363,664.6229686,48108.81261,31631.99582,4984.584332,252580.754,1187.130407,4731.615532,57711.93077,3413.14153,15669.38552,545033.7317,3631.1251,77304.1046,21379.77076,8717.360173,1264.689005,805506.2018,4143.866082,48938.82597,157420.0072,597.9733801,1393.083322,2544.067515,2547.989449,274.0763878,9371.965491,23989.38273,949315.4943,39770.07984,36025.06457,21550.73153,56038.07581,283164.6102,49823.57256,25529.79108,913.5924796,64531.61389,252915.0544,26748.63096,14959.47205,6594.823156,10605.31772,7569.563889,8517.216395,3288.893924,219.4224828,148084.1124,16558.4546,7216.713277,5128.028845,32318.38765,2506.395765,6053.584469,189509.9717,6730.366512,189462.3164,45002.36756,3281.734335,2333.825929,5202.465344
set2_pink_754_L3,pos,1percent_Met,wt / wt,2,sample,754,L3,42.8,3715.796954,74218.13663,192499.717,808835.9977,31507.81676,32617.14444,32097.08691,41442.77647,40792.91626,33010476.63,314263.8137,25569.26551,510773.3059,72437.59472,87361.92872,359001.0569,3014.570058,8939051.886,24462.74639,1263319.858,9170726.917,523502.8549,175706.21,6782235.834,2278.746653,42568.17809,23054.78616,10976.74586,23220.28252,125343.7966,125282.746,4600771.235,2236909.528,1420770.394,385092.6798,555255.3592,626057.0863,372222.6371,1609291.32,4727.373229,26531.42872,14358.49908,169759.731,324559.3742,1740687.917,3150115.27,21613.55002,3771893.337,1052636.956,191998.6611,8461.917072,421.5626555,9044.37436,3450719.728,3145.381992,29675.29012,417202.505,6829677.697,1636076.723,12199.34379,106606.0605,671.6883186,10417.3997,7503.226101,2863100.537,13206.075,26323.28697,1414.051423,738686.9734,72927.65553,6527725.038,8657.074467,4021800.091,159910.1305,19292.63712,864272.5969,479626.9757,32077.81207,176224.2399,379170.6234,406098.2825,21714.13243,16751.13005,4252.345972,4919.849799,6482.466634,234844.2357,5359.093843,26588.65068,5702.225842,797334.1695,2303.294288,77163.6423,8183.528582,9014.536932,162369.8872,7336.176117,9709.357674,92695.1232,5721.462444,17783.31382,405070.0041,6.389543189,16849.88261,26037.66631,,1521.355501,1010417.666,11433.03816,35412.77232,88709.62568,982.423026,876.492836,1438.240002,8506.605507,294.0262045,62648.04061,33387.75311,1046253.805,112766.4148,47198.9845,20993.63404,45596.68294,382707.455,35437.55271,19193.88941,1259.795358,97060.81968,252881.1204,49742.68421,29980.2089,39866.02686,19538.69691,9270.803238,8534.560143,13168.52777,,235295.3423,47846.87351,6244.89414,3813.887722,11161.06775,2132.302399,9230.359199,177215.1,34683.71318,171254.8419,46698.3783,2895.132927,6081.906078,6299.343787
set2_pink_847_L1,pos,1percent_Met,wt / wt,2,sample,847,L1,28.5,4551.995315,114514.695,191481.2901,802328.3292,25103.80841,26020.23924,25502.31808,43788.13407,43333.35582,43219497.57,320353.1024,38038.27288,510919.4202,57971.04527,31284.65475,313022.9701,10849.06455,8600897.461,12094.27295,1235652.582,9501906.807,456458.43,193651.4622,7122594.839,2448.061522,57861.59943,23791.95122,13225.86786,17424.04075,94697.40963,94394.87848,4096390.665,1805526.753,1411076.879,437470.9436,357981.155,373350.3841,717164.188,922403.1368,7195.823669,277798.4417,15711.9435,255393.7081,266390.3361,1338092.377,1365440.662,18310.58919,3660387.068,1106438.793,75435.4208,1377.942997,554.986081,2695.376336,2423039.11,2861.233697,14167.4854,322860.2794,5680457.263,1272154.942,6190.858026,69580.59975,9631.760545,24068.93137,4942.005321,1755969.428,29449.28917,29333.13288,1546.774604,624240.4259,66259.6005,9115751.1,3528.036293,2055164.969,96269.3884,18570.2356,866224.0556,331670.0706,15071.83354,133524.7716,166421.6535,203252.2302,4174.73419,9990.099468,14125.56386,3442.371434,11738.11675,161676.2487,7507.973359,19384.80213,5572.412223,1648466.646,1671.520741,30536.06793,82694.86861,5884.917828,103988.5171,2847.645788,3048.790192,67754.4598,145255.7194,19749.34406,458803.2312,646.8731947,23194.60892,31902.12402,1834.458106,3679.545232,1269195.585,4660.879448,83888.40743,233590.6683,1722.115632,4097.817468,4076.455281,3927.294585,474.3610728,16422.39906,31698.56356,976235.8815,274535.3274,45392.65362,16146.68404,48382.68883,853899.2429,58555.28207,32356.20363,3608.051201,149338.3005,329960.5793,15530.47962,30530.7864,15154.75872,121083.0043,4514.236297,26301.54225,19772.00957,1519.738834,423966.2849,70838.87297,26369.37957,8834.954164,26628.26531,5644.325442,9038.991174,315593.0197,83144.67268,375359.3148,43291.36342,22838.32592,5340.566458,9512.228538
set2_purple_552_L1,pos,2ppm_FA,wt / ko,2,sample,552,L1,53.2,5185.635948,70914.41557,206060.7984,954161.4721,21003.86447,22158.10529,21549.78551,51812.03818,51188.28611,31873879.12,403021.9243,31623.35058,674562.0268,126186.6641,80993.26008,307831.2355,5810.328543,9935421.244,19773.0865,1481754.934,13729138.42,550768.8801,203314.2206,7145140.082,4134.921946,104379.0694,21186.19345,10267.01648,28388.294,139857.1391,139936.3156,4878491.676,2559578.077,1750129.612,649089.0366,453443.6946,446907.5513,602209.4628,1047761.943,6315.778864,25768.65869,125075.7968,257646.4152,304989.0989,939393.9437,2342139.324,26473.28483,4729947.472,739318.7988,186330.7171,3870.996737,730.9468572,4901.925889,3209263.309,3510.068999,24906.32198,530080.8274,8753610.541,1705425.595,6399.204687,114241.1506,3610.741702,15354.68196,9901.478557,2422340.521,16778.68145,54323.4805,1544.582092,810760.0693,85207.35071,10099150.99,14980.85666,1843006.243,147271.8891,10228.34218,1967190.014,481729.9103,28729.19461,193932.8944,427300.1439,393600.7425,5081.683506,22361.78751,7935.639039,2764.408223,17653.78111,232249.1071,5289.04739,24660.48099,5915.509801,1186716.559,1205.877207,23336.40564,10162.9475,10982.55703,79101.42126,4286.795919,6609.630329,58028.83481,1483.832083,20863.78246,624755.4925,2271.612789,12279.93775,33516.19946,129.3006721,4514.97926,1750610.087,4648.467651,52817.83641,116490.132,2407.355214,1711.026556,4107.962311,2946.045766,500.5390649,36255.94222,31120.30675,959308.0765,54451.4441,30282.64061,25370.25228,49000.28271,687051.3628,107413.5422,56194.43233,2217.148218,127041.7638,368392.3113,57543.81297,54499.31179,36691.52266,50892.50404,5611.269832,66281.86039,11624.5164,1150.38331,777368.2449,118013.9928,19921.51551,9979.599652,8755.2272,5790.291393,10211.71252,352487.3545,112838.8446,367735.1774,58206.41813,22145.23015,9560.406127,9413.501003
set2_purple_552_R2,pos,2ppm_FA,wt / ko,2,sample,552,R2,56.5,3484.357254,67400.99422,185523.4062,745441.4516,23239.11226,24035.76758,23586.55089,39700.9155,39154.16549,29534567.96,339596.4279,28839.818,540266.5153,57040.10114,31552.15217,189084.1736,4603.843351,8124320.536,14604.17267,1048912.662,11773792.71,387818.2303,165535.1055,6073745.794,2534.786555,55793.98938,18628.13524,8897.615455,17484.57036,104655.4686,104804.223,4207354.562,1753533.871,1195012.616,479889.7704,293693.3927,416792.3867,504460.2638,618969.0898,4341.724772,21213.50441,10767.05275,214296.1264,262119.6742,1254417.096,1657718.22,16056.92892,3433167.795,544958.8355,62042.02001,2462.163085,848.1587864,2665.120606,2184578.992,3288.989368,18326.71684,464745.3209,7431350.14,1161979.131,5316.041271,75411.93449,5981.594934,14216.76762,6413.120883,1923923.624,11074.61006,23564.31399,922.3579334,513192.0907,54558.69152,7602090.607,3535.493172,2364274.235,105410.9845,13575.13431,1768910.173,314773.2697,19997.32762,133998.3893,497604.7398,279799.7578,2368.883007,11395.22963,5628.873117,2548.246507,9980.494935,157644.0202,4801.937888,17401.71957,4225.178657,1302533.225,1247.306036,18169.58532,13968.35804,3624.821946,71060.5068,2736.618661,2300.929642,34233.49521,322.414244,14788.76818,549704.778,6185.832037,15572.33466,27159.27293,423.2124608,3761.641568,1111220.316,3008.007834,48130.89352,107967.9172,1705.001838,3418.674678,1706.479637,3418.608477,357.4302489,21393.69997,29353.64544,935897.6815,39355.36143,26680.48866,13226.66192,53332.12043,470014.3609,82001.73345,43742.62468,2473.240799,110834.1863,328316.0512,47142.67521,38995.34519,17580.2383,46405.93746,4435.732008,45701.07065,21618.78716,1036.674818,510595.8643,77836.34826,16308.40677,9109.778713,32629.2537,6234.138935,7799.449511,319365.9603,71695.3675,326040.643,53806.93323,13512.9716,6742.162381,6920.273031
set2_purple_552_R4,pos,2ppm_FA,wt / ko,2,sample,552,R4,54.5,5137.074696,108572.1035,162749.8191,714372.1161,20803.07689,21849.29584,21234.95645,39522.19706,38934.56071,31572904.57,292558.7772,26923.95503,505641.8051,126603.3481,45126.14603,193395.5059,4879.622598,6421210.777,17144.88568,1090820.316,11241663.1,392162.8977,122564.7186,5807721.25,1988.104238,103422.6387,20093.7772,8471.489584,21687.8676,94010.03998,93710.07594,3557021.036,1825405.029,1173764.672,537448.345,318454.278,425194.668,487264.121,665782.3514,11606.31541,29794.33296,14311.90744,212307.1182,230960.1194,451195.1528,1409455.59,21699.68446,3514742.765,588100.5479,172234.3234,4159.218681,964.3572764,3539.29899,1884651.643,3263.74265,25220.24537,330470.0278,6434659.001,1210371.047,6322.021691,80014.61488,5033.098904,17463.94293,9913.611485,1630441.911,13023.83828,23576.38214,1638.72705,465361.8769,55266.66245,8347594.186,18174.54355,1097394.757,124199.9044,8061.282075,1383896.605,365028.8736,21857.467,152047.4899,331682.6241,221756.3337,3539.165141,29137.02459,3398.013199,3563.853693,14617.12253,170359.2902,4789.937091,22964.74937,6225.151716,946727.9,2279.760349,26394.30702,11891.7031,14932.63261,85202.94569,4169.564287,5505.192006,65980.12333,15760.41599,19378.64254,487599.4006,5984.217506,12636.46231,29891.71102,193.3064581,3165.264725,1201945.219,3746.418129,54119.83018,108184.0337,2014.146529,2200.946026,7059.269722,3681.534472,203.1108427,33640.59448,29560.80999,596246.4178,45870.72768,23282.1281,18490.23897,35183.86432,485213.7688,82559.19003,48615.30607,1592.097278,133915.6803,221211.4367,43563.57562,29392.6662,23905.40118,51962.66985,5682.611896,39258.90699,14281.70847,1133.510905,544876.5197,127233.923,7690.722509,9622.724483,11747.14664,5147.288307,9361.012376,274688.5456,84580.59632,314315.0962,61711.41422,14259.13412,7136.056055,10028.21972
set2_purple_573_R4,pos,2ppm_FA,wt / ko,2,sample,573,R4,61.5,4626.865999,67023.87644,199538.9881,859044.7874,44138.69566,45248.76742,44870.728,34071.35555,33632.65509,38599467.63,286734.4101,94898.57677,380643.6423,65280.42623,88900.34561,309546.5188,6363.766008,8211945.246,13825.3401,1427971.035,11701593.83,417115.4772,176013.7754,6229606.942,2500.716636,87936.7984,21161.40284,7135.883424,19553.7431,111916.2823,111785.1433,3875662.965,2509747.681,1435463.989,466690.4243,463206.0803,293320.6646,380387.4859,1345029.102,6212.343177,21037.82905,14171.78262,207136.5284,264384.2403,1906237.503,3033302.659,7738.892049,4080804.886,664705.1474,204831.1383,9269.286559,997.6947486,5297.865345,3347311.25,2818.547356,30417.79746,431098.792,7900125.171,1661664.231,6267.263705,132905.0649,358.0926825,14685.70623,5871.103487,2270434.604,10918.93831,22970.19185,5389.295534,697086.2688,71118.20509,7456839.855,6856.364669,1765804.627,138851.9116,10097.95429,1357195.491,470132.8384,44585.61613,141317.256,275242.7528,356179.6429,18241.82009,16170.57307,7130.385198,993.4650573,13860.94986,201023.3869,3814.703527,24240.17954,4466.707456,1013828.929,1481.886017,28568.87518,8635.956192,9895.325412,127016.2548,5387.090335,7689.437582,72274.71653,6985.374913,26251.40577,524478.8668,199.1340676,9034.119431,26032.33425,,2658.549144,296339.3039,7836.872189,24330.20362,64055.71094,1087.109268,1439.571149,998.3416006,9890.806877,107.0646326,38973.48515,17210.84339,717547.5909,37885.03956,16543.43045,14181.25815,37261.10296,395361.4217,46405.21778,23763.12757,529.1921832,57885.87537,276905.1146,46926.83335,40874.70232,18531.5838,18910.10551,2760.313566,23904.96854,17788.25901,231.8651524,341649.1417,61044.96577,4715.252772,6510.806305,18966.42015,2517.39608,6783.180515,205814.8724,120063.6307,259063.6219,38064.65496,11979.91079,1788.772599,6007.407995
set2_purple_608_L4,pos,2ppm_FA,wt / ko,2,sample,608,L4,71.2,2470.460338,56124.93168,170399.4881,511813.6086,40309.58056,41156.03819,40731.88575,34970.2594,34432.18142,27892662.03,204560.0234,20760.6938,348204.1074,58944.61485,31328.59171,166638.1197,3680.152996,5172709.834,13340.07149,574175.9747,9683774.722,265344.8255,141640.0322,4708340.626,2390.734997,86600.73433,18224.06281,9584.479132,13155.64853,87618.2446,87622.89937,3494963.591,1092129.832,713818.6795,488680.0135,218121.9987,288093.1991,305383.112,878386.8364,4974.810867,19304.12473,6349.685894,173060.5447,247992.6582,420074.0831,998384.1519,4951.644295,3065144.778,356453.0258,125194.3284,649.8750322,544.0135779,1455.358623,1450515.4,2791.366974,12056.20535,422314.2134,6700612.252,834609.9396,7452.12436,62831.42476,2032.0756,14307.36848,2715.768108,1066595.083,10698.71891,21158.47077,366.3234168,342286.3139,36911.28578,6090821.85,7474.893801,2152027.241,70464.49839,9625.294779,1335494.056,253474.0797,25768.519,88355.20259,309632.1162,213437.2843,5405.84341,12377.30431,4409.876769,303.5657236,14449.45734,219848.0767,4998.083884,23345.74087,5550.896853,561605.1422,899.8949992,19745.76398,12694.93832,7619.177134,123012.7682,1951.879213,2782.127775,61803.45006,5792.97244,34510.47487,430539.6267,1939.598253,10398.07262,22418.94395,,1529.799291,796290.4498,4120.024057,38526.73788,87357.56627,468.0922455,1778.501878,1154.912993,2042.022013,67.74029498,40133.35611,30373.47273,875608.0062,72261.21569,28065.69939,12595.34094,48883.35049,361687.5443,58040.96085,35334.41927,1157.949196,93480.1784,218212.6464,55045.27143,27949.43855,25448.93275,35949.46928,2249.213205,20847.42983,13699.71071,113.154506,294583.6737,59187.20207,5268.980768,6728.093168,13258.21236,2870.518025,6102.49167,226844.5861,61028.48858,250907.1728,37914.91938,8798.692324,4668.780712,5737.597308
set2_purple_610_R2,pos,2ppm_FA,wt / ko,2,sample,610,R2,54.2,3377.16139,51043.93826,182278.4699,547958.307,44016.85695,45352.94686,44989.24472,25123.87897,24683.45233,21727538.45,220585.2666,21518.1712,342593.6348,39064.16209,18301.47329,216502.0203,6838.559035,5191944.667,9404.960898,823884.689,9079546.403,230870.1308,156840.9272,4149283.591,1184.7248,55904.00589,14883.64568,9294.396529,19196.89061,1974.243512,1981.826549,3880929.155,1282192.634,796370.8219,322242.9749,175341.3772,163897.0327,315962.1319,1599113.004,3466.568281,32700.87094,7923.082607,75558.03422,168341.9765,1677455.026,916365.7306,8337.480325,2262370.81,418999.8222,111229.0658,1312.839576,133.5685322,6541.103274,1694482.289,5492.796581,11302.54443,308435.4452,5478563.729,967865.23,8769.712046,55943.83992,4025.350249,9567.326008,4264.876275,1325876.614,9961.338823,15444.50006,158.0128857,391711.0204,44240.03184,2651201.094,314.8003746,4911574.751,66915.77201,15668.53606,1228803.737,303661.3402,27173.57614,33059.10427,236840.3954,127872.69,3421.565233,8714.756837,4813.221981,897.0899023,9670.104066,206889.2823,14737.48907,22497.16127,6189.932724,1654418.563,154.8240861,25197.0569,43740.13941,5366.213318,217633.868,1354.677599,2623.055746,47011.93059,7955.314832,18128.70879,423389.8395,3889.702167,14692.2233,16019.71833,1603.375831,1116.112238,270276.4285,2465.678202,38364.78241,126515.0858,,4654.816261,1299.490018,1570.823539,136.2237077,13088.92543,24149.81071,1004134.56,43595.06033,27264.72738,8866.762549,58585.93501,177353.7273,26852.32036,20682.50283,2133.748273,49072.64315,109313.2768,54637.69116,9372.298898,8207.639871,14658.41806,2028.699612,2902.482363,11466.90487,380.6519497,52432.40615,11048.92526,7373.647706,4707.195064,6749.042499,2366.568974,3947.314179,160612.6792,8375.306876,151915.8814,41631.12234,1067.554819,686.7028194,3742.612538
set2_purple_632_R1,pos,2ppm_FA,wt / ko,2,sample,632,R1,24.5,229.9462141,93286.60529,33374.62312,75390.78849,6597.278705,6901.882926,6687.174741,7034.021481,6576.913716,9135301.83,31400.24149,15193.94742,16806.11451,9833.471084,9870.337294,92142.96171,8805.354309,704027.0858,2278.698855,194309.2546,1623331.902,28602.99605,82888.53686,843618.7314,780.1045324,37953.93983,5143.280064,21424.00411,4111.793232,578081.0165,578001.7943,575918.0474,370839.7936,290954.6415,35292.80144,13399.21581,5632.867607,190530.1633,676895.9818,3639.67703,196065.1648,4840.051139,6369.603655,10767.21964,187533.812,30570.96248,260.482053,82406.36715,135453.6658,15923.43829,1096.923717,122.3890234,2554.442626,72288.70598,3689.52481,3633.460687,5903.83706,338972.1934,425464.6151,6184.895942,3402.323163,,,1723.661019,84288.55773,4740.788393,2345.117264,369.6025397,65122.39666,10437.42277,105420.4767,296.4180629,5447533.1,1784.697212,2688.344221,102828.6524,94230.85206,5301.124158,1385.893438,16545.66681,24031.10352,544.6917875,1571.532069,3618.887033,108.0204314,6351.589591,34121.14926,14122.6538,4545.370669,3038.788943,28514.67121,,12496.92112,430688.5963,1050.572,72375.83281,1056.15175,1249.047863,7487.078371,1278.723625,119.9041348,348486.4935,13862.84656,59629.70829,112.1759715,,,1297.126091,239.8804926,358.6029586,3749.906146,,,100.7872327,,,27776.69205,666.5167456,25325.22344,27850.70427,204.3165682,108.1351807,13395.47901,12417.9552,,,,4147.86401,654.6483287,23224.54562,110.3968259,9036.130469,118.6311357,272.2215377,,100.441254,,230.9561689,294.863838,17708.68758,,,,,1362.347317,,5156.551334,73299.70763,394.7910471,,
set2_purple_843_L2,pos,2ppm_FA,wt / ko,2,sample,843,L2,69.3,3865.795593,46258.50528,174890.9576,743849.335,42324.75921,43261.49056,42506.39129,31327.21275,30812.98631,33954139.81,304363.6819,14683.90546,458654.9018,86635.48095,18654.83701,193246.3193,5990.294485,8541252.788,12088.02053,1163864.72,14727995.2,278164.879,154520.9599,5641832.72,2131.969872,104645.9096,18602.98018,7132.888733,22242.48728,136973.9997,136128.7454,3687808.777,1752717.906,1150553.969,418536.067,324063.7117,334672.7973,458573.3195,561937.0869,4271.250585,15528.47973,7643.005914,234752.1056,267259.3277,1925282.158,2294359.534,15021.29133,3003344.236,522656.4868,104865.1933,606.4382892,208.0978749,7605.789286,2527776.228,2816.775468,29673.95318,418677.3971,7247079.853,1159925.106,6946.970259,83796.3556,6660.984424,23431.6321,14197.22941,2311229.228,12003.99095,18484.94278,443.8784717,500266.7249,51443.47784,8917646.504,2192.589343,1134040.279,132687.8196,7524.343048,1134587.132,300364.5848,24035.17351,70339.74497,252155.0125,306781.2047,4436.754153,20610.15893,8208.773273,2668.206259,17732.92942,144408.1225,5450.170099,17409.38147,4036.582455,2270550.253,1461.674975,33246.75623,10177.81419,6352.058845,91303.29504,3387.881443,3865.294405,57559.0304,67859.59791,19034.03233,418411.01,1136.555061,9740.571608,24200.41397,646.4220277,2570.892043,824198.0642,3387.99963,41723.84001,98864.74747,785.4709245,1601.129627,6535.967391,3386.531509,258.2075558,18780.61856,28220.78409,832926.706,115113.0742,21374.14742,16631.44923,47485.23817,429864.6138,88100.4542,51867.21135,2069.040648,99565.04938,234066.2699,29138.89836,32492.22376,11427.49041,45648.97778,6298.852567,64585.63406,8495.205863,1583.553339,546009.609,99155.2387,6162.033176,9543.882185,14886.374,4491.696398,7572.221441,271822.5058,97439.52976,319701.0972,47161.7822,17411.0086,5144.551083,5842.191226
set2_yellow_599_R2,pos,1percent_Met,wt / ko,2,sample,599,R2,49.3,3363.265779,61094.40144,240808.2224,684534.8511,23073.50013,24011.45082,23517.83114,45835.39462,45319.83421,31948729,258557.5833,24896.52095,628550.8763,81017.32474,58470.06967,320619.9063,3244.540594,8498301.655,17883.26298,1017770.665,10544453.34,477288.1826,174893.1385,6918406.803,3889.700329,46877.58209,21552.00764,10561.89179,23598.08986,97690.57293,97701.79744,4610305.502,1855473.181,1193321.218,573470.9904,388304.9961,482606.9098,462710.5387,1121319.948,10110.36038,33637.14311,14943.56421,239782.4422,349396.382,532321.8068,2031380.21,40070.02303,3930953.491,1022561.852,191575.8289,1442.197617,319.1532938,3168.383242,2657935.166,1958.852548,18000.74028,434480.0712,7609767.747,1341392.357,6623.00921,55684.85202,1288.743962,17355.14419,3356.894345,1917564.929,12882.14954,29518.49341,1015.044179,615219.4375,65005.15828,7879098.694,16609.20712,2982303.119,120589.8015,15376.72842,1348321.49,389009.201,25553.14144,244501.4505,516053.3454,313943.6131,9737.231134,17794.43868,6042.440033,1965.177589,7681.372551,180810.118,3262.053784,20776.69454,5174.579115,981691.7976,2011.774176,22233.461,15317.91476,10039.59998,66765.61808,2904.723825,5042.677792,41962.13173,22571.94903,20415.4481,654212.7631,1783.497488,19240.57518,27988.97044,476.464089,2567.711688,1662975.349,9501.873107,33402.32019,76670.06364,1850.018314,2499.970992,1726.679731,5151.325964,515.5957024,55531.53269,32122.61642,872386.4478,36288.02468,32560.48858,19348.18066,43028.46247,748351.0429,74251.9641,40035.5442,1785.82624,121337.562,320013.158,45981.86704,39314.51531,26662.63756,25701.46765,4076.105661,47400.99273,11631.08763,622.0540828,616856.8709,120451.3659,11711.42318,8961.832571,21292.86767,5003.697343,10135.8771,291210.6821,65182.62226,392728.7165,24352.75462,11746.56661,10341.93512,7020.127617
set2_yellow_670_R4,pos,1percent_Met,wt / ko,2,sample,670,R4,37.2,3510.132268,99698.76305,226452.7671,638770.779,43245.8152,44266.55676,43727.72774,43548.37529,42922.11354,23807648.12,262765.3528,40018.11506,508716.0778,61348.7783,47902.04423,342769.8168,4972.096978,7697334.457,20311.84972,1149099.617,11791812.77,464431.5328,139943.1032,6193071.604,2946.419725,69242.37585,24067.53503,14189.42956,33386.79446,85523.9115,85320.16054,4554692.618,2011387.412,1288143.492,483007.4893,403595.7042,692486.4959,366239.8156,1241646.17,7014.465485,27853.09958,16093.73721,142768.2038,373812.4846,667822.1807,2083365.671,30771.48809,3185672.416,776440.8845,166429.0315,2830.582258,247.308126,3967.470163,2901315.724,3488.843337,20604.02207,419269.6081,7050236.417,1470781.331,20762.25362,107839.6687,993.1313164,9711.897417,2425.439548,2052327.213,13882.6705,21437.81206,1059.692081,649335.4165,65824.60467,5735461.011,15252.93113,3432127.867,115568.3323,17900.49565,1525953.062,418353.3168,30496.13243,223141.3321,612554.016,325945.6936,12866.05546,13546.44268,2533.647558,5439.239258,11992.2801,194075.8413,5240.407495,22487.06678,4956.190427,539718.8427,1184.231636,66115.04423,10496.23321,6382.000595,172839.633,4910.196196,6674.002174,88234.63909,4789.779941,39088.17806,542224.0922,9326.990689,20781.30942,27060.46806,275.2812508,1214.373045,1485936.86,7988.904848,41086.3744,79462.53584,843.3332049,1984.790744,1522.01408,5189.153521,4320.10659,107115.6743,31991.54389,847478.0267,100411.6726,38061.89881,20762.94004,45109.09448,521800.881,49840.29061,28091.20249,851.0725045,96792.63709,232161.1236,33979.09189,24404.80742,29967.9205,17936.18369,6755.98933,20211.29804,7780.709623,486.0528672,350040.3365,76219.93833,11640.57213,5674.648419,11144.71541,2293.357646,10097.24625,201259.3772,41724.69973,224150.9576,22826.57533,8186.959065,7479.59307,7492.453832
