Samples,prot_conc_ug_uL,run_order
T1_P1_C1,1.11,8
T1_P1_C2,1.08,12
T1_P1_C3,0.97,17
T1_P1_FA1,1.25,9
T1_P1_FA2,1.06,13
T1_P1_FA3,1.02,18
T1_P2_C1,0.8,11
T1_P2_C2,0.99,15
T1_P2_C3,1.22,20
T1_P2_FA1,1.04,10
T1_P2_FA2,1.14,14
T1_P2_FA3,1,19
T2_P1_C1,0.95,21
T2_P1_C2,0.88,26
T2_P1_C3,0.93,30
T2_P1_FA1,0.95,22
T2_P1_FA2,0.94,27
T2_P1_FA3,0.99,31
T2_P2_C1,0.84,24
T2_P2_C2,0.87,29
T2_P2_C3,0.85,33
T2_P2_FA1,0.92,23
T2_P2_FA2,0.91,28
T2_P2_FA3,0.91,32
